,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2023-01-31,611289.00000,463721.00000,147568.00000,127140.00000,127140.00000,20428.00000,-3412.00000,17016.00000,5724.00000,11292.00000,11292.00000,,11680.00000,31373.00000,20428.00000,2724.00000,2734.00000,4.29000,4.27000
2022-01-31,572754.00000,429000.00000,143754.00000,117812.00000,117812.00000,25942.00000,-7246.00000,18696.00000,4756.00000,13940.00000,13940.00000,,13673.00000,36600.00000,25942.00000,2792.00000,2805.00000,4.90000,4.87000
2021-01-31,559151.00000,420315.00000,138836.00000,116288.00000,116288.00000,22548.00000,-1984.00000,20564.00000,6858.00000,13706.00000,13706.00000,,13510.00000,33700.00000,22548.00000,2831.00000,2847.00000,4.77000,4.75000
2020-01-31,523964.00000,394605.00000,129359.00000,108791.00000,108791.00000,20568.00000,-452.00000,20116.00000,4915.00000,15201.00000,15201.00000,,14881.00000,31555.00000,20568.00000,2850.00000,2868.00000,5.22000,5.19000
2019-01-31,514405.00000,385301.00000,129104.00000,107147.00000,107147.00000,21957.00000,-10497.00000,11460.00000,4281.00000,7179.00000,7179.00000,,6670.00000,32635.00000,21957.00000,2929.00000,2945.00000,2.28000,2.26000
2018-01-31,500343.00000,373396.00000,126947.00000,106510.00000,106510.00000,20437.00000,-5314.00000,15123.00000,4600.00000,10523.00000,10523.00000,,9862.00000,30966.00000,20437.00000,2995.00000,3010.00000,3.29000,3.28000
2017-01-31,485873.00000,361256.00000,124617.00000,101853.00000,101853.00000,22764.00000,-2267.00000,20497.00000,6204.00000,14293.00000,14293.00000,,13643.00000,32844.00000,22764.00000,3101.00000,3112.00000,4.40000,4.38000
2016-01-31,482130.00000,360984.00000,121146.00000,97041.00000,97041.00000,24105.00000,-2467.00000,21638.00000,6558.00000,15080.00000,15080.00000,,14694.00000,33559.00000,24105.00000,3207.00000,3217.00000,4.58000,4.57000
2015-01-31,485651.00000,365086.00000,120565.00000,93418.00000,93418.00000,27147.00000,-2348.00000,24799.00000,7985.00000,16814.00000,16814.00000,285.00000,16363.00000,36320.00000,27147.00000,3230.00000,3243.00000,5.07000,5.05000
2014-01-31,476294.00000,358069.00000,118225.00000,91353.00000,91353.00000,26872.00000,-2216.00000,24656.00000,8105.00000,16551.00000,16551.00000,144.00000,16022.00000,35742.00000,26872.00000,3269.00000,3283.00000,4.90000,4.88000
2013-01-31,468651.00000,352297.00000,116354.00000,88629.00000,88629.00000,27725.00000,-2063.00000,25662.00000,7958.00000,17704.00000,17704.00000,52.00000,16999.00000,36203.00000,27725.00000,3374.00000,3389.00000,5.04000,5.02000
2012-01-31,446509.00000,334993.00000,111516.00000,85025.00000,85025.00000,26491.00000,-2159.00000,24332.00000,7924.00000,16408.00000,16408.00000,-21.00000,15699.00000,34597.00000,26491.00000,3460.00000,3474.00000,4.54000,4.52000
2011-01-31,421849.00000,314946.00000,106903.00000,81361.00000,81361.00000,25542.00000,-2004.00000,23538.00000,7579.00000,15959.00000,15959.00000,1034.00000,16389.00000,33183.00000,25542.00000,3656.00000,3670.00000,4.48000,4.47000
2010-01-31,408085.00000,304106.00000,103979.00000,79977.00000,79977.00000,24002.00000,-1884.00000,22118.00000,7156.00000,14962.00000,14962.00000,-79.00000,14370.00000,31159.00000,24002.00000,3866.00000,3877.00000,3.72000,3.71000
2009-01-31,404254.00000,303941.00000,100313.00000,77546.00000,77546.00000,22767.00000,-1900.00000,20867.00000,7133.00000,13734.00000,13734.00000,146.00000,13381.00000,29506.00000,22767.00000,3939.00000,3951.00000,3.40000,3.39000
