,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,25939.00000,24177.00000,1762.00000,897.00000,897.00000,865.00000,348.00000,1213.00000,189.00000,1024.00000,1024.00000,1019.00000,1119.00000,865.00000,562.00000,563.00000,1.84000,1.84000
2022-09-30,24683.00000,22872.00000,1811.00000,818.00000,818.00000,993.00000,237.00000,1230.00000,193.00000,1037.00000,1037.00000,1031.00000,1253.00000,993.00000,561.00000,563.00000,1.84000,1.83000
2022-06-30,27284.00000,25184.00000,2100.00000,814.00000,814.00000,1286.00000,233.00000,1519.00000,279.00000,1240.00000,1240.00000,1236.00000,1543.00000,1286.00000,566.00000,568.00000,2.18000,2.18000
2022-03-31,23650.00000,21753.00000,1897.00000,829.00000,829.00000,1068.00000,203.00000,1271.00000,207.00000,1064.00000,1064.00000,1054.00000,1325.00000,1068.00000,566.00000,568.00000,1.86000,1.86000
2021-12-31,23090.00000,21440.00000,1650.00000,786.00000,786.00000,864.00000,147.00000,1011.00000,214.00000,797.00000,797.00000,782.00000,1121.00000,864.00000,564.00000,566.00000,1.39000,1.38000
2021-09-30,20340.00000,19014.00000,1326.00000,720.00000,720.00000,606.00000,47.00000,653.00000,120.00000,533.00000,533.00000,526.00000,853.00000,606.00000,564.00000,566.00000,0.93000,0.93000
2021-06-30,22926.00000,21463.00000,1463.00000,739.00000,739.00000,724.00000,101.00000,825.00000,113.00000,712.00000,712.00000,712.00000,967.00000,724.00000,564.00000,566.00000,1.26000,1.26000
2021-03-31,18893.00000,17345.00000,1548.00000,749.00000,749.00000,799.00000,25.00000,824.00000,131.00000,693.00000,693.00000,689.00000,1048.00000,799.00000,563.00000,564.00000,1.22000,1.22000
2020-12-31,17978.00000,16626.00000,1352.00000,749.00000,749.00000,603.00000,153.00000,756.00000,63.00000,693.00000,693.00000,687.00000,852.00000,603.00000,561.00000,565.00000,1.23000,1.22000
2020-09-30,15126.00000,14084.00000,1042.00000,636.00000,636.00000,406.00000,-206.00000,200.00000,-26.00000,226.00000,226.00000,225.00000,644.00000,406.00000,561.00000,562.00000,0.40000,0.40000
2020-06-30,16281.00000,15173.00000,1108.00000,638.00000,638.00000,470.00000,82.00000,552.00000,80.00000,472.00000,472.00000,469.00000,714.00000,470.00000,561.00000,562.00000,0.84000,0.84000
2020-03-31,14970.00000,14019.00000,951.00000,664.00000,664.00000,287.00000,88.00000,375.00000,-16.00000,391.00000,391.00000,391.00000,532.00000,287.00000,563.00000,564.00000,0.69000,0.69000
2019-12-31,16329.00000,15160.00000,1169.00000,654.00000,654.00000,515.00000,-19.00000,496.00000,-3.00000,499.00000,499.00000,504.00000,766.00000,515.00000,563.00000,565.00000,0.90000,0.89000
2019-09-30,16726.00000,15648.00000,1078.00000,578.00000,578.00000,500.00000,3.00000,503.00000,95.00000,408.00000,408.00000,407.00000,749.00000,500.00000,562.00000,563.00000,0.72000,0.72000
2019-06-30,16297.00000,15325.00000,972.00000,602.00000,602.00000,370.00000,-96.00000,274.00000,36.00000,238.00000,238.00000,235.00000,618.00000,370.00000,565.00000,566.00000,0.42000,0.42000
2019-03-31,15304.00000,14376.00000,928.00000,659.00000,659.00000,269.00000,46.00000,315.00000,81.00000,234.00000,234.00000,233.00000,514.00000,269.00000,565.00000,566.00000,0.41000,0.41000
2018-12-31,15947.00000,14894.00000,1053.00000,558.00000,558.00000,495.00000,-183.00000,312.00000,-5.00000,317.00000,317.00000,315.00000,730.00000,495.00000,564.00000,567.00000,0.56000,0.55000
2018-09-30,15800.00000,14742.00000,1058.00000,534.00000,534.00000,524.00000,108.00000,632.00000,96.00000,536.00000,536.00000,536.00000,756.00000,524.00000,565.00000,568.00000,0.95000,0.94000
2018-06-30,17068.00000,15887.00000,1181.00000,560.00000,560.00000,621.00000,31.00000,652.00000,86.00000,566.00000,566.00000,566.00000,860.00000,621.00000,564.00000,567.00000,1.00000,1.00000
2018-03-31,15526.00000,14637.00000,889.00000,513.00000,513.00000,376.00000,88.00000,464.00000,68.00000,396.00000,396.00000,393.00000,611.00000,376.00000,563.00000,565.00000,0.70000,0.70000
2017-12-31,16070.00000,15128.00000,942.00000,459.00000,459.00000,483.00000,60.00000,543.00000,-249.00000,792.00000,792.00000,788.00000,723.00000,483.00000,569.00000,572.00000,1.39000,1.38000
2017-09-30,14827.00000,14015.00000,812.00000,478.00000,478.00000,334.00000,-109.00000,225.00000,30.00000,195.00000,195.00000,192.00000,566.00000,334.00000,566.00000,569.00000,0.34000,0.34000
2017-06-30,14943.00000,14051.00000,892.00000,525.00000,525.00000,367.00000,16.00000,383.00000,108.00000,275.00000,275.00000,276.00000,594.00000,367.00000,571.00000,574.00000,0.48000,0.48000
2017-03-31,14988.00000,14116.00000,872.00000,516.00000,516.00000,356.00000,102.00000,458.00000,118.00000,340.00000,340.00000,339.00000,581.00000,356.00000,576.00000,579.00000,0.59000,0.59000
2016-12-31,16501.00000,15491.00000,1010.00000,456.00000,456.00000,554.00000,75.00000,629.00000,203.00000,426.00000,426.00000,424.00000,776.00000,554.00000,588.00000,591.00000,0.73000,0.71000
2016-09-30,15832.00000,14742.00000,1090.00000,546.00000,546.00000,544.00000,-64.00000,480.00000,136.00000,344.00000,344.00000,341.00000,770.00000,544.00000,586.00000,589.00000,0.58000,0.58000
2016-06-30,15629.00000,14892.00000,737.00000,500.00000,500.00000,237.00000,170.00000,407.00000,119.00000,288.00000,288.00000,284.00000,458.00000,237.00000,591.00000,594.00000,0.48000,0.48000
2016-03-31,14384.00000,13603.00000,781.00000,479.00000,479.00000,302.00000,4.00000,306.00000,76.00000,230.00000,230.00000,230.00000,533.00000,302.00000,595.00000,597.00000,0.39000,0.39000
2015-12-31,16445.00000,15634.00000,811.00000,443.00000,443.00000,368.00000,333.00000,701.00000,-16.00000,717.00000,717.00000,718.00000,592.00000,368.00000,618.00000,621.00000,1.18000,1.18000
2015-09-30,16565.00000,15476.00000,1089.00000,519.00000,519.00000,570.00000,-203.00000,367.00000,114.00000,253.00000,253.00000,252.00000,787.00000,570.00000,612.00000,615.00000,0.41000,0.41000
2015-06-30,17186.00000,16222.00000,964.00000,525.00000,525.00000,439.00000,87.00000,526.00000,143.00000,383.00000,383.00000,386.00000,664.00000,439.00000,624.00000,627.00000,0.62000,0.62000
2015-03-31,17506.00000,16404.00000,1102.00000,498.00000,498.00000,604.00000,86.00000,690.00000,197.00000,493.00000,493.00000,493.00000,820.00000,604.00000,636.00000,639.00000,0.78000,0.77000
2014-12-31,20894.00000,19443.00000,1451.00000,663.00000,663.00000,788.00000,208.00000,996.00000,291.00000,705.00000,705.00000,701.00000,1036.00000,788.00000,653.00000,656.00000,1.08000,1.08000
2014-09-30,18117.00000,16647.00000,1470.00000,451.00000,451.00000,1019.00000,14.00000,1033.00000,285.00000,748.00000,748.00000,747.00000,1233.00000,1019.00000,650.00000,653.00000,1.15000,1.14000
