,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2023-01-31,6739.00000,3594.00000,3145.00000,771.00000,404.00000,,1175.00000,1970.00000,-9.00000,1961.00000,244.00000,1717.00000,1717.00000,1717.00000,2090.00000,1970.00000,845.00000,849.00000,2.03000,2.02000
2022-10-31,6749.00000,3648.00000,3101.00000,726.00000,381.00000,,1107.00000,1994.00000,-45.00000,1949.00000,358.00000,1591.00000,1591.00000,1591.00000,2117.00000,1994.00000,871.00000,877.00000,1.86000,1.85000
2022-07-31,6520.00000,3514.00000,3006.00000,705.00000,377.00000,,1082.00000,1924.00000,-63.00000,1861.00000,255.00000,1606.00000,1606.00000,1606.00000,2032.00000,1924.00000,864.00000,869.00000,1.86000,1.85000
2022-04-30,6245.00000,3318.00000,2927.00000,686.00000,347.00000,,1033.00000,1894.00000,-30.00000,1864.00000,328.00000,1536.00000,1536.00000,1536.00000,2005.00000,1894.00000,878.00000,883.00000,1.75000,1.74000
2022-01-31,6271.00000,3312.00000,2959.00000,654.00000,333.00000,4.00000,983.00000,1976.00000,-51.00000,1925.00000,133.00000,1792.00000,1792.00000,1792.00000,2078.00000,1976.00000,889.00000,897.00000,2.02000,2.00000
2021-10-31,6123.00000,3178.00000,2945.00000,622.00000,310.00000,1.00000,931.00000,2014.00000,-8.00000,2006.00000,294.00000,1712.00000,1712.00000,1712.00000,2119.00000,2014.00000,910.00000,919.00000,1.90000,1.88000
2021-07-31,6196.00000,3229.00000,2967.00000,640.00000,314.00000,,954.00000,2013.00000,-33.00000,1980.00000,264.00000,1716.00000,1716.00000,1716.00000,2111.00000,2013.00000,908.00000,918.00000,1.89000,1.87000
2021-04-30,5582.00000,2929.00000,2653.00000,617.00000,297.00000,-160.00000,1074.00000,1579.00000,-34.00000,1545.00000,215.00000,1330.00000,1330.00000,1330.00000,1676.00000,1579.00000,918.00000,927.00000,1.45000,1.43000
2021-01-31,5162.00000,2813.00000,2349.00000,606.00000,308.00000,-152.00000,1066.00000,1283.00000,-43.00000,1240.00000,110.00000,1130.00000,1130.00000,1130.00000,1377.00000,1283.00000,915.00000,925.00000,1.23000,1.22000
2020-10-31,4688.00000,2558.00000,2130.00000,560.00000,287.00000,,847.00000,1283.00000,-40.00000,1243.00000,112.00000,1131.00000,1131.00000,1131.00000,1380.00000,1283.00000,916.00000,923.00000,1.24000,1.23000
2020-07-31,4395.00000,2440.00000,1955.00000,572.00000,275.00000,,847.00000,1108.00000,-68.00000,1040.00000,199.00000,841.00000,841.00000,841.00000,1202.00000,1108.00000,915.00000,922.00000,0.92000,0.91000
2020-04-30,3957.00000,2208.00000,1749.00000,550.00000,267.00000,,817.00000,932.00000,-54.00000,878.00000,123.00000,755.00000,755.00000,755.00000,1023.00000,932.00000,917.00000,923.00000,0.82000,0.82000
2020-01-31,4162.00000,2304.00000,1858.00000,552.00000,264.00000,,816.00000,1042.00000,-37.00000,1005.00000,113.00000,892.00000,892.00000,892.00000,1136.00000,1042.00000,916.00000,927.00000,0.97000,0.96000
