,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2023-02-28,3690.98200,1760.97900,1930.00300,1260.02600,1260.02600,669.97710,-65.60900,604.36800,127.82400,476.54400,476.54400,476.54400,,669.97710,18.70500,19.33700,25.48000,24.64000
2022-11-30,3985.06700,1990.44500,1994.62200,1271.58900,1271.58900,723.03300,-57.72300,665.31000,125.99200,539.31800,539.31800,539.31800,834.19100,723.03300,19.00700,19.64500,28.37000,27.45000
2022-08-31,5348.35400,2592.50400,2755.85100,1652.03600,1652.03600,1103.81400,-63.99500,1039.81900,229.77600,810.04300,810.04300,810.04300,1248.12200,1103.81400,20.10700,20.73300,41.45000,40.17000
2022-05-31,3865.22200,1858.80800,2006.41400,1220.74400,1220.74400,785.66990,-41.88800,743.78200,151.21100,592.57100,592.57100,592.57100,890.20590,785.66990,19.79800,20.41400,29.93000,29.03000
2022-02-28,3369.75000,1584.52400,1785.22600,1158.46600,1158.46600,626.76000,-42.47100,584.28900,112.53400,471.75500,471.75500,471.75500,729.18600,626.76000,20.51300,21.15800,23.00000,22.30000
2021-11-30,3668.90400,1743.74400,1925.16000,1170.67500,1170.67500,754.48510,-43.28400,711.20100,155.96600,555.23500,555.23500,555.23500,856.71410,754.48510,20.98800,21.60900,26.45000,25.69000
2021-08-31,4913.48300,2345.64400,2567.84000,1523.80900,1523.80800,1044.03100,-58.12000,985.90990,200.13900,785.77090,785.77090,785.77090,1177.20200,1044.03100,22.23700,22.79900,36.13000,35.17000
2021-05-31,3651.02300,1736.07700,1914.94600,1111.44100,1111.44100,803.50490,-45.02600,758.47900,162.31500,596.16400,596.16400,596.16400,900.47890,803.50490,21.95600,22.51500,27.15000,26.48000
2021-02-28,2910.81800,1351.43500,1559.38300,1077.61600,1077.61600,481.76710,-46.01200,435.75500,89.80900,345.94600,345.94600,345.94600,579.46210,481.76710,22.64800,23.16800,15.27000,14.93000
2020-11-30,3154.26100,1478.64400,1675.61700,1060.39200,1060.39200,615.22490,-46.17900,569.04600,126.61300,442.43300,442.43300,442.43300,707.92580,615.22490,23.22300,23.77800,19.05000,18.61000
2020-08-31,4545.96700,2132.99300,2412.97400,1394.92900,1394.92900,1018.04500,-65.63700,952.40780,211.95200,740.45590,740.45590,740.45610,1147.55400,1018.04400,23.54000,24.09300,31.59000,30.85000
2020-05-31,2779.29900,1288.65100,1490.64800,998.97500,998.97500,491.67310,-47.45000,444.22300,101.32700,342.89600,342.89600,342.89600,585.72410,491.67310,23.38600,23.82800,14.66000,14.39000
2020-02-29,2513.66300,1147.60000,1366.06300,958.12500,958.12500,407.93800,-44.33500,363.60300,64.32100,299.28200,299.28200,299.28200,500.62900,407.93800,23.57000,24.16000,12.70000,12.39000
2019-11-30,2793.03800,1291.97000,1501.06800,1001.04500,1001.04500,500.02320,-43.74300,456.28000,105.94200,350.33800,350.33800,350.33800,591.96820,500.02320,23.87500,24.49300,14.67000,14.30000
2019-08-31,3988.43600,1858.03600,2130.40000,1349.62400,1349.62300,780.77690,-61.19700,719.57910,154.35100,565.22800,565.22800,565.22800,902.27190,780.77660,24.96600,25.49800,23.01000,22.48000
2019-05-31,2783.00600,1290.98600,1492.02000,944.49700,944.49700,547.52320,-43.23900,504.28400,98.33500,405.94900,405.94900,405.94900,634.24920,547.52320,24.83600,25.39400,16.35000,15.99000
2019-02-28,2450.56800,1125.46100,1325.10700,925.08700,925.08700,400.02000,-41.36200,358.65800,64.02000,294.63800,294.63800,294.63800,485.60200,400.02000,25.16600,25.64300,11.71000,11.49000
2018-11-30,2641.73300,1224.25900,1417.47400,929.65600,929.65600,487.81790,-39.00600,448.81200,97.40600,351.40600,351.40600,351.40600,572.13390,487.81790,25.62900,26.09700,13.71000,13.47000
