,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,19980.00000,18116.00000,1864.00000,794.00000,1430.00000,15.00000,2217.00000,-353.00000,-296.00000,-649.00000,14.00000,-663.00000,-663.00000,,-634.00000,157.00000,-345.00000,594.90000,594.90000,-1.07000,-1.07000
2022-09-30,15956.00000,16771.00000,-815.00000,727.00000,1226.00000,-24.00000,1984.00000,-2799.00000,-333.00000,-3132.00000,176.00000,-3308.00000,-3308.00000,,-3275.00000,-2299.00000,-2792.00000,596.00000,596.00000,-5.49000,-5.49000
2022-06-30,16681.00000,14553.00000,2128.00000,698.00000,668.00000,18.00000,1354.00000,774.00000,-397.00000,377.00000,217.00000,160.00000,160.00000,,193.00000,1278.00000,780.00000,594.00000,596.10000,0.32000,0.32000
2022-03-31,13991.00000,13638.00000,353.00000,633.00000,863.00000,-19.00000,1522.00000,-1169.00000,-449.00000,-1618.00000,-376.00000,-1242.00000,-1242.00000,,-1219.00000,-676.00000,-1162.00000,591.40000,591.40000,-2.06000,-2.06000
2021-12-31,14793.00000,17300.00000,-2507.00000,678.00000,988.00000,9.00000,1664.00000,-4171.00000,-529.00000,-4700.00000,-536.00000,-4164.00000,-4164.00000,,-4143.00000,-3630.00000,-4164.00000,587.60000,587.60000,-7.04000,-7.04000
2021-09-30,15278.00000,13559.00000,1719.00000,575.00000,1097.00000,289.00000,1390.00000,329.00000,-639.00000,-310.00000,-178.00000,-132.00000,-132.00000,,-109.00000,859.00000,336.00000,588.60000,588.60000,-0.19000,-0.19000
2021-06-30,16998.00000,14579.00000,2419.00000,497.00000,1040.00000,150.00000,1396.00000,1023.00000,-474.00000,549.00000,-18.00000,567.00000,567.00000,,587.00000,1583.00000,1032.00000,587.50000,589.80000,1.00000,1.00000
2021-03-31,15217.00000,13799.00000,1418.00000,499.00000,1032.00000,39.00000,1501.00000,-83.00000,-489.00000,-572.00000,-11.00000,-561.00000,-561.00000,,-537.00000,462.00000,-74.00000,585.00000,585.00000,-0.92000,-0.92000
2020-12-31,15304.00000,20982.00000,-5678.00000,605.00000,1828.00000,72.00000,2371.00000,-8049.00000,-576.00000,-8625.00000,-186.00000,-8439.00000,-8439.00000,,-8420.00000,-7461.00000,-8039.00000,568.60000,568.60000,-14.78000,-14.78000
2020-09-30,14139.00000,13095.00000,1044.00000,574.00000,955.00000,94.00000,1445.00000,-401.00000,-524.00000,-925.00000,-459.00000,-466.00000,-466.00000,,-449.00000,174.00000,-391.00000,566.10000,566.10000,-0.79000,-0.79000
