,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,730.28800,336.29100,393.99700,57.36300,210.45400,,267.81700,126.17990,972.61160,1098.79200,265.29800,833.49390,833.49390,833.49410,126.17990,126.18010,29.78500,29.78500,27.42000,27.42000
2022-09-30,680.80000,307.00800,373.79200,69.94900,211.04700,,280.99600,92.79600,-301.96400,-209.16800,-44.93600,-164.23200,-164.23200,-164.23200,92.79600,92.79600,29.73300,29.73300,-5.52000,-5.52000
2022-06-30,691.09900,295.11800,395.98100,67.03400,208.73000,,275.76400,120.21700,-1343.09700,-1222.88000,-295.69600,-927.18400,-927.18400,-927.18400,120.21700,120.21700,29.79400,29.79400,-31.12000,-31.12000
2022-03-31,700.06200,296.50200,403.56000,62.54300,197.59400,,260.13700,143.42300,-4514.44000,-4371.01700,-1001.40400,-3369.61300,-3369.61300,-3369.61300,143.42300,143.42300,29.93300,29.93300,-112.57000,-112.57000
2021-12-31,732.76880,334.33290,398.43590,58.85400,221.69410,,280.54810,117.88780,-2145.03700,-2027.14900,-461.84500,-1565.30400,-1565.30400,-1565.30400,117.88780,117.88780,29.83100,30.20800,-52.62000,-51.83000
2021-09-30,747.04900,309.61400,437.43500,64.48100,216.15000,,280.63100,156.80400,4865.42200,5022.22600,1094.19300,3928.03300,3928.03300,3928.03300,156.80400,156.80400,29.81400,30.22400,131.75000,129.96000
2021-06-30,715.93100,314.33300,401.59800,63.39100,213.42500,,276.81600,124.78200,1031.99300,1156.77500,242.66100,914.11400,914.11400,914.11400,124.78200,124.78200,29.76400,30.14800,30.71000,30.32000
2021-03-31,726.79600,326.16900,400.62700,73.91200,225.85300,,299.76500,100.86210,1196.34100,1297.20300,319.78900,977.41400,977.41400,977.41400,100.86210,100.86210,29.82300,30.18600,32.77000,32.38000
2020-12-31,789.83910,329.61900,460.22000,56.93000,217.67900,,274.60880,185.61130,903.29130,1088.90200,241.83800,847.06380,847.06380,847.06410,185.61130,185.61110,29.76800,30.16000,28.33000,27.96000
2020-09-30,647.26300,279.95200,367.31100,59.54600,198.16500,,257.71100,109.60000,1574.86100,1684.46100,369.63700,1314.82400,1314.82400,1314.82400,109.60000,109.60000,29.72100,30.12800,44.24000,43.64000
2020-06-30,536.88000,243.89200,292.98800,51.98400,189.26200,,241.24600,51.74200,1194.20300,1245.94500,279.51600,966.42900,966.42900,966.42900,51.74200,51.74200,29.65200,30.05800,32.59000,32.15000
2020-03-31,571.64400,254.27600,317.36800,49.30300,193.69200,,242.99500,74.37300,824.32600,898.69900,212.78700,685.91200,685.91200,685.91200,74.37300,74.37300,29.86500,30.19600,22.97000,22.72000
2019-12-31,624.42790,293.98900,330.43890,57.06900,214.16500,,271.23410,59.20480,640.22500,699.43010,145.94400,553.48620,553.48620,553.48610,59.20480,59.20480,29.84300,30.18400,18.50000,18.35000
2019-09-30,560.63300,253.60700,307.02600,47.94400,201.62200,,249.56600,57.46000,-392.67600,-335.21600,-76.40000,-258.81600,-258.81600,-258.81600,57.46000,57.46000,29.83100,29.83100,-8.68000,-8.68000
2019-06-30,572.61900,264.85000,307.76900,50.12200,201.25700,,251.37900,56.39000,713.21100,769.60100,170.79100,598.81000,598.81000,598.81000,56.39000,56.39000,29.81400,30.15400,20.08000,19.86000
2019-03-31,553.97900,242.21700,311.76200,47.57500,207.58100,,255.15600,56.60600,1070.66000,1127.26600,262.07100,865.19490,865.19490,865.19500,56.60600,56.60600,29.80100,30.10400,29.03000,28.74000
2018-12-31,616.84710,284.28200,332.56510,53.07400,214.03200,,559.61910,-227.05400,-814.19300,-1041.24700,-212.71800,-828.52910,-828.52910,-828.52890,-227.05400,-227.05410,29.83600,30.22800,-27.81000,-27.43000
2018-09-30,545.13800,258.42200,286.71600,49.24500,201.19600,,250.44100,36.27500,313.85600,350.13100,80.80500,269.32600,269.32600,269.32600,71.17500,36.27500,29.86300,30.29200,9.02000,8.89000
2018-06-30,575.91100,274.24400,301.66700,47.45000,210.42500,,257.87500,43.79200,296.29400,340.08600,72.04300,268.04300,268.04300,268.04300,43.79200,43.79200,29.81400,30.21900,8.99000,8.87000
2018-03-31,551.51900,249.31600,302.20300,49.42700,209.13000,,258.55700,43.64600,820.04300,863.68900,206.91500,656.77400,656.77400,656.77400,43.64600,43.64600,29.78700,30.17100,22.05000,21.77000
2017-12-31,621.29500,276.03800,345.25700,76.04100,201.73000,,289.27700,55.98000,-10.03000,45.95000,-36.78400,82.73400,82.73400,82.73400,55.98000,55.98010,29.65500,30.03400,2.79000,2.76000
2017-09-30,534.14100,235.13300,299.00800,62.07700,198.16900,,260.24600,38.76200,-8.17400,30.58800,8.52100,22.06700,22.06700,22.06700,74.06200,38.76200,29.66000,30.05200,0.74000,0.73000
2017-06-30,504.66600,231.29100,273.37500,62.58700,212.48900,,275.07600,-1.70100,2.82100,1.12000,-3.91500,5.03500,5.03500,5.03500,35.29900,-1.70100,29.61300,30.00600,0.17000,0.17000
2017-03-31,500.05100,229.98800,270.06300,49.45200,194.40200,,243.85400,26.20900,-6.06200,20.14700,7.73400,12.41300,12.41300,12.41300,59.90900,26.20900,29.58000,29.91100,0.42000,0.41000
2016-12-31,571.45310,256.75500,314.69810,57.38700,217.99300,-59.94500,335.32520,-20.62710,-7.56000,-28.18700,-5.49200,-22.69500,-22.69500,-22.69500,-20.62710,-20.62700,29.44000,29.64600,-0.78000,-0.77000
2016-09-30,508.74500,229.27600,279.46900,49.92400,201.45200,,251.37600,28.09300,-5.40500,22.68800,4.28300,18.40500,18.40500,18.40500,66.58100,28.09300,29.44400,29.67100,0.63000,0.62000
2016-06-30,516.77700,236.54500,280.23200,49.81100,205.53600,-2.36000,257.70700,22.52500,4.33900,26.86400,8.85000,18.01400,18.01400,18.01400,60.10300,22.52500,29.39800,29.58900,0.61000,0.61000
2016-03-31,471.19700,207.16800,264.02900,48.58600,189.71600,,238.30200,25.72700,-5.53200,20.19500,7.91900,12.27600,12.27600,12.27600,59.81700,25.72700,29.36400,29.50600,0.42000,0.42000
2015-12-31,570.55690,262.04200,308.51490,55.88700,193.14500,,249.03200,59.48290,-5.28500,54.19800,8.57000,45.62800,45.62800,45.62800,59.48290,59.48300,29.18600,29.40900,1.56000,1.54000
