,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,4337.00000,,4337.00000,2010.00000,-772.00000,,1427.00000,225.00000,1652.00000,345.00000,1307.00000,1307.00000,1259.00000,,1427.00000,150.03590,151.83940,8.39000,8.29000
2022-09-30,4311.00000,,4311.00000,1893.00000,-854.00000,,1526.00000,165.00000,1691.00000,330.00000,1361.00000,1361.00000,1406.00000,1635.00000,1526.00000,150.60000,152.00000,9.33000,9.25000
2022-06-30,4526.00000,,4526.00000,1944.00000,-876.00000,,1668.00000,-347.00000,1321.00000,358.00000,963.00000,963.00000,1077.00000,1767.00000,1668.00000,151.29300,152.45200,7.12000,7.06000
2022-03-31,4699.00000,,4699.00000,1994.00000,-903.00000,,1764.00000,-138.00000,1626.00000,263.00000,1363.00000,1363.00000,1436.00000,1864.00000,1764.00000,151.73300,153.53000,9.46000,9.35000
2021-12-31,5106.00000,,5106.00000,2123.00000,-906.00000,,2039.00000,71.00000,2110.00000,478.00000,1632.00000,1632.00000,1643.00000,2149.00000,2039.00000,152.20000,154.40000,10.81000,10.64000
2021-09-30,5050.00000,,5050.00000,2138.00000,-939.00000,,1935.00000,336.00000,2271.00000,518.00000,1753.00000,1753.00000,1681.00000,2042.00000,1935.00000,152.10000,154.30000,11.05000,10.89000
2021-06-30,4820.00000,,4820.00000,2009.00000,-843.00000,,1931.00000,270.00000,2201.00000,654.00000,1547.00000,1547.00000,1378.00000,2032.00000,1931.00000,152.44300,154.41800,9.04000,8.92000
2021-03-31,4398.00000,,4398.00000,1994.00000,-825.00000,,1545.00000,46.00000,1591.00000,318.00000,1273.00000,1273.00000,1199.00000,1642.00000,1545.00000,152.56700,154.30200,7.86000,7.77000
2020-12-31,4478.00000,,4478.00000,1815.00000,-788.00000,,1848.00000,319.00000,2167.00000,427.00000,1740.00000,1740.00000,1548.00000,1951.00000,1848.00000,153.50000,154.80000,10.10000,9.98000
2020-09-30,4369.00000,,4369.00000,1872.00000,-713.00000,,1757.00000,224.00000,1981.00000,464.00000,1517.00000,1517.00000,1364.00000,1844.00000,1757.00000,152.48800,153.74200,8.94000,8.87000
