,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,789.82400,289.91100,499.91300,36.00000,-5.00500,239.33500,260.57790,-104.85500,155.72300,155.72300,155.72300,,121.79000,,260.57790,156.77300,157.11200,0.78000,0.78000
2022-09-30,790.52300,290.25000,500.27300,32.51900,-5.55000,228.74400,271.52910,149.13200,420.66100,420.66100,420.66100,,360.97700,462.64010,271.52910,156.75400,157.13300,2.30000,2.29000
2022-06-30,773.92700,280.29200,493.63500,34.66500,-3.73500,221.54600,272.08900,-4.84600,267.24300,267.24300,267.24300,,222.98900,456.11300,272.08900,156.72000,157.19200,1.42000,1.42000
2022-03-31,754.30700,275.09500,479.21200,43.19400,-4.06500,224.88300,254.32900,-77.37200,176.95700,176.95700,176.95700,,143.04700,432.48200,254.32900,156.65000,157.00400,0.91000,0.91000
2021-12-31,731.06290,261.78300,469.27990,33.64900,-5.38700,216.55700,252.72290,-29.43800,223.28500,223.28500,223.28500,,184.59900,430.55190,252.72300,156.11600,156.37600,1.18000,1.18000
2021-09-30,730.05600,262.22700,467.82900,34.56000,-4.89400,218.86600,248.96300,-109.71300,139.25000,139.25000,139.25000,,108.29700,428.62000,248.96300,156.18300,156.59800,0.69000,0.69000
2021-06-30,713.80700,250.69900,463.10800,38.40500,-3.40600,225.64900,237.45900,-96.20900,141.25000,141.25000,141.25000,,111.70300,421.99700,237.45900,156.10700,156.51900,0.72000,0.71000
2021-03-31,713.69500,259.44000,454.25500,44.95900,-3.83600,225.36000,228.89500,-100.74800,128.14700,128.14700,128.14700,,91.62400,407.72300,228.89500,155.92800,156.09900,0.59000,0.59000
2020-12-31,665.08900,257.37200,407.71700,31.05300,-3.28600,202.35190,205.36510,-180.46000,24.90500,24.90500,24.90500,,8.68800,373.94510,205.36500,155.43200,155.51700,0.05000,0.05000
2020-09-30,693.26800,261.42500,431.84300,27.86200,-3.20300,197.52100,234.32200,-116.26200,118.06000,118.06000,118.06000,,89.85400,401.31700,234.32200,155.64500,155.67000,0.58000,0.58000
2020-06-30,654.77300,241.76000,413.01300,37.74300,-2.81600,218.74700,194.26600,104.31400,298.58000,298.58000,298.58000,,266.18900,372.99900,194.26600,155.38600,155.40700,1.71000,1.71000
2020-03-31,752.55600,269.78700,482.76900,36.45400,-3.85200,211.40000,271.36900,305.77700,577.14600,577.14600,577.14600,,497.49600,443.04600,271.36900,155.01100,155.25800,3.21000,3.20000
2019-12-31,757.50100,277.23710,480.26400,32.79700,98.28100,104.41290,375.85100,-199.84200,176.00900,176.00900,176.00900,,140.84000,546.33900,375.85100,154.58200,154.88300,0.92000,0.91000
