,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2023-02-28,55266.00000,48423.00000,6843.00000,4940.00000,,4940.00000,1903.00000,80.00000,1983.00000,517.00000,1466.00000,1466.00000,1466.00000,,1903.00000,443.87700,444.47500,3.30000,3.30000
2022-11-30,54437.00000,47769.00000,6668.00000,4917.00000,,4917.00000,1751.00000,19.00000,1770.00000,406.00000,1364.00000,1364.00000,1364.00000,2198.00000,1751.00000,443.83700,444.53100,3.07000,3.07000
2022-08-31,72091.00000,63558.00000,8533.00000,6036.00000,,6036.00000,2497.00000,19.00000,2516.00000,638.00000,1878.00000,1878.00000,1868.00000,3091.00000,2497.00000,443.65100,444.75700,4.20000,4.20000
2022-05-31,52596.00000,46355.00000,6241.00000,4450.00000,,4450.00000,1791.00000,36.00000,1827.00000,455.00000,1372.00000,1372.00000,1353.00000,2229.00000,1791.00000,443.70000,444.88600,3.05000,3.04000
2022-02-28,51904.00000,45517.00000,6387.00000,4575.00000,,4575.00000,1812.00000,-11.00000,1801.00000,481.00000,1320.00000,1320.00000,1299.00000,2248.00000,1812.00000,443.62300,444.91600,2.93000,2.92000
2021-11-30,50363.00000,43952.00000,6411.00000,4718.00000,,4718.00000,1693.00000,3.00000,1696.00000,351.00000,1345.00000,1345.00000,1324.00000,2125.00000,1693.00000,443.37700,444.60400,2.99000,2.98000
2021-08-31,62675.00000,54733.00000,7942.00000,5667.00000,,5667.00000,2275.00000,16.00000,2291.00000,597.00000,1694.00000,1694.00000,1670.00000,2834.00000,2275.00000,443.08900,444.34600,3.77000,3.76000
2021-05-31,45277.00000,39415.00000,5862.00000,4199.00000,,4199.00000,1663.00000,-13.00000,1650.00000,417.00000,1233.00000,1233.00000,1220.00000,2065.00000,1663.00000,443.04300,444.12700,2.75000,2.75000
2021-02-28,44769.00000,39078.00000,5691.00000,4351.00000,,4351.00000,1340.00000,-21.00000,1319.00000,348.00000,971.00000,971.00000,951.00000,1756.00000,1340.00000,443.13400,444.49400,2.15000,2.14000
2020-11-30,43208.00000,37458.00000,5750.00000,4320.00000,,4320.00000,1430.00000,-10.00000,1420.00000,239.00000,1181.00000,1181.00000,1166.00000,1834.00000,1430.00000,442.95200,444.38600,2.63000,2.62000
2020-08-31,53383.00000,46401.00000,6982.00000,5082.00000,,5053.00000,1929.00000,-60.00000,1869.00000,465.00000,1404.00000,1404.00000,1389.00000,2434.00000,1929.00000,442.29700,443.90100,3.14000,3.13000
2020-05-31,37266.00000,32249.00000,5017.00000,3830.00000,-8.00000,3838.00000,1179.00000,-16.00000,1163.00000,311.00000,852.00000,852.00000,838.00000,1561.00000,1179.00000,442.32200,443.85500,1.90000,1.89000
2020-02-29,39072.00000,34056.00000,5016.00000,3743.00000,-7.00000,3750.00000,1266.00000,11.00000,1277.00000,330.00000,947.00000,947.00000,931.00000,1655.00000,1266.00000,442.02100,443.72700,2.10000,2.10000
2019-11-30,37040.00000,32233.00000,4807.00000,3732.00000,-14.00000,3746.00000,1061.00000,-3.00000,1058.00000,202.00000,856.00000,856.00000,844.00000,1430.00000,1061.00000,441.81800,443.68000,1.91000,1.90000
2019-08-31,47498.00000,41310.00000,6188.00000,4684.00000,-41.00000,4725.00000,1463.00000,29.00000,1492.00000,382.00000,1110.00000,1110.00000,1097.00000,1936.00000,1463.00000,439.75500,442.92300,2.49000,2.47000
2019-05-31,34740.00000,30233.00000,4507.00000,3371.00000,-14.00000,3385.00000,1122.00000,1.00000,1123.00000,207.00000,916.00000,916.00000,906.00000,1458.00000,1122.00000,439.85900,442.64200,2.06000,2.05000
2019-02-28,35396.00000,30720.00000,4676.00000,3464.00000,-9.00000,3473.00000,1203.00000,12.00000,1215.00000,314.00000,901.00000,901.00000,889.00000,1555.00000,1203.00000,440.28400,442.33700,2.02000,2.01000
2018-11-30,35069.00000,30623.00000,4446.00000,3475.00000,-22.00000,3497.00000,949.00000,-14.00000,935.00000,158.00000,777.00000,777.00000,767.00000,1280.00000,949.00000,439.15700,442.74900,1.75000,1.73000
2018-08-31,44411.00000,38671.00000,5740.00000,4263.00000,-31.00000,4294.00000,1446.00000,3.00000,1449.00000,396.00000,1053.00000,1053.00000,1043.00000,1877.00000,1446.00000,438.51500,441.83400,2.38000,2.35000
2018-05-31,32361.00000,28131.00000,4230.00000,3155.00000,-8.00000,3163.00000,1067.00000,4.00000,1071.00000,309.00000,762.00000,762.00000,750.00000,1394.00000,1067.00000,438.74000,441.71500,1.71000,1.70000
2018-02-28,32995.00000,28733.00000,4262.00000,3234.00000,-12.00000,3246.00000,1016.00000,-30.00000,986.00000,273.00000,713.00000,713.00000,701.00000,1360.00000,1016.00000,439.02200,441.56800,1.60000,1.59000
2017-11-30,31809.00000,27617.00000,4192.00000,3224.00000,-17.00000,3241.00000,951.00000,-15.00000,936.00000,285.00000,651.00000,651.00000,640.00000,1286.00000,951.00000,437.96500,440.85100,1.46000,1.45000
2017-08-31,42300.00000,36697.00000,5603.00000,4123.00000,-30.00000,4153.00000,1450.00000,-31.00000,1419.00000,487.00000,932.00000,932.00000,919.00000,1891.00000,1450.00000,438.43700,440.93700,2.11000,2.08000
2017-05-31,28860.00000,24970.00000,3890.00000,2907.00000,-15.00000,2922.00000,968.00000,-3.00000,965.00000,259.00000,706.00000,706.00000,700.00000,1288.00000,968.00000,438.81700,441.05600,1.59000,1.59000
2017-02-28,29766.00000,25927.00000,3839.00000,2980.00000,-15.00000,2995.00000,844.00000,-35.00000,809.00000,288.00000,521.00000,521.00000,515.00000,1156.00000,844.00000,439.12700,440.65700,1.17000,1.17000
2016-11-30,28099.00000,24288.00000,3811.00000,2940.00000,-22.00000,2962.00000,849.00000,-3.00000,846.00000,291.00000,555.00000,555.00000,545.00000,1146.00000,849.00000,438.00700,440.52500,1.24000,1.24000
2016-08-31,36560.00000,31649.00000,4911.00000,3696.00000,-24.00000,3720.00000,1191.00000,-10.00000,1181.00000,396.00000,785.00000,785.00000,779.00000,1599.00000,1191.00000,438.58500,441.26300,1.78000,1.76000
2016-05-31,26769.00000,23162.00000,3607.00000,2731.00000,-18.00000,2749.00000,858.00000,-23.00000,835.00000,286.00000,549.00000,549.00000,545.00000,1149.00000,858.00000,438.81500,441.06600,1.24000,1.24000
2016-02-29,28170.00000,24469.00000,3701.00000,2835.00000,-10.00000,2845.00000,856.00000,-15.00000,841.00000,286.00000,555.00000,555.00000,546.00000,1141.00000,856.00000,439.64800,441.55900,1.24000,1.24000
2015-11-30,27220.00000,23621.00000,3599.00000,2806.00000,-26.00000,2832.00000,767.00000,-5.00000,762.00000,275.00000,487.00000,487.00000,480.00000,1038.00000,767.00000,438.34200,441.38600,1.10000,1.09000
2015-08-31,35778.00000,31096.00000,4682.00000,3499.00000,-27.00000,3526.00000,1156.00000,,1156.00000,378.00000,778.00000,778.00000,767.00000,1507.00000,1156.00000,439.45500,442.71600,1.75000,1.73000
2015-05-31,26101.00000,22687.00000,3414.00000,2579.00000,-14.00000,2593.00000,821.00000,-22.00000,799.00000,280.00000,519.00000,519.00000,516.00000,1083.00000,821.00000,440.07000,443.13200,1.17000,1.17000
2015-02-28,27454.00000,23897.00000,3557.00000,2671.00000,-9.00000,2680.00000,877.00000,-7.00000,870.00000,263.00000,607.00000,607.00000,598.00000,1137.00000,877.00000,440.38400,442.89600,1.36000,1.35000
2014-11-30,26866.00000,23385.00000,3481.00000,2696.00000,-15.00000,2711.00000,770.00000,9.00000,779.00000,274.00000,505.00000,505.00000,496.00000,1024.00000,770.00000,438.76000,442.21000,1.13000,1.12000
2014-08-31,35523.00000,31037.00000,4486.00000,3380.00000,-15.00000,3395.00000,1091.00000,-5.00000,1086.00000,381.00000,705.00000,705.00000,697.00000,1412.00000,1091.00000,438.69300,442.48500,1.59000,1.57000
2014-05-31,25794.00000,22554.00000,3240.00000,2487.00000,-16.00000,2503.00000,737.00000,-13.00000,724.00000,245.00000,479.00000,479.00000,473.00000,974.00000,737.00000,439.44600,442.72000,1.08000,1.07000
2014-02-28,26306.00000,23043.00000,3263.00000,2531.00000,-8.00000,2539.00000,724.00000,4.00000,728.00000,255.00000,473.00000,473.00000,463.00000,964.00000,724.00000,439.77600,442.82900,1.05000,1.05000
2013-11-30,25017.00000,21824.00000,3193.00000,2501.00000,-24.00000,2525.00000,668.00000,-9.00000,659.00000,228.00000,431.00000,431.00000,425.00000,899.00000,668.00000,437.97000,442.42000,0.97000,0.96000
2013-08-31,32487.00000,28418.00000,4069.00000,3098.00000,-17.00000,3115.00000,954.00000,,954.00000,332.00000,622.00000,622.00000,617.00000,1249.00000,954.00000,435.74100,440.51200,1.41000,1.40000
2013-05-31,24083.00000,21038.00000,3045.00000,2313.00000,-10.00000,2323.00000,722.00000,-10.00000,712.00000,248.00000,464.00000,464.00000,459.00000,943.00000,722.00000,436.48800,440.78000,1.05000,1.04000
2013-02-28,24871.00000,21766.00000,3105.00000,2361.00000,-6.00000,2367.00000,738.00000,1.00000,739.00000,185.00000,554.00000,554.00000,547.00000,955.00000,738.00000,435.97500,439.81200,1.26000,1.24000
2012-11-30,23715.00000,20726.00000,2989.00000,2332.00000,-18.00000,2350.00000,639.00000,7.00000,646.00000,225.00000,421.00000,421.00000,416.00000,852.00000,639.00000,433.42300,438.64300,0.96000,0.95000
2012-08-31,32218.00000,28210.00000,4008.00000,3044.00000,-15.00000,3059.00000,949.00000,16.00000,965.00000,343.00000,622.00000,622.00000,609.00000,1241.00000,949.00000,433.62000,439.37300,1.40000,1.38000
2012-05-31,22324.00000,19543.00000,2781.00000,2152.00000,-6.00000,2158.00000,623.00000,-1.00000,622.00000,217.00000,405.00000,405.00000,386.00000,825.00000,623.00000,433.79100,439.16600,0.89000,0.88000
2012-02-29,22967.00000,20139.00000,2828.00000,2178.00000,-6.00000,2184.00000,644.00000,-17.00000,627.00000,215.00000,412.00000,412.00000,394.00000,853.00000,644.00000,434.53500,439.46800,0.91000,0.90000
2011-11-30,21628.00000,18931.00000,2697.00000,2144.00000,-10.00000,2154.00000,543.00000,10.00000,553.00000,225.00000,328.00000,328.00000,320.00000,748.00000,543.00000,434.22200,440.61500,0.74000,0.73000
