,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2023-01-31,12652.00000,7934.00000,4718.00000,495.00000,952.00000,-299.00000,2225.00000,2493.00000,2493.00000,537.00000,1956.00000,1957.00000,1959.00000,3466.00000,2972.00000,297.60000,299.10000,6.58000,6.55000
2022-10-31,15536.00000,10214.00000,5322.00000,576.00000,1191.00000,-320.00000,2437.00000,2885.00000,2885.00000,642.00000,2243.00000,2244.00000,2246.00000,3687.00000,3235.00000,304.50000,306.30000,7.43000,7.39000
2022-07-31,14102.00000,9511.00000,4591.00000,481.00000,959.00000,-316.00000,2052.00000,2539.00000,2539.00000,654.00000,1885.00000,1885.00000,1884.00000,3345.00000,2835.00000,304.10000,305.70000,6.20000,6.16000
2022-04-30,13370.00000,8918.00000,4452.00000,453.00000,932.00000,-328.00000,1900.00000,2552.00000,2552.00000,461.00000,2091.00000,2097.00000,2098.00000,3186.00000,2739.00000,306.20000,308.10000,6.85000,6.81000
2022-01-31,9569.00000,6695.00000,2874.00000,402.00000,781.00000,-311.00000,1723.00000,1151.00000,1151.00000,250.00000,901.00000,904.00000,903.00000,1866.00000,1380.00000,307.40000,309.40000,2.94000,2.92000
2021-10-31,11327.00000,7809.00000,3518.00000,450.00000,935.00000,-311.00000,1906.00000,1612.00000,1612.00000,329.00000,1283.00000,1284.00000,1282.00000,2303.00000,1822.00000,311.60000,314.00000,4.16000,4.12000
2021-07-31,11527.00000,7574.00000,3953.00000,394.00000,841.00000,-324.00000,1803.00000,2150.00000,2150.00000,491.00000,1659.00000,1667.00000,1667.00000,2909.00000,2394.00000,311.00000,313.40000,5.36000,5.32000
2021-04-30,12058.00000,7928.00000,4130.00000,377.00000,838.00000,-335.00000,1818.00000,2312.00000,2312.00000,530.00000,1782.00000,1790.00000,1790.00000,3096.00000,2580.00000,312.80000,315.20000,5.72000,5.68000
2021-01-31,9112.00000,5805.00000,3307.00000,366.00000,769.00000,-373.00000,1779.00000,1528.00000,1528.00000,308.00000,1220.00000,1224.00000,1224.00000,2337.00000,1799.00000,313.50000,316.10000,3.90000,3.87000
2020-10-31,9731.00000,6471.00000,3260.00000,443.00000,1010.00000,-412.00000,2144.00000,1116.00000,1116.00000,330.00000,786.00000,758.00000,757.00000,1899.00000,1395.00000,313.50000,316.60000,2.40000,2.38000
2020-07-31,8925.00000,5835.00000,3090.00000,370.00000,752.00000,-408.00000,1820.00000,1270.00000,1270.00000,457.00000,813.00000,811.00000,811.00000,2107.00000,1560.00000,313.00000,315.80000,2.59000,2.57000
2020-04-30,9253.00000,6294.00000,2959.00000,406.00000,906.00000,-377.00000,2031.00000,928.00000,928.00000,245.00000,683.00000,666.00000,666.00000,1799.00000,1270.00000,313.20000,316.20000,2.13000,2.11000
2020-01-31,7631.00000,5077.00000,2554.00000,425.00000,809.00000,-415.00000,1985.00000,569.00000,569.00000,50.00000,519.00000,518.00000,517.00000,1443.00000,905.00000,313.50000,317.20000,1.65000,1.63000
2019-10-31,9896.00000,6735.00000,3161.00000,488.00000,944.00000,-516.00000,2336.00000,825.00000,825.00000,104.00000,721.00000,722.00000,721.00000,1710.00000,1213.00000,316.50000,320.60000,2.31000,2.28000
2019-07-31,10036.00000,6870.00000,3166.00000,431.00000,896.00000,-352.00000,2053.00000,1113.00000,1113.00000,221.00000,892.00000,899.00000,899.00000,1993.00000,1487.00000,315.90000,319.80000,2.84000,2.81000
2019-04-30,11342.00000,7755.00000,3587.00000,457.00000,947.00000,-359.00000,2114.00000,1473.00000,1473.00000,343.00000,1130.00000,1136.00000,1135.00000,2337.00000,1824.00000,317.90000,322.20000,3.57000,3.52000
2019-01-31,7984.00000,5432.00000,2552.00000,407.00000,764.00000,-351.00000,1875.00000,677.00000,677.00000,184.00000,493.00000,500.00000,498.00000,1533.00000,1030.00000,318.50000,322.70000,1.56000,1.54000
2018-10-31,9416.50000,6381.20000,3035.30000,470.00000,897.80000,-365.10000,2055.90000,979.40040,979.40000,203.40000,776.00000,785.00000,785.00000,1784.40000,1302.40000,322.60000,327.30000,2.46000,2.45000
2018-07-31,10308.00000,7152.00000,3156.00000,416.00000,913.00000,-346.00000,1966.00000,1190.00000,1190.00000,289.00000,901.00000,911.00000,910.00000,1975.20000,1481.00000,323.50000,328.00000,2.81000,2.78000
2018-04-30,10720.00000,7333.30000,3386.70000,415.20000,939.20000,-344.90000,2003.00100,1383.69900,1383.70000,177.10000,1206.60000,1209.70000,1208.10000,2174.99900,1687.39900,324.20000,329.20000,3.73000,3.67000
2018-01-31,6913.50000,4704.50000,2209.00000,356.80000,705.00000,-343.00000,1691.10000,517.90040,517.90000,1057.50000,-539.60000,-534.70000,-535.10000,1267.40000,804.20040,322.80000,322.80000,-1.66000,-1.66000
2017-10-31,8017.99900,5408.20000,2609.79900,398.69990,847.99990,-348.60000,1842.99900,766.79980,766.80000,222.80000,544.00000,509.99990,510.00000,1451.50000,1014.50000,319.50000,323.30000,1.60000,1.59000
2017-07-31,7807.80000,5248.60000,2559.20000,336.80000,799.10000,-317.10000,1669.30000,889.89990,889.90000,253.20000,636.70000,642.30000,641.80000,1542.10000,1106.20000,320.80000,325.10000,2.00000,1.97000
2017-04-30,8287.00000,5427.70000,2859.30000,325.40000,783.60000,-354.10000,1690.00000,1169.30000,1169.30000,365.80000,803.50010,808.30000,808.30000,1823.60000,1396.20000,319.20000,323.00000,2.53000,2.50000
2017-01-31,5625.20000,3781.50000,1843.70000,312.10000,667.30000,-328.20000,1515.70000,328.00000,328.00000,129.20000,198.80000,198.40000,198.90000,951.80000,536.10000,316.70000,319.70000,0.63000,0.62000
2016-10-31,6519.69900,4330.79900,2188.90000,390.59990,774.49990,-390.60010,1754.49900,434.40140,434.40000,140.30000,294.10000,284.40000,285.90000,1034.60100,633.20180,315.20000,316.60000,0.91000,0.90000
2016-07-31,6724.40000,4494.20000,2230.20000,338.80000,709.00000,-276.60000,1525.10000,705.09960,705.10000,226.50000,478.60000,488.60000,488.50000,1302.40000,905.79960,314.30000,315.70000,1.55000,1.55000
2016-04-30,7875.40000,5531.00000,2344.40000,345.00000,714.80000,-360.30000,1611.10000,733.30030,733.30000,237.80000,495.50000,494.70000,495.20000,1311.90000,924.30030,315.10000,316.50000,1.57000,1.56000
2016-01-31,5524.50000,3840.10000,1684.40000,319.30000,592.90000,-247.80000,1333.20000,351.20020,351.20000,95.50000,255.70000,253.80000,254.30000,898.60020,524.40020,316.40000,317.60000,0.80000,0.80000
2015-10-31,6715.30100,4670.39900,2044.90200,404.00010,719.00000,-302.00000,1587.90000,457.00200,457.00010,104.60000,352.40010,351.50020,351.70000,973.10210,619.90150,333.60000,336.00000,1.09000,1.09000
2015-07-31,7593.70000,5358.00000,2235.70000,346.80000,755.30000,-223.60000,1497.20000,738.50050,738.50000,241.00000,497.50000,511.70000,511.40000,1256.30000,910.00050,331.40000,334.10000,1.54000,1.53000
2015-04-30,8170.70000,5694.20000,2476.50000,341.10000,740.00000,-212.90000,1459.50000,1017.00000,1017.00000,324.00000,693.00000,690.80000,690.20000,1522.50000,1182.50000,337.10000,339.70000,2.05000,2.03000
2015-01-31,6383.10000,4420.60000,1962.50000,333.20000,659.00000,-222.60000,1394.90000,567.59960,567.60000,170.50000,397.10000,386.90000,386.70000,1090.60000,747.69960,343.10000,345.70000,1.13000,1.12000
2014-10-31,8964.79900,6097.20000,2867.59900,412.10000,851.29990,-355.10000,1791.10200,1076.49700,1076.50000,416.80000,659.69980,649.89980,649.89980,1598.19700,1249.09600,363.00000,366.10000,1.86000,1.84000
