,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,4521.00000,789.00000,3732.00000,2378.00000,2378.00000,1354.00000,1354.00000,321.00000,1033.00000,1033.00000,1027.00000,272.00000,273.00000,3.77000,3.77000
2022-09-30,3993.00000,514.00000,3479.00000,2161.00000,2161.00000,1318.00000,1318.00000,312.00000,1006.00000,1006.00000,967.00000,273.00000,274.00000,3.54000,3.54000
2022-06-30,3529.00000,305.00000,3224.00000,1772.00000,1772.00000,1452.00000,1452.00000,341.00000,1111.00000,1111.00000,1105.00000,279.00000,279.00000,3.96000,3.96000
2022-03-31,3159.00000,257.00000,2902.00000,1284.00000,1284.00000,1618.00000,1618.00000,376.00000,1242.00000,1242.00000,1205.00000,285.00000,285.00000,4.23000,4.22000
2021-12-31,3195.00000,259.00000,2936.00000,1575.00000,1575.00000,1361.00000,1361.00000,294.00000,1067.00000,1067.00000,1062.00000,300.00000,300.00000,3.71000,3.70000
2021-09-30,3046.00000,269.00000,2777.00000,1375.00000,1375.00000,1402.00000,1402.00000,311.00000,1091.00000,1091.00000,1055.00000,298.00000,298.00000,3.54000,3.54000
2021-06-30,3869.00000,290.00000,3579.00000,1357.00000,1357.00000,2222.00000,2222.00000,524.00000,1698.00000,1698.00000,1688.00000,304.00000,304.00000,5.56000,5.55000
2021-03-31,3111.00000,316.00000,2795.00000,716.00000,716.00000,2079.00000,2079.00000,486.00000,1593.00000,1593.00000,1546.00000,307.00000,307.00000,5.04000,5.04000
2020-12-31,3207.00000,383.00000,2824.00000,1809.00000,1809.00000,1015.00000,1015.00000,216.00000,799.00000,799.00000,800.00000,307.00000,307.00000,2.60000,2.60000
2020-09-30,3130.00000,416.00000,2714.00000,1755.00000,1755.00000,959.00000,959.00000,188.00000,771.00000,771.00000,751.00000,306.00000,306.00000,2.45000,2.45000
2020-06-30,3144.00000,482.00000,2662.00000,3123.00000,3123.00000,-461.00000,-461.00000,-93.00000,-368.00000,-368.00000,-369.00000,306.00000,306.00000,-1.20000,-1.20000
2020-03-31,3472.00000,584.00000,2888.00000,2966.00000,2966.00000,-78.00000,-78.00000,-17.00000,-61.00000,-61.00000,-78.00000,308.00000,308.00000,-0.25000,-0.25000
2019-12-31,3559.00000,615.00000,2944.00000,2020.00000,2020.00000,924.00000,924.00000,216.00000,708.00000,708.00000,707.00000,320.00000,320.00000,2.26000,2.25000
2019-09-30,3538.00000,638.00000,2900.00000,1906.00000,1906.00000,994.00000,994.00000,224.00000,770.00000,770.00000,749.00000,317.00000,317.00000,2.36000,2.36000
2019-06-30,3497.00000,645.00000,2852.00000,1865.00000,1865.00000,987.00000,987.00000,234.00000,753.00000,753.00000,747.00000,322.00000,323.00000,2.32000,2.32000
2019-03-31,3395.00000,632.00000,2763.00000,1833.00000,1833.00000,930.00000,930.00000,204.00000,726.00000,726.00000,705.00000,328.00000,328.00000,2.15000,2.15000
2018-12-31,3412.00000,605.00000,2807.00000,1910.00000,1910.00000,897.00000,897.00000,210.00000,687.00000,687.00000,681.00000,344.00000,345.00000,2.03000,2.01000
2018-09-30,3282.00000,558.00000,2724.00000,1757.00000,1757.00000,967.00000,967.00000,247.00000,720.00000,720.00000,699.00000,341.00000,342.00000,2.05000,2.05000
2018-06-30,3110.00000,507.00000,2603.00000,1726.00000,1726.00000,877.00000,877.00000,208.00000,669.00000,669.00000,663.00000,348.00000,348.00000,1.91000,1.91000
2018-03-31,3044.00000,469.00000,2575.00000,1719.00000,1719.00000,856.00000,856.00000,190.00000,666.00000,666.00000,646.00000,355.00000,355.00000,1.82000,1.82000
2017-12-31,3050.00000,436.00000,2614.00000,1715.00000,1715.00000,899.00000,899.00000,512.00000,387.00000,387.00000,359.00000,374.00000,374.00000,1.00000,1.00000
2017-09-30,2951.00000,426.00000,2525.00000,1622.00000,1622.00000,903.00000,903.00000,301.00000,602.00000,602.00000,589.00000,371.00000,371.00000,1.59000,1.59000
2017-06-30,2819.00000,400.00000,2419.00000,1552.00000,1552.00000,867.00000,867.00000,321.00000,546.00000,546.00000,532.00000,379.00000,379.00000,1.41000,1.40000
2017-03-31,2725.00000,386.00000,2339.00000,1471.00000,1471.00000,868.00000,868.00000,304.00000,564.00000,564.00000,551.00000,386.00000,386.00000,1.43000,1.43000
2016-12-31,2724.00000,366.00000,2358.00000,1475.00000,1475.00000,883.00000,883.00000,320.00000,563.00000,563.00000,550.00000,405.00000,406.00000,1.39000,1.39000
2016-09-30,2660.00000,359.00000,2301.00000,1340.00000,1340.00000,961.00000,961.00000,322.00000,639.00000,639.00000,625.00000,402.00000,402.00000,1.56000,1.56000
2016-06-30,2555.00000,339.00000,2216.00000,1318.00000,1318.00000,898.00000,898.00000,282.00000,616.00000,616.00000,602.00000,410.00000,411.00000,1.47000,1.47000
2016-03-31,2558.00000,334.00000,2224.00000,1310.00000,1310.00000,914.00000,914.00000,339.00000,575.00000,575.00000,562.00000,417.00000,417.00000,1.35000,1.35000
2015-12-31,2534.00000,329.00000,2205.00000,1417.00000,1417.00000,788.00000,788.00000,288.00000,500.00000,500.00000,488.00000,437.00000,438.00000,1.15000,1.14000
2015-09-30,2511.00000,323.00000,2188.00000,1214.00000,1214.00000,974.00000,974.00000,362.00000,612.00000,612.00000,599.00000,433.00000,434.00000,1.38000,1.38000
2015-06-30,2486.00000,311.00000,2175.00000,1233.00000,1233.00000,942.00000,942.00000,343.00000,599.00000,599.00000,586.00000,441.00000,442.00000,1.33000,1.33000
2015-03-31,2471.00000,300.00000,2171.00000,1263.00000,1263.00000,908.00000,908.00000,322.00000,586.00000,586.00000,573.00000,448.00000,448.00000,1.28000,1.28000
2014-12-31,2339.00000,302.00000,2037.00000,1389.00000,1389.00000,648.00000,648.00000,244.00000,404.00000,404.00000,392.00000,462.00000,463.00000,0.88000,0.87000
2014-09-30,2478.00000,288.00000,2190.00000,1181.00000,1181.00000,1009.00000,1009.00000,365.00000,644.00000,644.00000,630.00000,460.00000,461.00000,1.37000,1.37000
2014-06-30,2446.00000,274.00000,2172.00000,1157.00000,1157.00000,1015.00000,1015.00000,371.00000,644.00000,644.00000,630.00000,466.00000,467.00000,1.35000,1.35000
2014-03-31,2348.00000,270.00000,2078.00000,1056.00000,1056.00000,1022.00000,1022.00000,391.00000,631.00000,631.00000,618.00000,471.00000,472.00000,1.31000,1.31000
2013-12-31,2402.00000,273.00000,2129.00000,1192.00000,1192.00000,937.00000,937.00000,335.00000,602.00000,602.00000,588.00000,485.49200,486.86100,1.24000,1.23000
2013-09-30,2340.00000,278.00000,2062.00000,1116.00000,1116.00000,946.00000,946.00000,353.00000,593.00000,593.00000,579.00000,482.00000,484.00000,1.20000,1.20000
2013-06-30,2338.00000,297.00000,2041.00000,1060.00000,1060.00000,981.00000,981.00000,379.00000,602.00000,602.00000,588.00000,489.00000,490.00000,1.20000,1.20000
2013-03-31,2290.00000,298.00000,1992.00000,912.00000,912.00000,1080.00000,1080.00000,407.00000,673.00000,673.00000,659.00000,496.00000,497.00000,1.33000,1.33000
2012-12-31,,,,,,,,,,,,,,,0.00000
2012-11-30,,,,,,,,,,,,,,,0.00000
2012-09-30,2326.00000,321.00000,2005.00000,977.00000,977.00000,1028.00000,1028.00000,391.00000,637.00000,637.00000,631.00000,510.00000,511.00000,1.24000,1.24000
2012-08-31,2289.21900,325.31000,1963.90900,952.19500,952.19500,1011.71400,1011.71400,385.02800,626.68600,626.68600,620.77000,512.79300,513.96200,1.21000,1.21000
2012-06-30,2198.00000,332.00000,1866.00000,1020.00000,1020.00000,846.00000,846.00000,321.00000,525.00000,525.00000,520.00000,523.00000,524.00000,0.99000,0.99000
2012-05-31,2188.75800,340.53900,1848.21900,981.05200,981.05200,867.16700,867.16700,330.57600,536.59100,536.59100,531.54500,528.09400,529.26900,1.01000,1.00000
2012-03-31,2152.00000,349.00000,1803.00000,756.00000,756.00000,1047.00000,1047.00000,397.00000,650.00000,650.00000,644.00000,530.00000,531.00000,1.22000,1.21000
