,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,3671.20000,2254.90000,1416.30000,922.10000,-95.00000,1017.10000,399.20000,-77.60000,321.60000,52.10000,269.50000,269.50000,,264.40000,,399.20000,284.60000,285.80000,0.93000,0.93000
2022-09-30,3669.30000,2291.60000,1377.70000,876.90000,-17.80000,894.70000,483.00000,-70.80000,412.20000,60.20000,352.00000,352.00000,,347.10000,715.80000,483.00000,284.90000,286.30000,1.22000,1.21000
2022-06-30,3580.60000,2211.10000,1369.50000,940.10000,-3.60000,943.70000,425.79980,-36.50000,389.30000,76.60000,312.70000,312.70000,,308.30000,660.49980,425.79980,285.10000,286.60000,1.08000,1.08000
2022-03-31,3266.70000,2073.40000,1193.30000,914.70000,-24.10000,938.80000,254.50000,-34.20000,220.30000,45.60000,174.70000,174.70000,,171.90000,489.20000,254.50000,286.20000,288.10000,0.60000,0.60000
2021-12-31,3364.60000,2043.10000,1321.50000,867.90000,-65.90000,933.80000,387.70000,-38.20000,349.49990,44.20000,305.30000,305.30000,,301.00000,603.30000,387.69970,286.30000,289.10000,1.05000,1.04000
2021-09-30,3320.80000,2016.70000,1304.10000,832.00000,-6.30000,838.30000,465.80000,-63.40000,402.40000,73.80000,328.60000,328.60000,,324.50000,672.70010,465.80000,286.40000,289.20000,1.13000,1.12000
2021-06-30,3162.70000,1844.00000,1318.70000,853.30000,-17.60000,870.90000,447.79980,-48.10000,399.70000,86.10000,313.60000,313.60000,,310.80000,653.19980,447.79980,286.00000,288.80000,1.09000,1.08000
2021-03-31,2885.00000,1712.00000,1173.00000,862.90000,-12.80000,875.70000,297.30000,-34.70000,262.60000,66.10000,196.50000,196.50000,,193.60000,512.50010,297.30000,286.00000,288.80000,0.68000,0.67000
2020-12-31,3065.29900,1780.30000,1285.00000,809.60000,-59.30000,868.90000,416.09910,-38.10000,378.00010,73.10000,304.90000,314.60000,-0.00010,300.30010,623.59910,416.09960,287.00000,290.30000,1.02000,1.01000
2020-09-30,3018.60000,1769.60000,1249.00000,802.60000,-35.00000,837.60000,411.40010,-119.70000,291.70000,42.40000,249.30000,249.30000,,246.20000,620.40010,411.40010,285.40000,288.40000,0.86000,0.85000
2020-06-30,2685.70000,1635.70000,1050.00000,788.60000,-69.40000,858.00000,192.00020,-43.60000,148.40000,14.10000,134.30000,128.90000,-2163.90000,-2035.00000,389.50020,192.00020,288.20000,291.50000,-7.06000,-6.98000
2020-03-31,3020.60000,1720.20000,1300.40000,908.30000,-15.90000,924.20000,376.20020,-32.90000,343.30000,47.00000,296.30000,292.00000,-8.60000,283.40000,574.90020,376.20020,288.80000,292.60000,0.98000,0.97000
2019-12-31,2663.50000,1395.00000,1268.50000,773.30010,-30.60000,803.89900,464.60060,-31.90000,432.70010,77.80000,354.90000,363.20000,79.80000,429.60000,660.90060,464.60030,288.10000,292.50000,1.49000,1.47000
2019-09-30,3224.00000,1780.90000,1443.10000,869.20000,-24.90000,894.10000,549.00000,-25.30000,523.70000,83.40000,440.30000,435.90000,28.30000,464.20000,743.30000,549.00000,288.10000,292.80000,1.61000,1.59000
2019-06-30,3169.10000,1780.30000,1388.80000,900.00000,-24.40000,924.40000,464.40010,-28.30000,436.10000,88.80000,347.30000,343.40000,25.20000,368.60000,610.30020,464.40010,287.60000,292.10000,1.28000,1.26000
2019-03-31,3505.40000,2089.60000,1415.80000,1008.30000,-40.30000,1048.60000,367.19970,-28.20000,339.00000,38.60000,300.40000,300.40000,,296.50000,605.99970,367.19970,288.20000,292.30000,1.03000,1.01000
2018-12-31,1314.39900,466.20040,848.19900,486.00010,1.00000,485.00000,363.19900,-32.80000,330.40000,104.60000,225.80000,225.80010,,395.10000,393.19900,363.19920,288.60000,292.80000,1.36000,1.36000
2018-09-30,3747.20000,2190.70000,1556.50000,964.70000,-75.60000,1040.30000,516.20000,-34.70000,481.50000,43.20000,438.30000,438.30000,,435.40000,750.80000,516.20000,288.80000,293.40000,1.51000,1.48000
2018-06-30,3689.60000,2146.10000,1543.50000,1036.80000,-12.10000,1048.90000,494.59990,-36.70000,457.90000,104.30000,353.60000,353.60000,,351.30000,729.29990,494.59990,288.80000,293.30000,1.22000,1.20000
2018-03-31,3470.90000,2072.30000,1398.60000,1018.30000,-26.00000,1044.30000,354.29980,-37.00000,317.30000,69.10000,248.20000,248.20000,,247.30000,585.39980,354.29980,288.60000,292.70000,0.86000,0.84000
2017-12-31,3649.00000,2102.40000,1546.60100,988.99990,51.60000,937.40000,609.20040,-61.00000,548.20000,-20.20000,568.40000,568.40000,,562.59990,837.00050,609.20070,289.60000,294.00000,1.95000,1.92000
2017-09-30,3564.50000,2064.60000,1499.90000,930.90000,-4.90000,935.80000,564.10010,-38.20000,525.90000,129.30000,396.60000,396.60000,,393.20000,792.40010,564.10010,289.00000,293.40000,1.36000,1.34000
2017-06-30,3460.00000,2045.40000,1414.60000,958.20000,-36.80000,995.00000,419.59990,-42.80000,376.80000,80.50000,296.30000,296.30000,,294.80000,640.79980,419.59990,289.80000,294.10000,1.02000,1.00000
2017-03-31,3162.40000,1851.80000,1310.60000,947.20000,-6.20000,953.40000,357.20000,-45.70000,311.50000,54.20000,257.30000,257.30000,,254.00000,573.20000,357.20000,290.60000,295.00000,0.87000,0.86000
2016-12-31,3351.09900,2380.10000,970.99900,455.10010,-3.80000,458.89900,512.09990,-24.50000,487.59990,116.20000,371.40000,371.40000,,365.70000,724.69990,512.10010,292.50000,296.70000,1.26000,1.23000
2016-09-30,3386.10000,1737.20000,1648.90000,1071.60000,-3.20000,1074.80000,574.10030,-64.90000,509.20000,129.70000,379.50000,379.50000,,374.10000,790.90030,574.10030,291.60000,295.70000,1.28000,1.27000
2016-06-30,3317.20000,1785.20000,1532.00000,1093.30000,-26.20000,1119.50000,412.50000,-65.30000,347.20000,83.60000,263.60000,263.60000,,258.40000,621.60000,412.50000,292.40000,296.50000,0.88000,0.87000
2016-03-31,3097.40000,1631.40000,1466.00000,1088.20000,-6.30000,1094.50000,371.49980,-66.10000,305.40000,73.40000,232.00000,232.00000,,230.80000,583.69980,371.49980,294.40000,298.00000,0.78000,0.77000
2015-12-31,3411.99900,1831.70000,1580.29900,1058.80000,-198.70000,1257.50000,322.79860,-62.30000,260.49990,37.60000,222.90000,222.90000,,208.90000,535.19860,322.79980,296.40000,301.40000,0.71000,0.69000
2015-09-30,3446.40000,1820.00000,1626.40000,1070.70000,-142.70000,1213.40000,413.00000,-57.60000,355.40000,105.30000,250.10000,250.10000,,257.80000,624.40000,413.00000,295.20000,300.00000,0.87000,0.86000
2015-06-30,3389.10000,1806.50000,1582.60000,1079.20000,-65.60000,1144.80000,437.80000,-61.20000,376.60000,67.80000,308.80000,308.80000,,302.00000,656.30000,437.80000,296.20000,301.10000,1.02000,1.00000
2015-03-31,3297.60000,1765.30000,1532.30000,1136.80000,-7.80000,1144.60000,387.70000,-62.50000,325.20000,89.80000,235.40000,235.40000,,233.40000,604.90000,387.70000,298.20000,303.20000,0.78000,0.77000
2014-12-31,3680.79900,1979.90000,1700.89900,1142.10000,-38.30000,1180.40000,520.49950,-62.00000,458.50010,115.20000,343.29990,343.29990,,335.50000,738.49950,520.50020,300.10000,305.90000,1.11000,1.10000
2014-09-30,3694.90000,1970.60000,1724.30000,1145.90000,-7.00000,1152.90000,571.39990,-63.30000,508.10000,138.70000,369.40000,369.40000,,364.90000,789.99990,571.39990,300.00000,305.70000,1.22000,1.19000
2014-06-30,3568.20000,1909.40000,1658.80000,1152.70000,6.10000,1146.60000,512.20000,-66.20000,446.00000,131.00000,315.00000,315.00000,,311.40000,730.80000,512.20000,299.60000,305.20000,1.04000,1.02000
2014-03-31,3336.60000,1819.20000,1517.40000,1136.90000,-29.60000,1166.50000,350.89990,-65.10000,285.80000,91.30000,194.50000,194.50000,,191.00000,567.69990,350.89990,300.60000,306.50000,0.64000,0.62000
2013-12-31,3559.50000,1945.20000,1614.30000,1123.50000,-20.20000,1143.70000,470.60060,-67.60000,403.00010,113.40000,289.60000,289.60000,,287.10000,685.00060,470.60030,299.90000,305.00000,0.96000,0.94000
2013-09-30,3484.00000,1866.10000,1617.90000,1114.10000,-27.80000,1141.90000,476.00000,-67.00000,409.00000,101.80000,307.20000,307.20000,,308.00000,687.90000,476.00000,301.20000,307.00000,1.02000,1.00000
2013-06-30,3337.80000,1810.20000,1527.60000,1101.70000,-73.60000,1175.30000,352.30000,-66.20000,286.10000,70.30000,215.80000,215.80000,,213.10000,556.90000,352.30000,301.50000,307.40000,0.71000,0.69000
2013-03-31,2872.10000,1539.70000,1332.40000,1021.00000,-49.70000,1070.70000,261.70020,-61.50000,200.20000,39.20000,161.00000,161.00000,,159.60000,447.00020,261.70020,295.40000,300.90000,0.54000,0.53000
2012-12-31,3045.80000,1546.10000,1499.70000,1069.20000,-34.70000,1103.90000,395.80000,-62.50000,333.30000,98.80000,234.50000,234.50000,,231.40000,576.70010,395.80000,292.50000,298.90000,0.80000,0.76000
2012-09-30,3023.30000,1616.40000,1406.90000,977.70000,-28.00000,1005.70000,401.20000,-64.20000,337.00000,97.70000,239.30000,239.30000,,238.00000,579.20000,401.20000,292.70000,298.60000,0.81000,0.80000
2012-06-30,2958.70000,1608.90000,1349.80000,981.70000,-41.60000,1023.30000,326.49980,-63.90000,262.60000,79.20000,183.40000,183.40000,,184.50000,504.89980,326.49980,291.90000,298.20000,0.63000,0.62000
2012-03-31,2810.90000,1614.00000,1196.90000,989.70000,-41.40000,1031.10000,165.80000,-86.10000,79.70000,35.60000,44.10000,44.10000,,49.70000,343.00010,165.80000,291.50000,297.90000,0.17000,0.17000
2011-12-31,1845.30000,966.50010,878.79970,651.60010,-63.00000,714.59990,164.19960,-34.40000,129.80000,41.00000,88.80000,88.80000,,88.70000,274.89960,164.19960,236.90000,242.10000,0.34000,0.33000
2011-09-30,1736.10000,877.90000,858.20000,595.30000,-23.30000,618.60000,239.60000,-13.20000,226.40000,71.90000,154.50000,154.50000,,154.30000,336.70000,239.60000,231.90000,236.10000,0.67000,0.65000
2011-06-30,1698.80000,860.80000,838.00010,609.60000,-30.10000,639.70000,198.30020,-13.10000,185.20000,59.00000,126.20000,126.20000,,125.90000,295.00020,198.30020,231.60000,236.10000,0.54000,0.53000
2011-03-31,1518.30000,770.40000,747.90000,581.60000,-14.60000,596.20000,151.70010,-13.50000,138.20000,44.40000,93.80000,93.80000,,93.60000,242.90010,151.70010,232.00000,235.90000,0.40000,0.40000
2010-12-31,1575.50000,783.69990,791.80050,579.70010,-8.50000,588.20010,203.60020,-14.20000,189.40000,57.80000,131.60000,131.60000,,131.30000,292.00020,203.60000,233.40000,237.60000,0.56000,0.55000
2010-09-30,1561.90000,763.40000,798.50000,558.50000,5.10000,553.40000,245.10000,-14.90000,230.20000,55.90000,174.30000,174.30000,,174.20000,326.60000,245.10000,232.80000,237.00000,0.75000,0.74000
2010-06-30,1520.20000,750.00000,770.20000,565.30000,-0.60000,565.90000,204.29990,-15.00000,189.30000,59.80000,129.50000,129.50000,,129.30000,296.09990,204.29990,233.40000,237.40000,0.55000,0.54000
2010-03-31,1432.10000,716.70000,715.40000,558.10000,-3.50000,561.60000,153.79990,-15.00000,138.80000,43.10000,95.70000,95.70000,,95.50000,239.99990,153.79990,235.40000,239.00000,0.41000,0.40000
2009-12-31,1564.50000,781.10010,783.40010,577.40000,-10.20000,587.59990,195.79980,-15.10000,180.70000,64.40000,116.30000,116.30000,,115.80000,281.49980,195.79980,236.70000,239.90000,0.49000,0.49000
2009-09-30,1546.40000,763.90000,782.50000,554.10000,-5.40000,559.50000,223.00000,-15.10000,207.90000,62.70000,145.20000,145.20000,,145.00000,306.60000,223.00000,237.00000,240.60000,0.61000,0.60000
2009-06-30,1441.50000,725.10000,716.40000,526.40000,-25.00000,551.40000,165.00000,-15.20000,149.80000,50.30000,99.50000,99.50000,,99.10000,249.60000,165.00000,236.50000,239.50000,0.42000,0.41000
2009-03-31,1348.20000,707.90000,640.29990,516.30000,-26.50000,542.80000,97.50000,-15.80000,81.70000,24.00000,57.70000,57.70000,,57.40000,177.90000,97.50000,236.10000,238.10000,0.24000,0.24000
