,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2030.00000,228.00000,1802.00000,151.00000,-30.00000,546.00000,1256.00000,33.00000,1289.00000,261.00000,1028.00000,1028.00000,1007.00000,,1256.00000,177.64000,177.64000,5.62000,5.62000
2022-09-30,2437.00000,254.00000,2183.00000,190.00000,-43.00000,569.00000,1614.00000,-54.00000,1560.00000,290.00000,1270.00000,1270.00000,1172.00000,1950.00000,1614.00000,174.40600,174.40800,6.72000,6.72000
2022-06-30,2768.00000,243.00000,2525.00000,217.00000,,547.00000,1978.00000,-115.00000,1863.00000,402.00000,1461.00000,1461.00000,1416.00000,2308.00000,1978.00000,176.57000,176.87600,7.95000,7.93000
2022-03-31,2408.00000,230.00000,2178.00000,197.00000,-8.00000,518.00000,1660.00000,-636.00000,1024.00000,221.00000,803.00000,803.00000,779.00000,1973.00000,1660.00000,177.56500,178.55500,4.39000,4.36000
2021-12-31,2022.00000,157.00000,1865.00000,168.00000,-66.00000,554.00000,1311.00000,19.00000,1330.00000,279.00000,1051.00000,1051.00000,1008.00000,1631.00000,1311.00000,176.64300,176.64300,5.65000,5.66000
2021-09-30,1910.00000,223.00000,1687.00000,162.00000,-20.00000,523.00000,1164.00000,-297.00000,867.00000,193.00000,674.00000,674.00000,643.00000,1505.00000,1164.00000,181.02700,181.02700,3.55000,3.55000
2021-06-30,1681.00000,236.00000,1445.00000,141.00000,-8.00000,490.00000,955.00000,-533.00000,422.00000,94.00000,328.00000,328.00000,311.00000,1296.00000,955.00000,181.00900,181.19900,1.70000,1.70000
2021-03-31,1184.00000,161.00000,1023.00000,100.00000,-79.00000,452.00000,571.00000,-283.00000,288.00000,65.00000,223.00000,223.00000,220.00000,844.00000,571.00000,164.16900,164.92600,1.34000,1.33000
2020-12-31,769.00000,47.00000,722.00000,71.00000,-1127.00000,1468.00000,-746.00000,-212.00000,-958.00000,-202.00000,-756.00000,-756.00000,-739.00000,-476.00000,-746.00000,157.97600,157.97600,-4.68000,-4.68000
2020-09-30,720.00000,161.00000,559.00000,75.00000,-1452.00000,1815.00000,-1256.00000,-153.00000,-1409.00000,-304.00000,-1105.00000,-1105.00000,-1113.00000,-968.00000,-1256.00000,157.83300,157.83300,-7.05000,-7.05000
2020-06-30,425.00000,171.00000,254.00000,42.00000,-2540.00000,2926.00000,-2672.00000,-420.00000,-3092.00000,-681.00000,-2411.00000,-2411.00000,-2393.00000,-2328.00000,-2672.00000,157.82900,157.82900,-15.16000,-15.16000
2020-03-31,899.00000,186.00000,713.00000,95.00000,-1011.00000,1515.00000,-802.00000,485.00000,-317.00000,83.00000,-400.00000,-400.00000,-272.00000,-393.00000,-802.00000,158.29100,158.49400,-1.72000,-1.72000
