,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2810.00000,498.00000,2312.00000,1398.00000,1398.00000,914.00000,914.00000,177.00000,737.00000,737.00000,699.00000,688.68000,694.19500,1.01000,1.01000
2022-09-30,2432.00000,262.00000,2170.00000,1325.00000,1325.00000,845.00000,845.00000,192.00000,653.00000,653.00000,631.00000,689.27810,694.59280,0.91000,0.91000
2022-06-30,2140.00000,125.00000,2015.00000,1291.00000,1291.00000,724.00000,724.00000,162.00000,562.00000,562.00000,526.00000,689.01860,694.80470,0.76000,0.76000
2022-03-31,1973.00000,94.00000,1879.00000,1267.00000,1267.00000,612.00000,612.00000,118.00000,494.00000,494.00000,474.00000,687.53800,696.24240,0.69000,0.68000
2021-12-31,2086.00000,97.00000,1989.00000,1161.00000,1161.00000,828.00000,828.00000,165.00000,663.00000,663.00000,628.00000,702.18850,711.19780,0.91000,0.89000
2021-09-30,2128.00000,103.00000,2025.00000,1130.00000,1130.00000,895.00000,895.00000,191.00000,704.00000,704.00000,683.00000,697.45750,706.08970,0.98000,0.97000
2021-06-30,2064.00000,115.00000,1949.00000,1038.00000,1038.00000,911.00000,911.00000,202.00000,709.00000,709.00000,674.00000,708.83280,718.08470,0.95000,0.94000
2021-03-31,2051.00000,126.00000,1925.00000,1042.00000,1042.00000,883.00000,883.00000,189.00000,694.00000,694.00000,674.00000,714.43280,723.42510,0.94000,0.93000
2020-12-31,2102.00000,132.00000,1970.00000,1223.00000,1223.00000,747.00000,747.00000,142.00000,605.00000,605.00000,569.00000,714.72960,719.73540,0.79000,0.78000
2020-09-30,2051.00000,159.00000,1892.00000,1146.00000,1146.00000,746.00000,746.00000,165.00000,581.00000,581.00000,562.00000,715.10210,718.89390,0.78000,0.78000
2020-06-30,2053.00000,203.00000,1850.00000,1606.00000,1606.00000,244.00000,244.00000,49.00000,195.00000,195.00000,163.00000,714.76650,717.57190,0.23000,0.23000
2020-03-31,2196.00000,296.00000,1900.00000,1840.00000,1840.00000,60.00000,60.00000,14.00000,46.00000,46.00000,29.00000,713.55570,720.36270,0.04000,0.04000
2019-12-31,2595.00000,332.00000,2263.00000,1323.00000,1323.00000,940.00000,940.00000,205.00000,735.00000,735.00000,702.00000,710.43360,720.06550,0.95000,0.93000
2019-09-30,2365.00000,383.00000,1982.00000,1293.00000,1293.00000,689.00000,689.00000,140.00000,549.00000,549.00000,530.00000,726.71550,736.08640,0.72000,0.71000
2019-06-30,2296.00000,391.00000,1905.00000,1328.00000,1328.00000,577.00000,577.00000,124.00000,453.00000,453.00000,427.00000,738.05140,747.74960,0.57000,0.57000
2019-03-31,2534.00000,351.00000,2183.00000,1187.00000,1187.00000,996.00000,996.00000,221.00000,775.00000,775.00000,760.00000,661.05710,670.68500,1.14000,1.12000
2018-12-31,1968.00000,312.00000,1656.00000,1071.00000,1071.00000,585.00000,585.00000,131.00000,454.00000,454.00000,432.00000,673.34620,685.48850,0.67000,0.67000
2018-09-30,1878.00000,272.00000,1606.00000,1056.00000,1056.00000,550.00000,550.00000,114.00000,436.00000,436.00000,421.00000,667.62410,679.19870,0.62000,0.61000
2018-06-30,2012.00000,249.00000,1763.00000,1015.00000,1015.00000,748.00000,748.00000,146.00000,602.00000,602.00000,579.00000,683.34480,696.21000,0.84000,0.82000
2018-03-31,2115.00000,210.00000,1905.00000,1023.00000,1023.00000,882.00000,882.00000,181.00000,701.00000,701.00000,686.00000,689.82030,704.10100,0.98000,0.96000
2017-12-31,1721.00000,189.00000,1532.00000,932.00000,932.00000,600.00000,600.00000,106.00000,494.00000,494.00000,476.00000,728.28920,740.69140,0.65000,0.63000
2017-09-30,2713.00000,182.00000,2531.00000,1042.00000,1042.00000,1489.00000,1489.00000,475.00000,1014.00000,1014.00000,999.00000,721.28000,733.28500,1.37000,1.35000
2017-06-30,1670.00000,167.00000,1503.00000,1009.00000,1009.00000,494.00000,494.00000,127.00000,367.00000,367.00000,340.00000,741.40070,752.32830,0.46000,0.45000
2017-03-31,1609.00000,153.00000,1456.00000,1060.00000,1060.00000,396.00000,396.00000,91.00000,305.00000,305.00000,290.00000,747.66800,760.80900,0.38000,0.38000
2016-12-31,1672.00000,149.00000,1523.00000,871.00000,871.00000,652.00000,652.00000,275.00000,377.00000,377.00000,358.00000,757.43230,764.49540,0.46000,0.47000
2016-09-30,1897.00000,150.00000,1747.00000,1053.00000,1053.00000,694.00000,694.00000,178.00000,516.00000,516.00000,501.00000,750.88600,757.85600,0.66000,0.65000
2016-06-30,1645.00000,144.00000,1501.00000,1074.00000,1074.00000,427.00000,427.00000,103.00000,324.00000,324.00000,305.00000,759.10540,764.81100,0.40000,0.39000
2016-03-31,1675.00000,135.00000,1540.00000,1105.00000,1105.00000,435.00000,435.00000,109.00000,326.00000,326.00000,308.00000,773.56410,777.75790,0.40000,0.40000
2015-12-31,2133.00000,131.00000,2002.00000,1054.00000,1054.00000,948.00000,948.00000,293.00000,655.00000,655.00000,628.00000,798.62820,807.65870,0.79000,0.78000
2015-09-30,1739.00000,125.00000,1614.00000,1099.00000,1099.00000,515.00000,515.00000,134.00000,381.00000,381.00000,362.00000,795.79280,805.02260,0.46000,0.45000
2015-06-30,1559.00000,116.00000,1443.00000,1026.00000,1026.00000,417.00000,417.00000,108.00000,309.00000,309.00000,289.00000,803.96500,812.84300,0.36000,0.36000
2015-03-31,1600.00000,123.00000,1477.00000,992.00000,992.00000,485.00000,485.00000,124.00000,361.00000,361.00000,343.00000,810.20960,818.67230,0.42000,0.42000
2014-12-31,1664.00000,128.00000,1536.00000,1016.00000,1016.00000,520.00000,520.00000,135.00000,385.00000,385.00000,353.00000,833.11630,842.96730,0.44000,0.42000
2014-09-30,1538.00000,115.00000,1423.00000,959.00000,959.00000,464.00000,464.00000,124.00000,340.00000,340.00000,328.00000,829.39200,838.32400,0.39000,0.39000
2014-06-30,1744.00000,108.00000,1636.00000,1030.00000,1030.00000,606.00000,606.00000,167.00000,439.00000,439.00000,412.00000,838.49200,848.24500,0.49000,0.49000
2014-03-31,1557.00000,100.00000,1457.00000,1019.00000,1019.00000,438.00000,438.00000,119.00000,319.00000,319.00000,309.00000,845.86000,857.92360,0.36000,0.36000
2013-12-31,1705.00000,102.00000,1603.00000,1041.00000,1041.00000,562.00000,562.00000,160.00000,402.00000,402.00000,383.00000,869.46300,894.73600,0.44000,0.44000
2013-09-30,1713.00000,99.00000,1614.00000,1010.00000,1010.00000,604.00000,604.00000,183.00000,421.00000,421.00000,421.00000,880.18300,888.11100,0.47000,0.47000
2013-06-30,2044.00000,104.00000,1940.00000,1099.00000,1099.00000,841.00000,841.00000,250.00000,591.00000,591.00000,582.00000,858.58270,900.62550,0.67000,0.65000
2013-03-31,1738.00000,107.00000,1631.00000,1040.00000,1040.00000,591.00000,591.00000,179.00000,412.00000,412.00000,413.00000,870.92310,913.16330,0.47000,0.46000
2012-12-31,1898.00000,118.00000,1780.00000,1241.00000,1241.00000,539.00000,539.00000,144.00000,395.00000,395.00000,395.00000,904.42500,945.55400,0.43000,0.43000
