,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1622.00000,936.40000,685.60000,84.40000,212.50000,,291.10000,394.50000,-46.90000,347.60000,12.20000,335.40000,335.40000,-55.00000,273.90000,,394.50000,125.60000,126.40000,2.17000,2.17000
2022-09-30,1377.20000,899.70000,477.49990,78.50000,179.40000,,266.90000,210.60000,-40.10000,170.50000,36.00000,134.50000,134.50000,-16.20000,121.00000,252.00000,210.60000,126.22400,126.89100,0.96000,0.95000
2022-06-30,1452.30000,861.30000,591.00010,79.50000,194.80000,,355.10000,235.90000,-39.20000,196.70000,54.70000,142.00000,142.00000,-10.80000,134.20000,278.70000,235.90000,126.20400,126.94600,1.06000,1.06000
2022-03-31,1350.80000,778.10000,572.70010,71.80000,188.50000,,269.40000,303.30020,-34.20000,269.10000,42.30000,226.80000,226.80000,-15.20000,207.40000,345.70020,303.30020,126.06400,126.83900,1.65000,1.64000
2021-12-31,1413.60000,797.60000,616.00020,85.30000,195.10000,,336.10000,279.90060,-41.90000,237.99990,16.80000,221.20000,221.20010,-35.80000,189.50000,322.30060,279.90050,128.40300,129.14600,1.50000,1.50000
2021-09-30,1194.00000,682.50000,511.50000,79.50000,183.50000,,295.80000,215.70000,-34.60000,181.10000,9.20000,171.90000,171.90000,-9.70000,159.70000,259.10000,215.70000,128.31300,128.99100,1.24000,1.24000
2021-06-30,1242.00000,710.20000,531.80000,65.90000,161.00000,,243.20000,288.60000,-37.40000,251.20000,33.40000,217.80000,217.80000,-14.60000,202.90000,331.10000,288.60000,129.09000,129.89100,1.57000,1.56000
2021-03-31,1195.60000,683.20000,512.40000,74.00000,174.50000,,251.70000,260.70000,-37.20000,223.50000,32.20000,191.30000,191.30000,-8.10000,182.60000,303.30000,260.70000,129.48400,130.32000,1.41000,1.40000
2020-12-31,1152.20000,650.80020,501.39980,84.60000,181.60000,,354.49980,146.90000,-39.40000,107.50000,68.60000,38.90000,38.90000,8.40000,48.10000,188.90000,146.90010,129.70100,130.58400,0.37000,0.38000
2020-09-30,1084.60000,618.20000,466.40000,71.70000,187.70000,,270.40000,195.99990,-47.10000,148.90000,18.40000,130.50000,130.50000,-18.40000,111.40000,237.49990,195.99990,129.88800,130.79900,0.86000,0.85000
2020-06-30,1155.30000,632.60000,522.70010,64.30000,171.00000,,254.80000,267.90010,-42.90000,225.00000,29.20000,195.80000,195.80000,-10.80000,184.40000,308.00010,267.90010,129.72500,130.55800,1.42000,1.41000
2020-03-31,1250.00000,688.50000,561.50000,67.30000,189.40000,,270.10000,291.40000,-43.00000,248.40000,34.70000,213.70000,213.70000,-7.50000,206.20000,330.50000,291.40000,129.52700,130.46600,1.59000,1.58000
