,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,3406.00000,2491.00000,915.00000,281.00000,517.00000,,829.00000,86.00000,-60.00000,26.00000,31.00000,-5.00000,-5.00000,-36.00000,432.00000,86.00000,843.00000,857.00000,-0.05000,-0.04000
2022-09-30,3488.00000,2426.00000,1062.00000,278.00000,461.00000,,770.00000,292.00000,-32.00000,260.00000,34.00000,226.00000,226.00000,208.00000,650.00000,292.00000,843.00000,855.00000,0.25000,0.24000
2022-06-30,3615.00000,2369.00000,1246.00000,240.00000,486.00000,,756.00000,490.00000,260.00000,750.00000,166.00000,584.00000,584.00000,563.00000,865.00000,490.00000,843.00000,856.00000,0.67000,0.66000
2022-03-31,3680.00000,2397.00000,1283.00000,248.00000,434.00000,,713.00000,570.00000,191.00000,761.00000,180.00000,581.00000,581.00000,581.00000,943.00000,570.00000,843.00000,859.00000,0.69000,0.68000
2021-12-31,3676.00000,2405.00000,1271.00000,280.00000,476.00000,,788.00000,483.00000,104.00000,587.00000,89.00000,498.00000,498.00000,463.00000,862.00000,483.00000,828.00000,844.00000,0.53000,0.60000
2021-09-30,3615.00000,2294.00000,1321.00000,251.00000,486.00000,,769.00000,552.00000,-59.00000,493.00000,109.00000,384.00000,384.00000,371.00000,923.00000,552.00000,852.00000,866.00000,0.44000,0.43000
2021-06-30,3501.00000,2186.00000,1315.00000,242.00000,465.00000,,740.00000,575.00000,-54.00000,521.00000,67.00000,454.00000,454.00000,-354.00000,944.00000,575.00000,844.00000,844.00000,-0.42000,-0.42000
2021-03-31,3290.00000,2134.00000,1156.00000,222.00000,400.00000,,654.00000,502.00000,323.00000,825.00000,226.00000,599.00000,599.00000,599.00000,864.00000,502.00000,766.00000,898.00000,0.75000,0.67000
2020-12-31,3350.00000,2137.00000,1213.00000,232.00000,471.00000,,737.00000,476.00000,-135.00000,341.00000,78.00000,263.00000,263.00000,203.00000,868.00000,476.00000,761.00000,772.00000,0.30000,0.35000
2020-09-30,3001.00000,2000.00000,1001.00000,231.00000,480.00000,,744.00000,257.00000,193.00000,450.00000,23.00000,427.00000,427.00000,427.00000,651.00000,257.00000,760.00000,889.00000,0.53000,0.48000
