,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,22439.00000,18582.00000,3857.00000,,-3551.00000,3733.00000,124.00000,-195.00000,-71.00000,-58.00000,-13.00000,-18.00000,-15.00000,341.00000,124.00000,126.41900,127.09400,-0.07000,-0.08000
2022-09-30,22799.00000,18384.00000,4415.00000,,-3061.00000,3243.00000,1172.00000,125.00000,1297.00000,107.00000,1190.00000,1193.00000,1195.00000,1386.00000,1172.00000,126.57200,127.35600,9.45000,9.39000
2022-06-30,23662.00000,19099.00000,4563.00000,,-3173.00000,3348.00000,1215.00000,-93.00000,1122.00000,427.00000,695.00000,697.00000,696.00000,1424.00000,1215.00000,126.52300,127.08400,5.50000,5.48000
2022-03-31,23970.00000,19625.00000,4345.00000,,-2886.00000,3056.00000,1289.00000,-69.00000,1220.00000,286.00000,934.00000,930.00000,930.00000,1494.00000,1289.00000,126.93800,127.47400,7.32000,7.29000
2021-12-31,21054.00000,17438.00000,3616.00000,,-3395.00000,3555.00000,61.00000,-121.00000,-60.00000,-51.00000,-9.00000,-13.00000,-14.00000,255.00000,61.00000,128.68800,129.39600,-0.11000,-0.11000
2021-09-30,20697.00000,17316.00000,3381.00000,,-2603.00000,2753.00000,628.00000,1008.00000,1636.00000,120.00000,1516.00000,1531.00000,1531.00000,809.00000,628.00000,128.51800,129.25500,11.91000,11.84000
2021-06-30,20645.00000,17149.00000,3496.00000,,-2116.00000,2260.00000,1236.00000,-498.00000,738.00000,183.00000,555.00000,588.00000,588.00000,1406.00000,1236.00000,128.69200,129.38700,4.57000,4.55000
2021-03-31,20668.00000,17296.00000,3372.00000,,-2007.00000,2149.00000,1223.00000,-183.00000,1040.00000,233.00000,807.00000,828.00000,828.00000,1391.00000,1223.00000,128.93100,129.55100,6.42000,6.39000
2020-12-31,19062.00000,16213.00000,2849.00000,,-3068.00000,3195.00000,-346.00000,-112.00000,-458.00000,-178.00000,-280.00000,-274.00000,-274.00000,-186.00000,-346.00000,132.19900,133.01200,-2.06000,-2.05000
2020-09-30,20075.00000,15611.00000,4464.00000,,-2513.00000,2641.00000,1823.00000,-68.00000,1755.00000,450.00000,1305.00000,1340.00000,1340.00000,1984.00000,1823.00000,132.31800,133.19600,10.12000,10.05000
2020-06-30,19083.00000,14175.00000,4908.00000,,-2354.00000,2473.00000,2435.00000,151.00000,2586.00000,783.00000,1803.00000,1828.00000,1828.00000,2585.00000,2435.00000,132.24800,133.02300,13.83000,13.75000
2020-03-31,18935.00000,15629.00000,3306.00000,,-2117.00000,2232.00000,1074.00000,-357.00000,717.00000,252.00000,465.00000,473.00000,473.00000,1219.00000,1074.00000,132.13500,132.81100,3.58000,3.56000
2019-12-31,16295.00000,13689.00000,2606.00000,,-2129.00000,2244.00000,362.00000,231.00000,593.00000,79.00000,514.00000,512.00000,512.00000,502.00000,362.00000,134.05500,134.72700,3.90000,3.86000
2019-09-30,16241.00000,13357.00000,2884.00000,,-1889.00000,2016.00000,868.00000,20.00000,888.00000,200.00000,688.00000,689.00000,689.00000,1027.00000,868.00000,133.32100,134.02500,5.16000,5.14000
