,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,16690.00000,7058.00000,9632.00000,1604.00000,4765.00000,6369.00000,3263.00000,50.00000,3312.00000,443.00000,2869.00000,2869.00000,-159.00000,2711.00000,,3263.00000,905.80000,915.90000,2.99000,2.96000
2022-09-30,14107.00000,6677.00000,7430.00000,1611.00000,4391.00000,6002.00000,1428.00000,-5929.00000,-4501.00000,-1287.00000,-3214.00000,-3214.00000,18.00000,-3196.00000,2591.00000,1428.00000,904.10000,904.10000,-3.54000,-3.54000
2022-06-30,15535.00000,7245.00000,8290.00000,1673.00000,4855.00000,6528.00000,1762.00000,-40.00000,1722.00000,257.00000,1465.00000,1465.00000,-73.00000,1392.00000,3008.00000,1762.00000,901.50000,910.70000,1.54000,1.53000
2022-03-31,14197.00000,6862.00000,7335.00000,1679.00000,4597.00000,6276.00000,1059.00000,-436.00000,623.00000,-39.00000,662.00000,662.00000,71.00000,733.00000,2315.00000,1059.00000,899.30000,909.20000,0.82000,0.81000
2021-12-31,16694.00000,7195.00000,9499.00000,1625.00000,4902.00000,6527.00000,2972.00000,-105.00000,2868.00000,407.00000,2461.00000,2462.00000,-130.00000,2333.00000,4353.00000,2972.00000,904.64100,895.99100,2.55000,2.62000
2021-09-30,13251.00000,6145.00000,7106.00000,1606.00000,4306.00000,5912.00000,1194.00000,-381.00000,813.00000,-224.00000,1037.00000,1037.00000,93.00000,1130.00000,2878.00000,1194.00000,906.00000,897.10000,1.25000,1.26000
2021-06-30,14218.00000,6365.00000,7853.00000,1641.00000,4849.00000,6490.00000,1363.00000,-450.00000,912.00000,101.00000,811.00000,810.00000,515.00000,1325.00000,3043.00000,1363.00000,895.00000,904.20000,1.48000,1.47000
2021-03-31,13187.00000,6160.00000,7027.00000,1616.00000,4688.00000,6304.00000,723.00000,-480.00000,244.00000,-160.00000,404.00000,403.00000,552.00000,955.00000,2395.00000,723.00000,893.60000,901.70000,1.07000,1.06000
2020-12-31,1925.00000,-3888.00000,5813.00000,1540.00000,4711.00000,6251.00000,-438.00000,-337.00000,-777.00000,-471.00000,-306.00000,-304.00000,1661.00000,1356.00000,1261.00000,-438.00000,896.56400,890.34900,1.48000,1.56000
2020-09-30,17560.00000,9130.00000,8430.00000,1515.00000,4647.00000,6162.00000,2268.00000,-442.00000,1827.00000,128.00000,1699.00000,1698.00000,-1.00000,1698.00000,3951.00000,2268.00000,891.40000,897.30000,1.90000,1.89000
