,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2844.00000,1975.00000,869.00000,143.00000,440.00000,1.00000,764.00000,105.00000,-110.00000,-5.00000,-9.00000,4.00000,4.00000,3.00000,,105.00000,255.00000,255.00000,0.01000,0.01000
2022-09-30,3063.00000,2062.00000,1001.00000,145.00000,413.00000,,2986.00000,-1985.00000,-50.00000,-2035.00000,160.00000,-2195.00000,-2195.00000,-2197.00000,-1692.00000,-1985.00000,255.00000,255.00000,-8.60000,-8.60000
2022-06-30,3307.00000,2171.00000,1136.00000,158.00000,456.00000,-118.00000,923.00000,213.00000,-83.00000,130.00000,21.00000,109.00000,109.00000,107.00000,514.00000,213.00000,255.00000,255.00000,0.43000,0.43000
2022-03-31,3226.00000,2081.00000,1145.00000,157.00000,459.00000,,804.00000,341.00000,-56.00000,285.00000,39.00000,246.00000,246.00000,244.00000,644.00000,341.00000,255.00000,255.00000,0.96000,0.96000
2021-12-31,3031.00000,2050.00000,981.00000,166.00000,450.00000,,808.00000,173.00000,-59.00000,114.00000,22.00000,92.00000,92.00000,90.00000,468.00000,173.00000,243.00000,243.00000,0.45000,0.44000
2021-09-30,3071.00000,1981.00000,1090.00000,156.00000,436.00000,1.00000,792.00000,298.00000,-48.00000,250.00000,53.00000,197.00000,197.00000,194.00000,595.00000,298.00000,254.00000,255.00000,0.76000,0.76000
2021-06-30,3089.00000,2179.00000,910.00000,164.00000,412.00000,,800.00000,110.00000,-66.00000,44.00000,14.00000,30.00000,30.00000,28.00000,432.00000,110.00000,254.00000,255.00000,0.11000,0.11000
2021-03-31,2465.00000,1711.00000,754.00000,143.00000,451.00000,,750.00000,4.00000,-58.00000,-54.00000,-14.00000,-40.00000,-40.00000,-42.00000,246.00000,4.00000,206.00000,206.00000,-0.21000,-0.21000
2020-12-31,1270.00000,756.00000,514.00000,101.00000,254.00000,-2.00000,414.00000,100.00000,-21.00000,79.00000,13.00000,66.00000,66.00000,67.00000,181.00000,100.00000,112.00000,114.00000,0.58000,0.57000
2020-09-30,1268.00000,744.00000,524.00000,89.00000,235.00000,-1.00000,374.00000,150.00000,-45.00000,105.00000,19.00000,86.00000,86.00000,85.00000,233.00000,150.00000,112.00000,114.00000,0.76000,0.75000
2020-06-30,1199.00000,717.00000,482.00000,81.00000,230.00000,,362.00000,120.00000,-16.00000,104.00000,16.00000,88.00000,88.00000,87.00000,200.00000,120.00000,112.00000,114.00000,0.75000,0.74000
2020-03-31,1347.00000,781.00000,566.00000,86.00000,230.00000,-1.00000,370.00000,196.00000,-43.00000,153.00000,26.00000,127.00000,127.00000,124.00000,277.00000,196.00000,112.00000,113.00000,1.16000,1.15000
2019-12-31,1283.68500,781.27090,502.41400,85.51100,241.88900,-1.86400,385.88510,116.52890,-20.45200,96.07700,15.96700,80.11000,80.11000,83.67000,204.09990,116.52890,112.00000,113.00000,0.72000,0.71000
2019-09-30,1267.34500,734.25700,533.08800,85.07700,210.82900,-0.37200,348.42400,184.66410,-27.79800,156.86600,27.05900,129.80700,129.80700,127.12400,265.27910,184.66410,111.99800,113.49300,1.15000,1.13000
2019-06-30,1291.56800,745.32900,546.23900,84.81600,210.10000,-0.95200,346.30200,199.93700,-30.45600,169.48100,30.61200,138.86900,138.86900,136.37700,272.97600,199.93700,111.99600,112.87200,1.21000,1.20000
2019-03-31,1297.40200,766.14300,531.25900,90.59600,213.18200,0.18800,367.38900,163.87000,-29.29400,134.57600,23.36200,111.21400,111.21400,108.82900,245.64500,163.87000,111.86400,113.38900,0.97000,0.96000
2018-12-31,1219.04700,741.53210,477.51500,83.03800,249.61400,0.74200,382.26590,95.24920,-28.94900,66.30000,50.80000,15.50000,15.50000,13.02100,173.04710,95.24920,87.55100,88.12100,-0.25000,-0.26000
2018-09-30,907.54800,506.88200,400.66600,75.30200,157.79600,1.63000,241.39800,159.26790,-58.56600,100.70200,4.98600,95.71600,95.71600,95.71600,190.29390,159.26790,81.26300,81.64700,1.18000,1.17000
2018-06-30,920.01600,521.29900,398.71700,74.76700,157.40700,-1.26400,244.20800,154.50900,-32.59100,121.91800,22.76900,99.14900,99.14900,99.14900,186.09300,154.50900,79.06500,79.30300,1.25000,1.25000
2018-03-31,930.92800,525.11900,405.80900,78.47600,142.64400,0.06900,230.95300,174.85600,-16.01900,158.83700,29.42100,129.41600,129.41600,129.41600,208.24000,174.85600,79.01800,79.39300,1.63000,1.63000
