,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1655.00000,544.10000,1110.90000,244.10000,494.30000,738.40000,372.50010,22.20000,394.70000,58.00000,336.70010,336.70010,324.90010,484.60010,372.50010,355.70000,362.00000,0.93000,0.90000
2022-09-30,1557.40000,505.30000,1052.10000,217.10000,436.10000,653.20000,398.90000,3.90000,402.80000,78.10000,324.70000,324.70000,324.00000,495.80000,398.90000,355.30000,360.50000,0.91000,0.90000
2022-06-30,1522.10000,498.80000,1023.30000,207.30000,418.40000,625.70000,397.60000,9.30000,406.90000,93.30000,313.60000,313.60000,307.80000,490.60000,397.60000,358.10000,363.90000,0.86000,0.85000
2022-03-31,1487.70000,478.00000,1009.70000,210.50000,391.10000,601.60000,408.10000,-5.70000,402.40000,33.00000,369.40000,369.40000,365.60000,498.50000,408.10000,358.40000,366.70000,1.02000,1.00000
2021-12-31,1550.70000,489.90000,1060.80000,183.40000,426.99990,610.40000,450.39980,3.80000,454.20010,71.50000,382.70020,382.70020,380.60000,537.79970,450.39990,356.10000,365.80000,1.07000,1.03000
2021-09-30,1403.30000,431.90000,971.40000,165.50000,363.30000,528.80000,442.60000,18.50000,461.10000,73.90000,387.20000,387.20000,380.50000,530.10000,442.60000,356.80000,366.80000,1.07000,1.04000
2021-06-30,1464.00000,440.30000,1023.70000,162.30000,350.20000,512.50000,511.20000,15.00000,526.20000,3.20000,523.00000,523.00000,517.20000,591.90000,511.20000,355.70000,364.90000,1.45000,1.42000
2021-03-31,1292.10000,389.50000,902.60000,159.80000,326.00000,485.80000,416.80000,32.00000,448.80000,13.60000,435.20000,435.20000,426.30000,493.40000,416.80000,354.20000,364.00000,1.20000,1.17000
2020-12-31,1329.10000,433.30010,895.80000,149.80000,330.20000,479.99990,415.80000,20.70000,436.50000,72.90000,363.60000,363.60000,365.20000,500.30000,415.79990,351.10000,361.00000,1.04000,1.00670
2020-09-30,1077.70000,353.40000,724.29990,155.00000,298.90000,453.90000,270.39990,84.80000,355.20000,38.40000,316.80000,316.80000,313.90000,343.79990,270.39990,352.00000,361.90000,0.89000,0.87000
2020-06-30,852.10000,349.20000,502.90000,143.20000,279.10000,422.30000,80.60000,26.60000,107.20000,37.00000,70.20000,70.20000,68.00000,148.30000,80.60000,350.40000,359.10000,0.19330,0.19000
2020-03-31,1099.50000,361.30000,738.20000,147.10000,308.10000,455.20000,283.00000,25.10000,308.10000,-8.10000,316.20000,316.20000,313.50000,350.70000,283.00000,349.20000,359.40000,0.89670,0.87330
2019-12-31,1277.70000,381.69990,896.00000,156.60000,341.80000,498.40010,397.60000,34.10000,431.70000,69.00000,362.70000,362.70000,357.70010,465.30000,397.60000,346.20000,358.40000,1.02330,0.99670
2019-09-30,1128.20000,342.60000,785.60000,135.90000,284.00000,419.90000,365.70000,33.30000,399.00000,0.30000,398.70000,398.70000,396.80000,419.89990,365.70000,346.20000,357.90000,1.14670,1.11000
2019-06-30,1098.90000,339.90000,759.00000,120.80000,279.20000,400.00000,359.00000,32.80000,391.80000,75.40000,316.40000,316.40000,318.30000,410.00000,359.00000,346.20000,357.90000,0.92000,0.89000
2019-03-31,973.70000,304.10000,669.60000,144.00000,273.40000,417.40000,252.20000,27.50000,279.70000,-24.30000,304.00000,304.00000,306.50000,295.40000,252.20000,345.00000,358.80000,0.89000,0.85330
2018-12-31,1046.50000,310.80000,735.69980,119.90000,283.80000,403.69980,332.00000,26.80000,358.80000,67.50000,291.30000,291.30000,292.50000,367.80000,332.00020,341.10000,356.40000,0.85000,0.81670
2018-09-30,920.90000,278.60000,642.30000,107.60000,221.40000,329.00000,313.30000,21.90000,335.20000,43.40000,291.80000,291.80000,292.50000,350.10010,313.30000,342.00000,357.60000,0.85670,0.81670
2018-06-30,909.30000,277.00000,632.30000,95.10000,259.80000,354.90000,277.40000,18.20000,295.60000,41.00000,254.60000,254.60000,255.30000,304.50000,277.40000,340.50000,355.50000,0.75000,0.71670
2018-03-31,847.50000,253.70000,593.80000,95.50000,221.60000,317.10000,276.70000,13.20000,289.90000,2.60000,287.30000,287.30000,287.60000,310.40000,276.70000,338.40000,354.00000,0.85000,0.81330
2017-12-31,891.99990,258.00000,633.99990,87.10000,217.90000,305.00010,328.99980,12.30000,341.30000,372.80000,-31.50000,-31.50000,-31.50000,359.29970,328.99990,335.10000,348.90000,-0.09670,-0.10000
2017-09-30,807.80000,239.70000,568.10000,83.40000,204.10000,287.50000,280.60000,10.80000,291.40000,-7.20000,298.60000,298.60000,298.60000,308.20000,280.60000,335.40000,350.40000,0.89000,0.85330
2017-06-30,758.80000,228.70000,530.10000,84.60000,185.60000,270.20000,259.90000,10.10000,270.00000,47.00000,223.00000,223.00000,223.00000,280.50000,259.90000,333.00000,345.60000,0.67000,0.64670
