,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1443.40000,447.30000,996.10000,745.20000,751.00000,245.10010,145.30000,390.40000,89.60000,300.80000,300.80000,,187.80000,,245.10010,457.00000,459.10000,0.41000,0.41000
2022-09-30,1445.70000,451.30000,994.40000,630.30000,644.20000,350.20000,-95.10000,255.10000,86.80000,168.30000,168.30000,,177.40000,398.09990,350.20000,457.00000,459.50000,0.39000,0.39000
2022-06-30,1530.40000,475.00000,1055.40000,695.70000,710.70000,344.70010,-62.80000,281.90000,63.00000,218.90000,218.90000,,121.00000,394.00010,344.70010,456.50000,459.50000,0.27000,0.26000
2022-03-31,1629.40000,512.60000,1116.80000,688.80000,739.10000,377.70010,-57.40000,320.30000,82.80000,237.50000,237.50000,,197.70000,427.20010,377.70010,459.50000,462.40000,0.43000,0.43000
2021-12-31,1763.40000,540.50010,1222.90000,750.90020,713.69990,509.19980,178.60000,687.79990,130.70000,557.10010,557.10010,,426.80000,559.59990,509.19970,462.80000,465.40000,0.92000,0.91000
2021-09-30,1750.00000,546.40000,1203.60000,736.20000,739.80000,463.80000,221.50000,685.30000,139.70000,545.60000,545.60000,,330.10000,514.80000,463.80000,463.30000,466.00000,0.71000,0.71000
2021-06-30,1721.40000,539.60000,1181.80000,742.00000,710.90000,470.90000,178.40000,649.30000,154.20000,495.10000,495.10000,,368.30000,523.70000,470.90000,462.80000,466.20000,0.80000,0.79000
2021-03-31,1659.70000,522.80000,1136.90000,730.90000,792.60000,344.29990,133.80000,478.10000,106.50000,371.60000,371.60000,,267.80000,395.39990,344.29990,461.60000,464.70000,0.58000,0.58000
2020-12-31,1630.10000,507.70010,1122.40000,729.49990,904.59990,217.80030,181.90000,399.70000,68.90000,330.80000,330.80000,,211.10000,271.00030,217.80050,459.50000,462.50000,0.45000,0.45000
2020-09-30,1497.60000,480.80000,1016.80000,677.30000,748.30000,268.49990,118.10000,386.60000,91.90000,294.70000,294.70000,,191.70000,320.09990,268.49990,461.10000,463.50000,0.42000,0.41000
