,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,4964.00000,3337.00000,1627.00000,916.00000,1.00000,915.00000,712.00000,-93.00000,619.00000,139.00000,480.00000,515.00000,,507.00000,898.00000,712.00000,337.40000,338.30000,1.50000,1.50000
2022-09-30,5053.00000,3510.00000,1543.00000,873.00000,-15.00000,888.00000,655.00000,-87.00000,568.00000,127.00000,441.00000,470.00000,,467.00000,843.00000,655.00000,337.60000,338.30000,1.38000,1.38000
2022-06-30,5063.00000,3534.00000,1529.00000,906.00000,-2.00000,908.00000,621.00000,-94.00000,527.00000,115.00000,412.00000,441.00000,,437.00000,813.00000,621.00000,337.40000,338.30000,1.30000,1.29000
2022-03-31,5095.00000,3575.00000,1520.00000,886.00000,59.00000,827.00000,693.00000,-67.00000,626.00000,114.00000,512.00000,535.00000,,523.00000,881.00000,693.00000,337.00000,338.20000,1.55000,1.55000
2021-12-31,4965.00000,3529.00000,1436.00000,911.00000,-4.00000,915.00000,521.00000,-77.00000,444.00000,93.00000,351.00000,361.00000,,357.00000,715.00000,521.00000,337.30000,338.80000,1.06000,1.05000
2021-09-30,5010.00000,3527.00000,1483.00000,819.00000,-7.00000,826.00000,657.00000,-73.00000,584.00000,126.00000,458.00000,479.00000,,469.00000,851.00000,657.00000,336.80000,337.50000,1.39000,1.39000
2021-06-30,4722.00000,3242.00000,1480.00000,854.00000,-13.00000,867.00000,613.00000,-118.00000,495.00000,113.00000,382.00000,410.00000,,404.00000,802.00000,613.00000,337.30000,338.30000,1.20000,1.19000
2021-03-31,4743.00000,3154.00000,1589.00000,815.00000,-4.00000,819.00000,770.00000,-68.00000,702.00000,147.00000,555.00000,594.00000,,584.00000,959.00000,770.00000,338.20000,339.40000,1.73000,1.72000
2020-12-31,4836.00000,3172.00000,1664.00000,996.00000,81.00000,915.00000,749.00000,-75.00000,674.00000,166.00000,508.00000,546.00000,,539.00000,939.00000,749.00000,340.70000,342.50000,1.59000,1.58000
2020-09-30,4683.00000,3093.00000,1590.00000,919.00000,-5.00000,924.00000,666.00000,-100.00000,566.00000,114.00000,452.00000,483.00000,,472.00000,858.00000,666.00000,341.00000,342.30000,1.38000,1.38000
2020-06-30,4612.00000,2835.00000,1777.00000,844.00000,-8.00000,852.00000,925.00000,-69.00000,856.00000,199.00000,657.00000,692.00000,,681.00000,1126.00000,925.00000,340.90000,341.90000,2.00000,1.99000
2020-03-31,5009.00000,3218.00000,1791.00000,873.00000,-14.00000,887.00000,904.00000,-70.00000,834.00000,197.00000,637.00000,675.00000,,660.00000,1117.00000,904.00000,341.40000,344.10000,1.93000,1.92000
2019-12-31,4583.00000,3017.00000,1566.00000,859.00000,44.00000,815.00000,751.00000,-118.00000,633.00000,109.00000,524.00000,556.00000,,547.00000,968.00000,751.00000,343.60000,345.60000,1.60000,1.59000
2019-09-30,4640.00000,3085.00000,1555.00000,815.00000,175.00000,640.00000,915.00000,-74.00000,841.00000,192.00000,649.00000,680.00000,,671.00000,1145.00000,915.00000,343.80000,345.90000,1.95000,1.94000
2019-06-30,4594.00000,3108.00000,1486.00000,811.00000,-5.00000,816.00000,670.00000,-76.00000,594.00000,132.00000,462.00000,495.00000,,485.00000,906.00000,670.00000,344.20000,346.00000,1.41000,1.40000
2019-03-31,4633.00000,3205.00000,1428.00000,769.00000,-4.00000,773.00000,655.00000,-73.00000,582.00000,143.00000,439.00000,466.00000,,454.00000,889.00000,655.00000,344.30000,346.00000,1.32000,1.31000
2018-12-31,4569.00000,3167.00000,1402.00000,768.00000,5.00000,763.00000,639.00000,-150.00000,489.00000,91.00000,398.00000,421.00000,,411.00000,869.00000,639.00000,348.00000,349.60000,1.18000,1.18000
2018-09-30,4582.00000,3166.00000,1416.00000,749.00000,2.00000,747.00000,669.00000,-92.00000,577.00000,138.00000,439.00000,462.00000,,451.00000,886.00000,669.00000,347.20000,348.80000,1.30000,1.29000
2018-06-30,4604.00000,3149.00000,1455.00000,771.00000,-10.00000,781.00000,674.00000,-101.00000,573.00000,138.00000,435.00000,465.00000,,455.00000,898.00000,674.00000,348.80000,350.30000,1.30000,1.30000
