,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,4579.00000,1961.00000,2618.00000,963.00000,3.00000,1514.00000,1104.00000,-213.00000,891.00000,198.00000,693.00000,693.00000,,670.00000,1676.00000,1104.00000,2258.00000,2258.00000,0.30000,0.30000
2022-09-30,5177.00000,2717.00000,2460.00000,987.00000,9.00000,1529.00000,931.00000,-202.00000,729.00000,134.00000,595.00000,595.00000,,576.00000,1501.00000,931.00000,2253.00000,2253.00000,0.25000,0.25000
2022-06-30,5151.00000,2683.00000,2468.00000,931.00000,12.00000,1462.00000,1006.00000,-169.00000,837.00000,184.00000,653.00000,653.00000,,635.00000,1568.00000,1006.00000,2265.00000,2265.00000,0.28000,0.28000
2022-03-31,4293.00000,1894.00000,2399.00000,852.00000,15.00000,1375.00000,1024.00000,-146.00000,878.00000,194.00000,684.00000,684.00000,,667.00000,1581.00000,1024.00000,2267.00000,2267.00000,0.29000,0.29000
2021-12-31,4425.00000,1989.00000,2436.00000,925.00000,-21.00000,1486.00000,950.00000,-175.00000,775.00000,121.00000,654.00000,654.00000,,637.00000,1512.00000,950.00000,2266.00000,2266.00000,0.28000,0.28000
2021-09-30,3824.00000,1559.00000,2265.00000,894.00000,-1.00000,1421.00000,844.00000,-199.00000,645.00000,134.00000,511.00000,511.00000,,495.00000,1391.00000,844.00000,2267.00000,2267.00000,0.22000,0.22000
2021-06-30,3150.00000,936.00000,2214.00000,850.00000,-1600.00000,2978.00000,-764.00000,-213.00000,-977.00000,-237.00000,-740.00000,-740.00000,,-757.00000,-223.00000,-764.00000,2265.00000,2265.00000,-0.34000,-0.34000
2021-03-31,5211.00000,2009.00000,3202.00000,780.00000,5.00000,1316.00000,1886.00000,-110.00000,1776.00000,351.00000,1425.00000,1425.00000,,1409.00000,2449.00000,1886.00000,2264.00000,2264.00000,0.62000,0.62000
2020-12-31,3115.00000,786.00000,2329.00000,876.00000,55.00000,1349.00000,980.00000,-180.00000,800.00000,177.00000,623.00000,623.00000,,616.00000,1549.00000,980.00000,2263.00000,2263.00000,0.27000,0.27000
2020-09-30,2919.00000,655.00000,2264.00000,896.00000,-10.00000,1445.00000,819.00000,-207.00000,612.00000,140.00000,472.00000,472.00000,,452.00000,1390.00000,819.00000,2263.00000,2263.00000,0.20000,0.20000
2020-06-30,2560.00000,441.00000,2119.00000,864.00000,-1005.00000,2401.00000,-282.00000,-238.00000,-520.00000,104.00000,-624.00000,-624.00000,,-640.00000,285.00000,-282.00000,2261.00000,2261.00000,-0.28000,-0.28000
2020-03-31,3106.00000,663.00000,2443.00000,865.00000,-970.00000,2400.00000,43.00000,-274.00000,-231.00000,60.00000,-291.00000,-291.00000,,-309.00000,640.00000,43.00000,2264.00000,2264.00000,-0.14000,-0.14000
2019-12-31,3352.00000,776.00000,2576.00000,915.00000,931.00000,645.00000,1931.00000,-849.00000,1082.00000,455.00000,627.00000,627.00000,,616.00000,2614.00000,1931.00000,2264.00000,2264.00000,0.27000,0.27000
2019-09-30,3214.00000,762.00000,2452.00000,925.00000,2.00000,1501.00000,951.00000,-283.00000,668.00000,151.00000,517.00000,517.00000,,506.00000,1550.00000,951.00000,2264.00000,2264.00000,0.22000,0.22000
2019-06-30,3214.00000,777.00000,2437.00000,897.00000,12.00000,1464.00000,973.00000,-297.00000,676.00000,148.00000,528.00000,528.00000,,515.00000,1571.00000,973.00000,2262.00000,2262.00000,0.23000,0.23000
2019-03-31,3429.00000,948.00000,2481.00000,870.00000,,1463.00000,1018.00000,-279.00000,739.00000,172.00000,567.00000,567.00000,,553.00000,1632.00000,1018.00000,2262.00000,2262.00000,0.24000,0.24000
