,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2023-01-31,22445.00000,15189.00000,7256.00000,5131.00000,5552.00000,1704.00000,-322.00000,1382.00000,425.00000,957.00000,957.00000,957.00000,,1704.00000,603.00000,605.00000,1.58000,1.58000
2022-10-31,23479.00000,15661.00000,7818.00000,6443.00000,6894.00000,924.00000,-295.00000,629.00000,475.00000,154.00000,154.00000,152.00000,3539.00000,924.00000,618.00000,620.00000,0.25000,0.25000
2022-07-31,27476.00000,18343.00000,9133.00000,4455.00000,4904.00000,4229.00000,-264.00000,3965.00000,973.00000,2992.00000,2992.00000,2983.00000,4733.00000,4229.00000,638.00000,639.00000,4.68000,4.67000
2022-04-30,23659.00000,15609.00000,8050.00000,4303.00000,4748.00000,3302.00000,-243.00000,3059.00000,726.00000,2333.00000,2333.00000,2325.00000,3805.00000,3302.00000,660.00000,662.00000,3.52000,3.51000
2022-01-31,21340.00000,14313.00000,7027.00000,4741.00000,5178.00000,1849.00000,-235.00000,1614.00000,407.00000,1207.00000,1207.00000,1201.00000,2318.00000,1849.00000,696.00000,699.00000,1.84000,1.85000
2021-10-31,22918.00000,15331.00000,7587.00000,4373.00000,4798.00000,2789.00000,-223.00000,2566.00000,670.00000,1896.00000,1896.00000,1889.00000,3295.00000,2789.00000,690.00000,692.00000,2.74000,2.73000
2021-07-31,27570.00000,18258.00000,9312.00000,4693.00000,5102.00000,4210.00000,-216.00000,3994.00000,976.00000,3018.00000,3018.00000,3007.00000,4674.00000,4210.00000,705.00000,707.00000,4.27000,4.25000
2021-04-30,24422.00000,16292.00000,8130.00000,4494.00000,4885.00000,3245.00000,-211.00000,3034.00000,713.00000,2321.00000,2321.00000,2312.00000,3688.00000,3245.00000,718.00000,720.00000,3.22000,3.21000
2021-01-31,20311.00000,13856.00000,6455.00000,4540.00000,4931.00000,1524.00000,-203.00000,1321.00000,343.00000,978.00000,978.00000,973.00000,1966.00000,1524.00000,748.00000,750.00000,1.35000,1.34000
2020-10-31,22309.00000,15009.00000,7300.00000,4770.00000,5125.00000,2175.00000,-1281.00000,894.00000,202.00000,692.00000,692.00000,689.00000,2580.00000,2175.00000,752.00000,754.00000,0.92000,0.91000
2020-07-31,27302.00000,17998.00000,9304.00000,5020.00000,5347.00000,3957.00000,-219.00000,3738.00000,910.00000,2828.00000,2828.00000,2816.00000,4331.00000,3957.00000,752.00000,753.00000,3.74000,3.74000
2020-04-30,19675.00000,13162.00000,6513.00000,4196.00000,4522.00000,1991.00000,-205.00000,1786.00000,449.00000,1337.00000,1337.00000,1333.00000,2364.00000,1991.00000,755.00000,756.00000,1.76000,1.76000
2020-01-31,16027.00000,11045.00000,4982.00000,3685.00000,4024.00000,958.00000,-183.00000,775.00000,265.00000,510.00000,510.00000,509.00000,1339.00000,958.00000,777.00000,778.00000,0.68000,0.68000
2019-10-31,17388.00000,11748.00000,5640.00000,3772.00000,4082.00000,1558.00000,-177.00000,1381.00000,332.00000,1049.00000,1049.00000,1046.00000,1903.00000,1558.00000,769.00000,770.00000,1.36000,1.36000
2019-07-31,20992.00000,14252.00000,6740.00000,4048.00000,4359.00000,2381.00000,-169.00000,2212.00000,536.00000,1676.00000,1676.00000,1670.00000,2728.00000,2381.00000,781.00000,781.00000,2.14000,2.14000
2019-04-30,17741.00000,12160.00000,5581.00000,3862.00000,4164.00000,1417.00000,-162.00000,1255.00000,209.00000,1046.00000,1046.00000,1043.00000,1754.00000,1417.00000,796.00000,797.00000,1.31000,1.31000
2019-01-31,15646.00000,10748.00000,4898.00000,5096.00000,5465.00000,-567.00000,-158.00000,-725.00000,98.00000,-823.00000,-823.00000,-821.00000,786.00000,-567.00000,811.00000,812.00000,-0.99000,-0.99000
2018-10-31,17415.00000,12038.00000,5377.00000,3997.00000,4420.00000,957.00000,-153.00000,804.00000,175.00000,629.00000,629.00000,628.00000,1412.00000,957.00000,806.00000,807.00000,0.78000,0.78000
2018-07-31,20888.00000,14003.00000,6885.00000,4386.00000,4722.00000,2163.00000,-153.00000,2010.00000,490.00000,1520.00000,1520.00000,1515.00000,2527.00000,2163.00000,813.00000,814.00000,1.86000,1.86000
2018-04-30,17360.00000,11612.00000,5748.00000,3934.00000,4283.00000,1465.00000,-160.00000,1305.00000,317.00000,988.00000,988.00000,985.00000,1852.00000,1465.00000,825.00000,826.00000,1.19000,1.19000
2018-01-31,15494.00000,11243.00000,4251.00000,2829.00000,3153.00000,1098.00000,-153.00000,945.00000,391.00000,554.00000,554.00000,553.00000,1490.00000,1098.00000,839.00000,840.00000,0.66000,0.66000
2017-10-31,16770.00000,11057.00000,5713.00000,3808.00000,4166.00000,1547.00000,-160.00000,1387.00000,515.00000,872.00000,872.00000,870.00000,1927.00000,1547.00000,831.00000,832.00000,1.05000,1.05000
2017-07-31,19495.00000,12825.00000,6670.00000,3931.00000,4288.00000,2382.00000,-159.00000,2223.00000,804.00000,1419.00000,1419.00000,1413.00000,2761.00000,2382.00000,841.00000,842.00000,1.68000,1.68000
2017-04-30,16860.00000,11060.00000,5800.00000,3876.00000,4241.00000,1559.00000,-625.00000,934.00000,332.00000,602.00000,602.00000,600.00000,1948.00000,1559.00000,857.00000,858.00000,0.70000,0.70000
2017-01-31,15784.00000,11142.00000,4642.00000,3034.00000,3372.00000,1270.00000,-160.00000,1110.00000,447.00000,663.00000,663.00000,646.00000,1670.00000,1270.00000,880.00000,881.00000,0.75000,0.75000
2016-10-31,15739.00000,10332.00000,5407.00000,4084.00000,4468.00000,939.00000,-163.00000,776.00000,397.00000,379.00000,379.00000,376.00000,1351.00000,939.00000,873.00000,874.00000,0.43000,0.43000
2016-07-31,18260.00000,11972.00000,6288.00000,3866.00000,4237.00000,2051.00000,-166.00000,1885.00000,718.00000,1167.00000,1167.00000,1162.00000,2446.00000,2051.00000,883.00000,885.00000,1.32000,1.31000
2016-04-30,15234.00000,9897.00000,5337.00000,3391.00000,3751.00000,1586.00000,-156.00000,1430.00000,546.00000,884.00000,884.00000,880.00000,1969.00000,1586.00000,897.00000,899.00000,0.98000,0.98000
2016-01-31,13237.00000,8650.00000,4587.00000,3769.00000,3740.00000,847.00000,,295.00000,284.00000,11.00000,11.00000,10.00000,1242.00000,439.00000,927.00000,929.00000,0.03000,0.03000
2015-10-31,14360.00000,9370.00000,4990.00000,3287.00000,3803.00000,1187.00000,,1187.00000,451.00000,736.00000,736.00000,733.00000,1729.00000,1328.00000,918.00000,921.00000,0.80000,0.80000
2015-07-31,17348.00000,11367.00000,5981.00000,3634.00000,4142.00000,1839.00000,,1839.00000,713.00000,1126.00000,1126.00000,1121.00000,2372.00000,1972.00000,931.00000,933.00000,1.20000,1.20000
2015-04-30,14129.00000,9117.00000,5012.00000,3415.00000,3914.00000,1098.00000,,1098.00000,425.00000,673.00000,673.00000,670.00000,1623.00000,1232.00000,950.00000,952.00000,0.70000,0.70000
2015-01-31,12540.00000,8193.00000,4347.00000,3157.00000,3144.00000,1203.00000,,687.00000,237.00000,450.00000,450.00000,447.00000,1590.00000,819.00000,988.00000,990.00000,0.47000,0.47000
2014-10-31,13681.00000,8963.00000,4718.00000,3255.00000,3764.00000,954.00000,,954.00000,369.00000,585.00000,585.00000,582.00000,1489.00000,1088.00000,978.00000,980.00000,0.59000,0.59000
2014-07-31,16599.00000,10864.00000,5735.00000,3541.00000,4042.00000,1693.00000,,1693.00000,654.00000,1039.00000,1039.00000,1033.00000,2219.00000,1819.00000,995.00000,996.00000,1.04000,1.04000
2014-04-30,13403.00000,8645.00000,4758.00000,3319.00000,3816.00000,942.00000,,942.00000,318.00000,624.00000,624.00000,620.00000,1464.00000,1066.00000,1015.00000,1017.00000,0.61000,0.61000
2014-01-31,11661.00000,7618.00000,4043.00000,3045.00000,3543.00000,500.00000,,500.00000,194.00000,306.00000,306.00000,303.00000,1023.00000,628.00000,1059.00000,1061.00000,0.30000,0.30000
