,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-11-30,1276.50000,894.90000,381.60000,109.80000,109.80000,271.80000,-24.60000,247.20000,36.80000,210.40000,103.10000,103.10000,324.00000,271.80000,144.00000,144.60000,0.72000,0.71000
2022-08-31,1125.60000,852.30000,273.30000,116.30000,116.30000,157.00000,-26.00000,131.00000,73.70000,57.30000,231.90000,231.90000,206.80000,157.00000,144.00000,144.60000,1.61000,1.60000
2022-05-31,1153.10000,898.89990,254.20000,118.20000,118.20010,135.99980,-24.90000,111.10000,22.40000,88.70000,32.00000,32.00000,185.69980,135.99990,145.50000,145.90000,0.22000,0.23000
2022-02-28,955.00000,734.00000,221.00000,87.20000,87.20000,133.80000,-25.80000,108.00000,31.10000,76.90000,106.60000,106.60000,181.30000,133.80000,145.10000,145.50000,0.73000,0.73000
2021-11-30,1006.60000,801.10000,205.50000,91.10000,91.10000,114.40000,-82.40000,32.00000,9.60000,22.40000,32.50000,32.50000,162.00000,114.40000,146.00000,146.30000,0.23000,0.22000
2021-08-31,984.20000,832.90000,151.30000,91.10000,91.10000,60.20000,-27.90000,32.30000,8.70000,23.60000,29.80000,29.80000,107.50000,60.20000,146.30000,146.90000,0.20000,0.20000
2021-05-31,1007.50000,809.49980,198.00010,99.10000,99.10010,98.90000,-28.70000,70.20000,14.30000,55.90000,65.50000,65.50000,144.40000,98.90000,146.40000,147.10000,0.45000,0.44000
2021-02-28,895.80000,699.10000,196.70000,96.10000,96.10000,100.60000,-29.30000,71.30000,16.30000,55.00000,66.10000,66.10000,148.20000,100.60000,146.50000,147.20000,0.45000,0.45000
2020-11-30,896.10000,672.60000,223.50000,83.90000,83.90000,139.60000,-30.00000,109.60000,31.90000,77.70000,96.90000,96.90000,187.40000,139.60000,146.50000,147.10000,0.66000,0.66000
2020-08-31,871.50000,657.70000,213.80000,78.10000,78.10000,135.70000,-30.30000,105.40000,28.00000,77.40000,89.30000,89.30000,182.60000,135.70000,146.30000,147.10000,0.61000,0.61000
2020-05-31,846.89990,735.79980,111.10010,80.20000,80.20020,30.89990,-29.20000,1.70000,-2.80000,4.50000,-1.60010,-1.60000,75.69990,30.89990,146.20000,147.10000,-0.01000,-0.01000
2020-02-29,937.30000,686.90000,250.40000,87.90000,87.90000,162.49990,-25.20000,137.30000,35.70000,101.60000,111.40000,111.40000,208.29990,162.49990,146.20000,147.20000,0.76000,0.76000
2019-11-30,1019.20000,734.10000,285.10000,91.60000,91.60000,193.50010,-25.40000,168.10000,42.70000,125.40000,140.40000,140.40000,239.20010,193.50010,146.20000,147.10000,0.96000,0.95000
2019-08-31,989.00000,740.40000,248.60000,78.60000,78.60000,170.00000,-28.20000,141.80000,36.70000,105.10000,115.70000,115.70000,216.00000,170.00000,146.20000,147.00000,0.79000,0.79000
2019-05-31,1003.40000,752.90010,250.49980,102.50000,102.50000,147.99980,-27.10000,120.90000,25.70000,95.20000,110.40000,121.30000,192.89980,147.99990,146.50000,147.30000,0.76000,0.76000
2019-02-28,926.80000,653.40000,273.40000,79.60000,79.60000,193.80000,-27.00000,166.80000,39.60000,127.20000,141.40000,141.40000,234.10000,193.80000,146.60000,147.40000,0.96000,0.95000
2018-11-30,911.40000,662.40000,249.00000,75.00000,75.00000,174.00000,-26.20000,147.80000,34.00000,113.80000,124.00000,109.00000,212.60000,174.00000,146.60000,147.40000,0.74000,0.74000
2018-08-31,914.90000,684.30000,230.60000,78.00000,78.00000,152.60000,-26.80000,125.80000,34.30000,91.50000,111.40000,106.90000,191.20000,152.60000,146.50000,147.20000,0.73000,0.73000
2018-05-31,918.19980,685.49990,232.69990,99.20000,99.19990,133.50000,-27.70000,105.80000,28.10000,77.70000,102.80000,100.90000,172.70000,133.50010,146.30000,147.00000,0.68000,0.68000
2018-02-28,863.40000,621.10000,242.30000,73.10000,73.10000,169.20010,-28.50000,140.70000,7.50000,133.20000,159.60000,155.90000,206.70010,169.20010,146.30000,147.10000,1.07000,1.06000
2017-11-30,824.60000,616.40000,208.20000,68.40000,68.40000,139.79990,-27.40000,112.40000,41.50000,70.90000,83.00000,76.60000,175.39990,139.79990,146.30000,146.90000,0.52000,0.52000
2017-08-31,817.50000,621.20000,196.30000,58.70000,58.70000,137.60000,-25.20000,112.40000,44.10000,68.30000,88.30000,83.40000,168.60000,137.60000,146.20000,146.80000,0.56000,0.56000
2017-05-31,832.50010,640.19990,192.30020,69.70000,69.70010,122.60010,-26.60000,96.00000,41.30000,54.70000,78.50000,73.80000,152.10010,122.60000,146.10000,146.60000,0.52000,0.52000
2017-02-28,768.50000,561.50000,207.00000,61.80000,61.80000,145.20000,-26.30000,118.90000,44.00000,74.90000,87.60000,84.20000,172.70000,145.20000,146.10000,146.50000,0.57000,0.57000
2016-11-30,790.70000,591.80000,198.90000,73.40000,73.40000,125.50000,-6.80000,118.70000,33.90000,84.80000,91.00000,87.20000,152.10000,125.50000,146.00000,146.30000,0.59000,0.59000
2016-08-31,776.30000,595.70000,180.60000,55.60000,55.60000,125.00000,-1.50000,123.50000,51.00000,72.50000,83.10000,79.60000,150.50000,125.00000,146.10000,146.10000,0.54000,0.54000
2016-05-31,,,,,,,,,,,,,,,,,,0.00000
2016-02-29,728.70000,546.80000,181.90000,54.60000,54.60000,127.30000,-1.50000,125.80000,53.20000,72.60000,108.70000,103.90000,150.90010,127.30000,146.00000,146.00000,0.71000,0.71000
2015-11-30,740.30000,578.50000,161.80000,52.30000,52.30000,109.50000,-1.50000,108.00000,38.70000,69.30000,77.00000,72.90000,109.50000,109.50000,146.00000,146.00000,0.50000,0.50000
2015-05-31,,,,,,,,,,,,,,,,,,0.00000
2014-05-31,,,,,,,,,,,,,,,,,,0.00000
