,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,,,,,,,,,,,,,,,,,,,,0.00000
2022-09-30,6153.53500,4707.84800,1445.68700,805.91000,35.28500,939.43800,506.24900,-66.94800,439.30100,41.89800,397.40300,397.40300,,331.48700,628.18000,506.24900,225.76180,243.68680,1.47000,1.39000
2022-06-30,4434.17400,3267.02300,1167.15100,672.21300,-1.06500,848.45200,318.69870,-58.32700,260.37200,31.99500,228.37700,228.37700,,155.24000,460.60080,318.69870,224.67450,243.63480,0.69000,0.66000
2022-03-31,1802.80800,1071.02200,731.78600,570.18200,-1.66500,704.72600,27.05990,-64.32000,-37.26000,11.69600,-48.95600,-48.95600,,-85.89600,150.16990,27.05990,221.89060,221.89060,-0.39000,-0.39000
2021-12-31,2703.17000,2008.99000,694.17940,656.14600,0.17300,818.72700,-124.54660,-55.50100,-180.04710,-17.57600,-162.47100,-162.47100,,-210.48500,12.50840,-124.54640,217.19090,217.19090,-0.95000,-0.94000
2021-09-30,2698.72200,1969.91200,728.80990,446.92900,1.14800,591.66500,137.14500,-43.85700,93.28800,6.42100,86.86700,86.86700,,42.63300,268.61100,137.14500,216.88840,223.80040,0.20000,0.19000
2021-06-30,575.94600,243.12000,332.82600,328.89400,0.02800,460.11100,-127.28500,-80.89000,-208.17500,2.28500,-210.46000,-210.46000,,-194.71400,3.44400,-127.28500,215.70250,215.70250,-0.90000,-0.90000
2021-03-31,290.60900,133.96600,156.64300,322.85300,-0.13800,459.81500,-303.17200,-13.16100,-316.33300,6.38900,-322.72200,-322.72200,,-308.10900,-174.47900,-303.17200,214.53200,214.53200,-1.44000,-1.44000
2020-12-31,237.38290,203.27400,34.10900,281.03510,0.39400,422.12300,-388.01400,-55.27000,-443.28390,20.54200,-463.82600,-463.82600,,-436.19700,-250.06300,-388.01410,212.27100,212.27100,-2.06000,-2.06000
2020-09-30,184.01800,130.74900,53.26900,405.93400,-0.20800,557.71000,-504.44100,-54.92100,-559.36200,-16.90400,-542.45800,-542.45800,,-521.91200,-368.45100,-504.44100,212.59400,212.59400,-2.45000,-2.45000
2020-06-30,74.08400,194.55700,-120.47300,323.35200,-0.55900,467.59410,-588.06710,-51.70000,-639.76700,-29.18300,-610.58400,-610.58400,,-565.92200,-444.00010,-588.06710,211.69400,211.69400,-2.67000,-2.67000
2020-03-31,1365.69300,873.82000,491.87300,514.02100,-0.13000,664.54300,-172.67000,-41.58200,-214.25200,-3.33000,-210.92200,-210.92200,,-199.32400,-24.90810,-172.67000,211.04800,211.04800,-0.94000,-0.94000
2019-12-31,2889.44700,2187.73500,701.71240,624.57620,1.82000,784.63400,-82.92140,-46.81500,-129.73500,6.90400,-136.63900,-136.63900,,-185.31100,66.02360,-82.92040,210.08300,210.08300,-0.88000,-0.83000
2019-09-30,3773.68400,2800.42900,973.25510,542.54700,0.30500,713.21400,260.04130,-38.78900,221.25200,27.28000,193.97200,193.97200,,155.34500,411.67220,260.04130,210.62200,218.95700,0.74000,0.71000
2019-06-30,3157.00900,2327.41400,829.59500,513.49700,0.10100,658.00900,171.58590,-26.71600,144.87000,28.75000,116.12000,116.12000,,89.84000,303.26990,171.58590,209.99800,219.97800,0.43000,0.41000
2019-03-31,1727.82800,1151.60400,576.22400,464.86600,0.14700,600.08700,-23.86300,-27.42000,-51.28300,3.95800,-55.24100,-55.24100,,-64.75600,92.28600,-23.86300,208.90800,208.90800,-0.31000,-0.31000
2018-12-31,2601.85500,1976.38500,625.46950,561.32510,0.09500,715.84800,-90.37870,-39.75600,-130.13400,5.05100,-135.18500,-135.18500,,-171.44100,48.53640,-90.37900,207.44100,207.44100,-0.83000,-0.79000
2018-09-30,3835.24600,2924.35600,910.89010,524.65400,-10.31800,676.67100,234.21900,-33.99100,200.22800,17.03100,183.19700,183.19700,,151.89400,358.90000,234.21900,207.61400,216.78900,0.73000,0.70000
2018-06-30,2868.31500,2135.10700,733.20800,476.43800,-0.10800,598.48300,134.72510,-39.57000,95.15500,11.79900,83.35600,83.35600,,52.18700,250.14810,134.72510,207.33200,215.10500,0.25000,0.24000
