,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,2169.20000,698.40000,1470.80000,282.40000,202.90000,-6.50000,659.20000,811.59990,-49.40000,762.20000,181.90000,580.30000,580.30000,,580.30000,1059.80000,811.59990,549.20000,555.40000,1.06000,1.04000
2022-09-30,2073.20000,675.30000,1397.90000,268.60000,202.40000,-4.30000,642.80000,755.09990,-56.00000,699.10000,152.90000,546.20000,546.20000,,546.20000,1011.10000,755.09990,551.50000,558.30000,0.99000,0.98000
2022-06-30,1963.60000,653.70000,1309.90000,269.00000,188.90000,16.90000,608.60000,701.29990,-54.70000,646.60000,139.40000,507.20000,507.20000,,507.20000,964.79990,701.29990,553.80000,561.50000,0.92000,0.90000
2022-03-31,1844.20000,623.80010,1220.40000,259.09990,187.20000,-9.10000,670.89990,549.50010,-70.30000,479.20000,41.30000,437.90000,437.90000,,437.90000,855.00020,549.50010,552.30000,565.90000,0.79000,0.77000
2021-12-31,1757.50000,604.20000,1153.30000,245.40000,177.50000,0.30000,638.30000,515.00000,-73.50000,441.50000,88.70000,352.80000,352.80000,,352.80000,829.10000,515.00000,554.90000,567.30000,0.64000,0.62000
2021-09-30,1649.80000,581.50000,1068.30000,246.20000,179.90000,-10.20000,652.00000,416.30000,-151.50000,264.80000,22.80000,242.00000,242.00000,,242.00000,708.30000,416.30000,551.30000,565.90000,0.44000,0.43000
2021-06-30,1569.40000,561.80000,1007.60000,238.40000,174.30000,-10.50000,638.80000,368.79990,-71.80000,297.00000,44.20000,252.80000,252.80000,,252.80000,657.10000,368.79990,547.50000,565.10000,0.46000,0.45000
2021-03-31,1467.10000,540.30000,926.79980,228.50010,165.10000,7.20000,618.80000,307.99960,-163.60000,144.40000,28.40000,116.00000,116.00000,,116.00000,613.29960,307.99980,519.20000,541.20000,0.21000,0.20000
2020-12-31,1352.10000,506.30000,845.80000,210.10000,154.20000,-4.30000,600.20000,245.60000,-228.80000,16.80000,-19.40000,36.20000,36.20000,,36.20000,551.10000,245.60000,526.80000,550.80000,0.07000,0.07000
2020-09-30,1309.50000,501.60000,807.90000,199.80000,144.70000,-4.30000,581.70000,226.20000,-137.40000,88.80000,15.20000,73.60000,73.60000,,73.60000,533.99990,226.20000,512.00000,535.30000,0.14000,0.14000
