,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2023-01-31,7727.00000,2689.00000,5038.00000,688.00000,2615.00000,125.00000,3647.00000,1391.00000,-18.00000,1375.00000,146.00000,1229.00000,1229.00000,,1222.00000,2070.00000,1391.00000,1330.20000,1332.00000,0.92000,0.92000
2022-10-31,7585.00000,2535.00000,5050.00000,676.00000,2617.00000,97.00000,3647.00000,1403.00000,-9.00000,1395.00000,959.00000,436.00000,436.00000,,427.00000,2074.00000,1403.00000,1329.40000,1332.00000,0.32000,0.32000
2022-07-31,7371.00000,2516.00000,4855.00000,692.00000,2567.00000,-35.00000,3731.00000,1124.00000,-81.00000,1044.00000,112.00000,932.00000,932.00000,,929.00000,1792.00000,1124.00000,1329.40000,1334.50000,0.70000,0.70000
2022-04-30,8089.00000,2591.00000,5498.00000,652.00000,2569.00000,-144.00000,3826.00000,1672.00000,-69.00000,1602.00000,110.00000,1492.00000,1492.00000,,1485.00000,2360.00000,1672.00000,1342.40000,1351.40000,1.11000,1.10000
2022-01-31,7763.00000,2459.00000,5304.00000,668.00000,2561.00000,63.00000,3645.00000,1659.00000,-70.00000,1589.00000,106.00000,1483.00000,1483.00000,,1480.00000,2331.00000,1659.00000,1343.70000,1350.30000,1.10000,1.10000
2021-10-31,7847.00000,2497.00000,5350.00000,676.00000,2615.00000,-21.00000,3787.00000,1563.00000,-70.00000,1493.00000,176.00000,1317.00000,1317.00000,,1311.00000,2239.00000,1563.00000,1345.10000,1355.30000,0.97000,0.97000
2021-07-31,7987.00000,2598.00000,5389.00000,750.00000,2547.00000,-760.00000,4530.00000,859.00000,-26.00000,833.00000,64.00000,769.00000,769.00000,,763.00000,1530.00000,859.00000,1344.50000,1356.40000,0.57000,0.56000
2021-04-30,8188.00000,2652.00000,5536.00000,632.00000,2594.00000,-199.00000,3932.00000,1604.00000,-38.00000,1566.00000,200.00000,1366.00000,1366.00000,,1360.00000,2288.00000,1604.00000,1344.90000,1354.00000,1.02000,1.00000
2021-01-31,7775.00000,2621.00000,5154.00000,601.00000,2537.00000,-81.00000,3877.00000,1277.00000,-57.00000,1220.00000,-59.00000,1279.00000,1279.00000,,1270.00000,1955.00000,1277.00000,1346.40000,1356.00000,0.94000,0.94000
2020-10-31,7647.00000,2705.00000,4942.00000,639.00000,2600.00000,-149.00000,4012.00000,930.00000,-405.00000,525.00000,31.00000,494.00000,494.00000,,489.00000,1601.00000,930.00000,1344.40000,1352.10000,0.36000,0.36000
2020-07-31,6507.00000,2505.00000,4002.00000,621.00000,2417.00000,114.00000,3329.00000,673.00000,-89.00000,584.00000,93.00000,491.00000,491.00000,,487.00000,1342.00000,673.00000,1341.90000,1350.00000,0.36000,0.36000
2020-04-30,5997.00000,2264.00000,3733.00000,568.00000,2359.00000,17.00000,3417.00000,316.00000,-111.00000,205.00000,-434.00000,639.00000,639.00000,,646.00000,988.00000,316.00000,1340.70000,1351.10000,0.48000,0.47000
2020-01-31,7717.00000,2400.00000,5317.00000,573.00000,2587.00000,39.00000,3678.00000,1639.00000,-60.00000,1579.00000,-340.00000,1919.00000,1919.00000,,1915.00000,2302.00000,1639.00000,1340.50000,1351.50000,1.43000,1.42000
2019-10-31,7706.00000,2394.00000,5312.00000,603.00000,2620.00000,-149.00000,3961.00000,1351.00000,-57.00000,1294.00000,-77.00000,1371.00000,1371.00000,,1364.00000,2022.00000,1351.00000,1340.80000,1351.40000,1.02000,1.01000
2019-07-31,7493.00000,2366.00000,5127.00000,587.00000,2543.00000,22.00000,3642.00000,1485.00000,-508.00000,977.00000,100.00000,877.00000,877.00000,,864.00000,2142.00000,1485.00000,1340.80000,1351.90000,0.64000,0.64000
2019-04-30,8146.00000,2483.00000,5663.00000,594.00000,2620.00000,20.00000,3717.00000,1946.00000,-654.00000,1292.00000,110.00000,1182.00000,1182.00000,,1172.00000,2613.00000,1946.00000,1346.40000,1357.50000,0.87000,0.86000
2019-01-31,7546.00000,2265.00000,5281.00000,561.00000,2596.00000,-57.00000,3739.00000,1542.00000,-172.00000,1370.00000,99.00000,1271.00000,1271.00000,,1269.00000,2217.00000,1542.00000,1342.80000,1352.70000,0.95000,0.94000
2018-10-31,7481.00000,2203.00000,5278.00000,590.00000,2605.00000,-70.00000,3734.00000,1544.00000,-189.00000,1355.00000,235.00000,1120.00000,1120.00000,,1115.00000,2195.00000,1544.00000,1349.20000,1360.90000,0.83000,0.82000
2018-07-31,7384.00000,2204.00000,5180.00000,585.00000,2597.00000,-151.00000,3944.00000,1236.00000,-56.00000,1180.00000,103.00000,1077.00000,1077.00000,,1075.00000,1902.00000,1236.00000,1352.70000,1365.40000,0.79000,0.79000
2018-04-30,8144.00000,2398.00000,5746.00000,592.00000,2596.00000,-175.00000,3818.00000,1928.00000,-203.00000,1725.00000,260.00000,1465.00000,1465.00000,,1460.00000,2592.00000,1928.00000,1356.70000,1368.20000,1.08000,1.08000
2018-01-31,7369.00000,2194.00000,5175.00000,559.00000,2523.00000,-128.00000,3739.00000,1436.00000,-409.00000,1027.00000,2419.00000,-1392.00000,-1392.00000,,-1389.00000,2102.00000,1436.00000,1354.00000,1354.00000,-1.03000,-1.03000
2017-10-31,7050.00000,2123.00000,4927.00000,556.00000,2539.00000,530.00000,3033.00000,1894.00000,-166.00000,1728.00000,-285.00000,2013.00000,2013.00000,,2017.00000,2572.00000,1894.00000,1355.10000,1365.80000,1.49000,1.48000
2017-07-31,7390.00000,2352.00000,5038.00000,549.00000,2580.00000,-65.00000,3656.00000,1382.00000,-187.00000,1195.00000,186.00000,1009.00000,1009.00000,,1016.00000,2018.00000,1382.00000,1361.90000,1375.60000,0.75000,0.74000
2017-04-30,7916.00000,2439.00000,5477.00000,553.00000,2786.00000,35.00000,3793.00000,1684.00000,-249.00000,1435.00000,271.00000,1164.00000,1164.00000,,1163.00000,2381.00000,1684.00000,1378.90000,1391.40000,0.84000,0.84000
2017-01-31,7283.00000,2268.00000,5015.00000,530.00000,2388.00000,-146.00000,3868.00000,1147.00000,-180.00000,967.00000,147.00000,820.00000,820.00000,,821.00000,1884.00000,1147.00000,1372.20000,1383.10000,0.60000,0.59000
2016-10-31,7345.00000,2326.00000,5019.00000,554.00000,2416.00000,-89.00000,3634.00000,1385.00000,-173.00000,1212.00000,101.00000,1111.00000,1111.00000,,1115.00000,2124.00000,1385.00000,1380.00000,1392.50000,0.81000,0.80000
2016-07-31,7166.00000,2261.00000,4905.00000,556.00000,2428.00000,-39.00000,3738.00000,1167.00000,-179.00000,988.00000,59.00000,929.00000,929.00000,,929.00000,1911.00000,1167.00000,1392.20000,1407.10000,0.67000,0.66000
2016-04-30,7567.00000,2363.00000,5204.00000,575.00000,2360.00000,20.00000,3629.00000,1575.00000,-441.00000,1134.00000,31.00000,1103.00000,1103.00000,,1103.00000,2290.00000,1575.00000,1409.60000,1425.90000,0.78000,0.78000
2016-01-31,6934.00000,2141.00000,4793.00000,546.00000,2317.00000,-9.00000,3438.00000,1355.00000,-176.00000,1179.00000,84.00000,1095.00000,1095.00000,,1095.00000,2077.00000,1355.00000,1406.60000,1422.20000,0.78000,0.77000
2015-10-31,7058.00000,2182.00000,4876.00000,545.00000,2343.00000,-57.00000,3576.00000,1300.00000,-217.00000,1083.00000,563.00000,520.00000,520.00000,,520.00000,2004.00000,1300.00000,1412.90000,1428.80000,0.37000,0.36000
2015-07-31,7274.00000,2456.00000,4818.00000,558.00000,2449.00000,-61.00000,3687.00000,1131.00000,-191.00000,940.00000,120.00000,820.00000,820.00000,,820.00000,1839.00000,1131.00000,1418.10000,1436.40000,0.58000,0.57000
2015-04-30,7304.00000,2934.00000,4370.00000,528.00000,2404.00000,-194.00000,4211.00000,159.00000,28.00000,187.00000,188.00000,-1.00000,-1.00000,,-1.00000,843.00000,159.00000,1095.50000,1109.00000,-0.27000,-0.27000
2015-01-31,4318.00000,1128.00000,3190.00000,373.00000,1487.00000,114.00000,1915.00000,1275.00000,-81.00000,1194.00000,217.00000,977.00000,977.00000,,977.00000,1550.00000,1275.00000,983.80000,995.80000,0.99000,0.98000
2014-10-31,4366.00000,1142.00000,3224.00000,374.00000,1507.00000,,2031.00000,1193.00000,-171.00000,1022.00000,194.00000,828.00000,828.00000,,828.00000,1401.00000,1193.00000,981.90000,993.00000,0.84000,0.83000
2014-07-31,4273.00000,1105.00000,3168.00000,365.00000,1506.00000,,2029.00000,1139.00000,-56.00000,1083.00000,212.00000,871.00000,871.00000,,871.00000,1354.00000,1139.00000,992.60000,1005.20000,0.88000,0.87000
2014-04-30,4565.00000,1171.00000,3394.00000,385.00000,1539.00000,,3089.00000,305.00000,176.00000,481.00000,33.00000,448.00000,448.00000,,448.00000,522.00000,305.00000,1002.10000,1013.60000,0.46000,0.45000
2014-01-31,4163.00000,1050.00000,3113.00000,360.00000,1454.00000,,2088.00000,1025.00000,-70.00000,955.00000,193.00000,762.00000,762.00000,,762.00000,1241.00000,1025.00000,998.30000,1010.00000,0.76000,0.75000
2013-10-31,4194.00000,1090.00000,3104.00000,372.00000,1438.00000,,1898.00000,1206.00000,-90.00000,1116.00000,214.00000,902.00000,902.00000,,902.00000,1421.00000,1206.00000,998.90000,1009.40000,0.90000,0.89000
2013-07-31,4083.00000,1022.00000,3061.00000,360.00000,1416.00000,,1784.00000,1277.00000,-124.00000,1153.00000,200.00000,953.00000,953.00000,,953.00000,1487.00000,1277.00000,1009.70000,1021.20000,0.94000,0.93000
2013-04-30,4460.00000,1134.00000,3326.00000,409.00000,1475.00000,,2135.00000,1191.00000,-37.00000,1154.00000,185.00000,969.00000,969.00000,,969.00000,1435.00000,1191.00000,1019.30000,1027.50000,0.95000,0.94000
2013-01-31,4027.00000,999.00000,3028.00000,376.00000,1401.00000,,1810.00000,1218.00000,-63.00000,1155.00000,167.00000,988.00000,988.00000,,988.00000,1455.00000,1218.00000,1012.50000,1021.00000,0.98000,0.97000
2012-10-31,4095.00000,1020.00000,3075.00000,387.00000,1417.00000,,1889.00000,1186.00000,-332.00000,854.00000,208.00000,646.00000,646.00000,,646.00000,1408.00000,1186.00000,1019.40000,1027.80000,0.63000,0.63000
2012-07-31,4008.00000,973.00000,3035.00000,385.00000,1405.00000,,1875.00000,1160.00000,-72.00000,1088.00000,224.00000,864.00000,864.00000,,864.00000,1380.00000,1160.00000,1029.80000,1037.10000,0.84000,0.83000
2012-04-30,4297.00000,1047.00000,3250.00000,393.00000,1462.00000,,2035.00000,1215.00000,-184.00000,1031.00000,144.00000,887.00000,887.00000,103.00000,990.00000,1437.00000,1215.00000,1053.90000,1059.90000,0.95000,0.94000
2012-01-31,3918.00000,931.00000,2987.00000,364.00000,1371.00000,,1834.00000,1153.00000,-100.00000,1053.00000,208.00000,845.00000,845.00000,90.00000,935.00000,1383.00000,1153.00000,1054.40000,1060.20000,0.89000,0.88000
2011-10-31,4023.00000,960.00000,3063.00000,371.00000,1410.00000,,1842.00000,1221.00000,-178.00000,1043.00000,179.00000,864.00000,864.00000,7.00000,871.00000,1455.00000,1221.00000,1058.10000,1063.10000,0.82000,0.82000
2011-07-31,3946.00000,951.00000,2995.00000,362.00000,1380.00000,,1836.00000,1159.00000,-141.00000,1018.00000,199.00000,819.00000,819.00000,2.00000,821.00000,1391.00000,1159.00000,1063.50000,1069.60000,0.77000,0.77000
2011-04-30,3975.00000,912.00000,3063.00000,367.00000,1355.00000,,2081.00000,982.00000,-107.00000,875.00000,129.00000,746.00000,746.00000,30.00000,776.00000,1236.00000,982.00000,1077.40000,1081.70000,0.73000,0.72000
2011-01-31,3857.00000,934.00000,2923.00000,362.00000,1367.00000,,1776.00000,1147.00000,-150.00000,997.00000,84.00000,913.00000,913.00000,11.00000,924.00000,1380.00000,1147.00000,1073.90000,1077.90000,0.86000,0.86000
2010-10-31,3903.00000,961.00000,2942.00000,373.00000,1371.00000,,1853.00000,1089.00000,-337.00000,752.00000,186.00000,566.00000,566.00000,,566.00000,1347.00000,1089.00000,1080.10000,1083.70000,0.52000,0.52000
2010-07-31,3773.00000,893.00000,2880.00000,370.00000,1334.00000,,1801.00000,1079.00000,-39.00000,1040.00000,210.00000,830.00000,830.00000,,830.00000,1309.00000,1079.00000,1086.10000,1089.70000,0.76000,0.76000
