,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-11-30,1695.70000,1071.30000,624.39980,346.50000,-13.60000,360.10000,264.29990,-36.00000,228.30000,53.20000,175.09990,,175.09990,185.70000,316.70000,264.30000,268.20000,270.20000,0.69000,0.69000
2022-08-31,1595.60000,1028.90000,566.70000,328.10000,-3.40000,331.50000,235.20000,39.50000,274.70000,59.30000,215.40000,,215.40000,222.90000,285.20000,235.20000,268.30000,270.20000,0.83000,0.82000
2022-05-31,1536.80000,1013.80000,523.00010,349.20000,-16.60000,365.80000,157.20010,-27.40000,129.80000,21.70000,108.10000,,108.10000,118.50000,206.40010,157.20010,268.30000,270.50000,0.44000,0.44000
2022-02-28,1522.40000,962.00000,560.40000,333.30000,-20.20000,353.50000,206.90000,-26.90000,180.00000,34.40000,145.60000,,145.60000,154.90000,255.90000,206.90000,267.80000,270.50000,0.58000,0.57000
2021-11-30,1730.30000,1027.40000,702.90000,398.90010,-27.80000,426.70000,276.20030,-28.00000,248.20000,57.20000,191.00000,,191.00000,197.40000,323.40030,276.20010,267.30000,269.90000,0.74000,0.73000
2021-08-31,1549.40000,949.80000,599.60000,327.30000,-7.10000,334.40000,265.20010,-30.40000,234.80000,31.50000,203.30000,,203.30000,212.40000,312.40010,265.20010,267.40000,270.00000,0.79000,0.79000
2021-05-31,1556.70000,942.10000,614.60000,356.60000,-20.60000,377.20000,237.40000,-31.70000,205.70000,45.40000,160.30000,,160.30000,183.70000,281.20000,237.40000,267.30000,270.00000,0.69000,0.68000
2021-02-28,1481.50000,904.00000,577.50000,321.30000,-19.90000,341.20000,236.29990,-29.20000,207.10000,58.60000,148.50000,,148.50000,161.80000,290.69990,236.29990,267.10000,269.90000,0.61000,0.60000
2020-11-30,1557.90000,897.20000,660.70000,370.49990,-15.30000,385.80000,274.90010,-27.30000,247.60000,57.50000,190.10000,,190.10000,200.70010,316.00020,274.90000,266.50000,269.10000,0.75000,0.75000
2020-08-31,1430.30000,840.00000,590.30000,317.20000,-0.10000,317.30000,273.00010,-29.60000,243.40000,46.90000,196.50000,,196.50000,206.10000,315.40010,273.00010,266.70000,269.60000,0.77000,0.76000
