,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,8723.96000,6626.47000,2097.49000,422.82290,,524.57800,1572.91200,-39.50300,1533.40500,207.16010,1326.24500,1326.24500,1250.91500,1860.13300,1572.91000,262.34800,263.17600,4.99000,4.95000
2022-09-30,10500.75000,7657.36400,2843.39100,486.56000,,486.56000,2356.83100,-33.90900,2322.92200,523.87900,1799.04300,1799.04300,1687.85500,2646.70700,2356.83100,259.10200,259.52600,6.51000,6.50000
2022-06-30,11794.47000,7690.21100,4104.26300,563.21100,,563.21100,3541.05200,-50.65000,3490.40200,763.16500,2727.23700,2727.23700,2550.19200,3788.70000,3541.05200,263.22100,263.71900,9.69000,9.67000
2022-03-31,10493.28000,7035.14300,3458.13900,524.58400,,524.58400,2933.55500,-35.44000,2898.11500,671.00000,2227.11500,2227.11500,2087.20300,3170.44400,2933.55500,271.56400,272.09400,7.69000,7.67000
2021-12-31,10364.41000,6841.21000,3523.20000,502.07000,-11.19100,513.26200,3009.93800,-2.18300,3007.75700,667.62500,2340.13300,2340.13300,2239.60100,3251.22700,3009.93900,292.49100,293.39000,7.79000,7.74000
2021-09-30,10313.22000,6906.95000,3406.27200,526.34500,,526.34500,2879.92800,-10.82100,2869.10700,645.84200,2223.26500,2223.26500,2118.30100,3098.85300,2879.92800,290.51000,291.15200,7.29000,7.28000
2021-06-30,8789.16400,6315.66100,2473.50300,387.07000,-44.30800,431.37800,2042.12500,-16.37700,2025.74800,454.28900,1571.45900,1571.45900,1500.19200,2245.52500,2042.12500,296.81700,297.52900,5.05000,5.04000
2021-03-31,7017.14000,5394.70300,1622.43700,291.12400,-6.66200,297.78600,1324.65100,-26.40500,1298.24600,310.73200,987.51400,987.51400,937.05600,1525.60100,1324.65100,301.84600,302.51800,3.10000,3.10000
2020-12-31,5260.05600,4541.52600,718.52980,154.11900,-314.19000,468.30800,250.22120,-32.45300,217.76600,-208.10000,425.86600,425.86600,397.11000,447.12220,250.22020,303.16800,303.27100,1.31000,1.30000
2020-09-30,4927.96000,4425.76500,502.19480,165.51300,-6.60400,172.11700,330.07760,-39.66000,290.41800,67.78800,222.63000,222.63000,192.21400,526.78660,330.07760,303.39400,303.44100,0.63000,0.63000
2020-06-30,4327.30600,3949.34700,377.95920,142.01700,-5.00000,147.01700,230.94190,-49.88500,181.05700,47.90400,133.15300,133.15300,108.08900,425.52290,230.94190,302.92100,302.93300,0.36000,0.36000
2020-03-31,5624.33700,4995.06900,629.26810,153.39200,-287.84600,441.23800,188.02980,-41.73300,146.29700,91.91800,54.37900,54.37900,19.70100,385.30480,188.02980,302.90900,302.93200,0.07000,0.07000
2019-12-31,5131.74500,4696.55800,435.18700,162.22800,,229.14500,206.04200,-27.81400,178.23000,43.97700,134.25300,134.25300,106.84200,398.08300,206.04300,305.04000,305.50300,0.35000,0.35000
2019-09-30,5464.50200,4891.99100,572.51070,159.30100,,159.30100,413.21000,-32.87100,380.33900,86.75200,293.58700,293.58700,273.37600,591.09500,413.21000,304.63700,304.98000,0.90000,0.90000
2019-06-30,5895.98600,5120.49200,775.49370,208.98000,,208.98000,566.51370,-31.89200,534.62200,122.34500,412.27700,412.27700,384.05200,751.56960,566.51370,305.46100,305.95200,1.26000,1.26000
2019-03-31,6096.62400,5200.73200,895.89210,180.73900,,180.73900,715.15330,-25.53700,689.61600,158.82300,530.79300,530.79300,499.83800,894.82430,715.15330,306.58500,307.18000,1.63000,1.63000
2018-12-31,6295.88600,5183.62200,1112.26400,209.30000,,209.30100,902.96240,-25.68600,877.27620,196.20600,681.07000,681.07000,644.34210,1081.58500,902.96140,315.85800,316.73300,2.06000,2.06000
2018-09-30,6742.20200,5452.05200,1290.15000,234.08100,-110.00000,344.08100,946.06930,-23.56700,922.50200,216.21500,706.28700,706.28700,673.84900,1126.10800,946.06930,315.91300,316.79800,2.13000,2.13000
2018-06-30,6460.77400,5294.18400,1166.59000,234.38100,,234.38100,932.20900,-18.50800,913.70100,200.08600,713.61500,713.61500,680.23400,1112.06600,932.20900,318.46700,319.39100,2.14000,2.13000
2018-03-31,5568.41900,4842.01300,726.40580,182.96000,,182.96000,543.44580,-27.53400,515.91200,135.80000,380.11200,380.11200,352.99800,724.56380,543.44580,319.42100,320.47400,1.11000,1.10000
2017-12-31,5092.32700,4571.76100,520.56590,168.10200,,168.10100,352.46480,-30.22500,322.24110,-72.85300,395.09410,395.09410,382.57210,536.30990,352.46440,319.99000,320.77300,1.21000,1.20000
2017-09-30,5170.11700,4591.15300,578.96440,172.79200,,172.79200,406.17240,-35.56700,370.60500,104.50000,266.10500,266.10500,253.95000,585.66740,406.17240,320.09600,320.76300,0.79000,0.79000
2017-06-30,5174.76900,4465.14400,709.62500,170.21100,,170.21100,539.41410,-31.27800,508.13600,166.41200,341.72400,341.72400,321.91000,722.24210,539.41410,320.43900,321.22600,1.00000,1.00000
2017-03-31,4815.17900,4054.92900,760.25020,176.42600,,176.42600,583.82420,-34.84900,548.97500,171.32700,377.64800,377.64800,355.70700,764.71720,583.82420,320.22400,321.14600,1.11000,1.11000
2016-12-31,3956.53900,3513.11200,443.42680,156.08200,,156.08200,287.34470,-32.30400,255.04010,79.85500,175.18500,175.18500,158.41000,461.22380,287.34470,319.56300,319.82200,0.50000,0.50000
2016-09-30,4290.23600,3608.00000,682.23580,169.22300,,169.22300,513.01290,-28.84100,484.17200,152.80700,331.36500,331.36500,304.41300,684.51290,513.01290,319.73700,320.02800,0.95000,0.95000
2016-06-30,4245.77200,3660.51200,585.26000,161.71100,,161.71100,423.54910,-33.66500,389.88400,118.51500,271.36900,271.36900,243.62000,594.86310,423.54910,319.36000,319.58300,0.76000,0.76000
2016-03-31,3715.57600,3400.59100,314.98490,109.74500,,109.74500,205.23970,-35.67700,169.56300,47.06600,122.49700,122.49700,87.19600,375.60070,205.23970,319.24000,319.29400,0.27000,0.27000
2015-12-31,3456.71300,3541.24700,-84.53420,81.49700,,326.33000,-410.86430,-36.80800,-447.67200,-129.33000,-318.34200,-318.34200,-338.97300,-235.75920,-410.86430,320.56500,320.67900,-1.06000,-1.06000
2015-09-30,4225.51400,3701.67800,523.83620,124.33900,,124.33900,399.49710,-45.22600,354.27100,86.53500,267.73600,267.73600,226.38900,572.99300,399.49710,320.81900,320.90000,0.71000,0.71000
2015-06-30,4357.60900,3971.30300,386.30590,128.59200,,128.59200,257.71390,-41.49200,216.22200,56.87800,159.34400,159.34400,124.34400,432.54080,257.71390,320.50600,320.70800,0.39000,0.39000
2015-03-31,4399.44000,4111.15800,288.28170,124.56100,,124.56100,163.72070,-44.67600,119.04500,34.75300,84.29200,84.29200,67.45000,340.30970,163.72070,320.31500,320.48300,0.21000,0.21000
2014-12-31,5003.75200,4547.17100,456.58150,101.95400,,127.34600,329.23540,-35.29800,293.93700,86.20500,207.73200,207.73200,175.15600,512.84740,329.23540,319.83800,320.12700,0.55000,0.54000
2014-09-30,5701.86900,5102.28300,599.58590,152.60400,,152.60400,446.98190,-42.99700,403.98500,129.78400,274.20100,274.20100,244.66600,625.09890,446.98190,320.02300,320.33700,0.76000,0.76000
2014-06-30,5291.07500,4875.20800,415.86720,132.81300,,132.81300,283.05420,-41.18900,241.86500,74.93000,166.93500,166.93500,146.55400,465.83620,283.05420,319.69300,319.98100,0.46000,0.46000
2014-03-31,5108.44400,4731.24200,377.20170,133.43400,,133.43400,243.76760,-36.26700,207.50100,77.80500,129.69600,129.69600,110.64000,423.67960,243.76760,319.50500,319.76800,0.35000,0.35000
