,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,8152.00000,3211.00000,4941.00000,2091.00000,,2017.00000,2924.00000,-178.00000,2746.00000,409.00000,2337.00000,2494.00000,2385.00000,3215.00000,2924.00000,1550.00000,1552.00000,1.54000,1.54000
2022-09-30,8032.00000,2935.00000,5097.00000,2129.00000,,2129.00000,2968.00000,-145.00000,2823.00000,622.00000,2201.00000,2222.00000,2082.00000,3326.00000,2968.00000,1550.00000,1552.00000,1.34000,1.34000
2022-06-30,7832.00000,2648.00000,5184.00000,2092.00000,,2128.00000,3056.00000,-131.00000,2925.00000,594.00000,2331.00000,2346.00000,2226.00000,3343.00000,3056.00000,1551.00000,1552.00000,1.44000,1.43000
2022-03-31,7746.00000,2608.00000,5138.00000,1802.00000,,1840.00000,3298.00000,-158.00000,3140.00000,619.00000,2521.00000,2465.00000,2331.00000,3551.00000,3298.00000,1550.00000,1552.00000,1.50000,1.50000
2021-12-31,8104.00000,2807.00000,5297.00000,2387.00000,,2350.00000,2947.00000,-179.00000,2768.00000,593.00000,2175.00000,2229.00000,2080.00000,3226.00000,2947.00000,1558.00000,1559.00000,1.34000,1.34000
2021-09-30,8122.00000,2596.00000,5526.00000,2071.00000,,2071.00000,3455.00000,-181.00000,3274.00000,735.00000,2539.00000,2588.00000,2419.00000,3690.00000,3455.00000,1558.00000,1560.00000,1.55000,1.55000
2021-06-30,7594.00000,2353.00000,5241.00000,2093.00000,,2112.00000,3129.00000,-188.00000,2941.00000,646.00000,2295.00000,2298.00000,2166.00000,3368.00000,3129.00000,1558.00000,1560.00000,1.39000,1.39000
2021-03-31,7585.00000,2274.00000,5311.00000,1849.00000,,1867.00000,3444.00000,-195.00000,3249.00000,697.00000,2552.00000,2595.00000,2418.00000,3689.00000,3444.00000,1558.00000,1560.00000,1.55000,1.55000
2020-12-31,7444.00000,2572.00000,4872.00000,2022.00000,,1967.00000,2905.00000,-193.00000,2712.00000,613.00000,2099.00000,2119.00000,1971.00000,3177.00000,2905.00000,1557.00000,1558.00000,1.26000,1.26000
2020-09-30,7446.00000,2416.00000,5030.00000,1769.00000,,1787.00000,3243.00000,-186.00000,3057.00000,640.00000,2417.00000,2437.00000,2302.00000,3482.00000,3243.00000,1558.00000,1558.00000,1.48000,1.48000
2020-06-30,6651.00000,2179.00000,4472.00000,1722.00000,,1741.00000,2731.00000,-184.00000,2547.00000,528.00000,2019.00000,2049.00000,1942.00000,2960.00000,2731.00000,1558.00000,1558.00000,1.25000,1.25000
2020-03-31,7153.00000,2402.00000,4751.00000,1944.00000,,1962.00000,2789.00000,-152.00000,2637.00000,596.00000,2041.00000,1987.00000,1821.00000,3030.00000,2789.00000,1557.00000,1558.00000,1.17000,1.17000
2019-12-31,7713.00000,2778.00000,4935.00000,2413.00000,,2429.00000,2506.00000,-164.00000,2342.00000,623.00000,1719.00000,1782.00000,1608.00000,2761.00000,2506.00000,1555.00000,1556.00000,1.03000,1.03000
2019-09-30,7642.00000,2605.00000,5037.00000,2234.00000,,2249.00000,2788.00000,-152.00000,2636.00000,635.00000,2001.00000,2046.00000,1891.00000,3025.00000,2788.00000,1556.00000,1556.00000,1.22000,1.22000
2019-06-30,7699.00000,2665.00000,5034.00000,1831.00000,,1847.00000,3187.00000,-170.00000,3017.00000,611.00000,2406.00000,2436.00000,2319.00000,3419.00000,3187.00000,1556.00000,1556.00000,1.49000,1.49000
2019-03-31,6751.00000,2465.00000,4286.00000,2217.00000,,2236.00000,2050.00000,-173.00000,1877.00000,424.00000,1453.00000,1464.00000,1350.00000,2290.00000,2050.00000,1555.00000,1556.00000,0.87000,0.87000
2018-12-31,7499.00000,2781.00000,4718.00000,1997.00000,,2016.00000,2702.00000,-147.00000,2555.00000,551.00000,2004.00000,2003.00000,1907.00000,2957.00000,2702.00000,1555.00000,1555.00000,1.23000,1.23000
2018-09-30,7504.00000,2618.00000,4886.00000,1710.00000,,1730.00000,3156.00000,-152.00000,3004.00000,691.00000,2313.00000,2341.00000,2242.00000,3402.00000,3156.00000,1555.00000,1555.00000,1.44000,1.44000
