,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,7383.00000,4253.00000,3130.00000,822.00000,1039.00000,1886.00000,1244.00000,-134.00000,1110.00000,189.00000,921.00000,921.00000,921.00000,1570.00000,1244.00000,1154.00000,1158.00000,0.80000,0.80000
2022-09-30,6846.00000,3864.00000,2982.00000,801.00000,1007.00000,1864.00000,1118.00000,460.00000,1578.00000,248.00000,1330.00000,1330.00000,1330.00000,1448.00000,1118.00000,1154.00000,1157.00000,1.15000,1.15000
2022-06-30,6806.00000,4028.00000,2778.00000,815.00000,1109.00000,2014.00000,764.00000,-715.00000,49.00000,390.00000,-341.00000,-341.00000,-341.00000,1097.00000,764.00000,1158.00000,1158.00000,-0.29000,-0.29000
2022-03-31,6483.00000,3720.00000,2763.00000,815.00000,1201.00000,2052.00000,711.00000,-82.00000,629.00000,120.00000,509.00000,509.00000,509.00000,1039.00000,711.00000,1163.00000,1172.00000,0.44000,0.43000
2021-12-31,6918.00000,3834.00000,3084.00000,796.00000,1236.00000,2034.00000,1050.00000,-344.00000,706.00000,-95.00000,801.00000,801.00000,801.00000,1376.00000,1050.00000,1174.00000,1186.00000,0.67000,0.68000
2021-09-30,6182.00000,3336.00000,2846.00000,755.00000,1047.00000,1803.00000,1043.00000,122.00000,1165.00000,78.00000,1087.00000,1087.00000,1087.00000,1366.00000,1043.00000,1174.00000,1187.00000,0.93000,0.92000
2021-06-30,6238.00000,3214.00000,3024.00000,746.00000,1150.00000,1897.00000,1127.00000,229.00000,1356.00000,172.00000,1184.00000,1184.00000,1184.00000,1443.00000,1127.00000,1174.00000,1186.00000,1.01000,1.00000
2021-03-31,6033.00000,3066.00000,2967.00000,741.00000,1126.00000,1925.00000,1042.00000,-170.00000,872.00000,-225.00000,1097.00000,1097.00000,1097.00000,1342.00000,1042.00000,1173.00000,1190.00000,0.94000,0.92000
2020-12-31,6116.00000,3203.00000,2913.00000,732.00000,1174.00000,1950.00000,963.00000,896.00000,1859.00000,292.00000,1567.00000,1567.00000,1567.00000,1264.00000,963.00000,1173.00000,1187.00000,1.34000,1.32000
2020-09-30,5459.00000,2815.00000,2644.00000,674.00000,974.00000,1667.00000,977.00000,167.00000,1144.00000,123.00000,1021.00000,1021.00000,1021.00000,1275.00000,977.00000,1172.00000,1190.00000,0.87000,0.86000
2020-06-30,5261.00000,2706.00000,2555.00000,631.00000,926.00000,1604.00000,951.00000,848.00000,1799.00000,269.00000,1530.00000,1530.00000,1530.00000,1248.00000,951.00000,1173.00000,1184.00000,1.30000,1.29000
2020-03-31,4618.00000,2729.00000,1889.00000,605.00000,857.00000,1491.00000,398.00000,-135.00000,263.00000,179.00000,84.00000,84.00000,84.00000,691.00000,398.00000,1173.00000,1185.00000,0.07000,0.07000
2019-12-31,4961.00000,2732.00000,2229.00000,558.00000,872.00000,1430.00000,799.00000,55.00000,854.00000,347.00000,507.00000,507.00000,507.00000,1026.00000,799.00000,1174.00000,1188.00000,0.43000,0.43000
2019-09-30,4378.00000,2431.00000,1947.00000,533.00000,717.00000,1250.00000,697.00000,-213.00000,484.00000,22.00000,462.00000,462.00000,462.00000,924.00000,697.00000,1175.00000,1188.00000,0.39000,0.39000
2019-06-30,4305.00000,2344.00000,1961.00000,483.00000,775.00000,1256.00000,705.00000,238.00000,943.00000,120.00000,823.00000,823.00000,823.00000,933.00000,705.00000,1175.00000,1187.00000,0.70000,0.69000
2019-03-31,4128.00000,2278.00000,1850.00000,511.00000,748.00000,1332.00000,518.00000,199.00000,717.00000,50.00000,667.00000,667.00000,667.00000,748.00000,518.00000,1171.00000,1188.00000,0.57000,0.56000
2018-12-31,4226.00000,2295.00000,1931.00000,490.00000,831.00000,1333.00000,598.00000,88.00000,686.00000,102.00000,584.00000,584.00000,584.00000,821.00000,598.00000,1184.00000,1203.00000,0.50000,0.49000
2018-09-30,3683.00000,2011.00000,1672.00000,452.00000,702.00000,1182.00000,490.00000,43.00000,533.00000,97.00000,436.00000,436.00000,436.00000,678.00000,490.00000,1181.00000,1199.00000,0.37000,0.36000
2018-06-30,3857.00000,2034.00000,1823.00000,441.00000,694.00000,1251.00000,572.00000,37.00000,609.00000,83.00000,526.00000,526.00000,526.00000,752.00000,572.00000,1187.00000,1202.00000,0.44000,0.44000
2018-03-31,3685.00000,1922.00000,1763.00000,448.00000,628.00000,1229.00000,534.00000,14.00000,548.00000,37.00000,511.00000,511.00000,511.00000,719.00000,534.00000,1192.00000,1217.00000,0.43000,0.42000
2017-12-31,3744.00000,1573.00000,2171.00000,1054.00000,760.00000,1328.00000,843.00000,21.00000,864.00000,244.00000,620.00000,620.00000,620.00000,1070.00000,843.00000,1203.00000,1221.00000,0.51000,0.50000
2017-09-30,3239.00000,1811.00000,1428.00000,240.00000,571.00000,1005.00000,423.00000,28.00000,451.00000,71.00000,380.00000,380.00000,380.00000,617.00000,423.00000,1202.00000,1223.00000,0.32000,0.31000
2017-06-30,3136.00000,1707.00000,1429.00000,232.00000,566.00000,999.00000,430.00000,17.00000,447.00000,36.00000,411.00000,411.00000,411.00000,631.00000,430.00000,1202.00000,1215.00000,0.34000,0.34000
