,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,314.51690,90.66000,223.85690,23.19300,-2.42700,107.85500,116.00190,74.87300,190.87490,,190.87490,,96.38500,,95.26300,194.36890,116.00190,171.40400,171.79100,0.56000,0.55000
2022-09-30,303.98900,87.50300,216.48600,20.27300,-0.94900,101.49200,114.99400,-37.57600,77.41800,,77.41800,0.22000,88.84700,,87.57800,191.64300,114.99400,171.12100,171.52500,0.51000,0.51000
2022-06-30,302.08300,84.45000,217.63300,17.64500,-0.61700,97.61200,120.02100,-42.16700,77.85400,,77.85400,4.29100,105.98700,,104.79600,195.58700,120.02100,172.06400,172.42400,0.61000,0.61000
2022-03-31,303.43300,83.33000,220.10300,18.79200,-2.17300,98.80700,121.29600,-39.23200,82.06400,,82.06400,101.94800,196.81600,,195.22800,195.21500,121.29600,171.31200,171.67100,1.14000,1.14000
2021-12-31,296.92400,83.67400,213.25000,19.95500,-3.06400,99.41500,113.83500,-27.39600,86.43900,,86.43900,,68.98300,,67.85900,185.93400,113.83500,170.23600,170.69400,0.39000,0.40000
2021-09-30,307.37500,79.24700,228.12800,17.78900,-0.81200,94.06000,134.06800,-36.18200,97.88600,,97.88600,6.71900,118.84800,,117.40600,204.58600,134.06800,170.09000,170.58900,0.69000,0.69000
2021-06-30,287.15900,82.01300,205.14600,19.18700,-1.17700,94.58100,110.56500,-33.94900,76.61600,,76.61600,19.78100,96.83200,,95.49000,180.49600,110.56500,169.85400,170.17200,0.56000,0.56000
2021-03-31,274.70300,81.74800,192.95500,21.28700,-0.69800,99.24400,93.71100,-35.45000,58.26100,,58.26100,11.69800,81.62500,,80.65600,167.56100,93.71100,169.76800,170.00600,0.48000,0.47000
2020-12-31,258.45990,80.71300,177.74690,20.51200,-7.61700,114.86800,62.87890,13.21600,76.09500,,76.09500,,39.21600,,38.48700,140.38190,62.87900,169.23100,169.46000,0.24000,0.23000
2020-09-30,242.94400,77.28300,165.66100,19.58200,-1.20800,105.59800,60.06300,-58.10600,1.95700,,1.95700,3.23700,13.31000,,12.68800,139.80900,60.06300,169.67100,169.97000,0.07000,0.07000
2020-06-30,231.11300,76.82500,154.28800,21.20200,-2.48000,108.74000,45.54800,-36.24600,9.30200,,9.30200,7.44800,19.57400,,19.04600,123.22800,45.54800,169.64300,169.97100,0.11000,0.11000
2020-03-31,283.65800,78.25600,205.40200,13.70500,-1.33700,236.46500,-31.06300,-43.14300,-74.20600,,-74.20600,38.00500,-24.78300,,-25.33200,180.51900,-31.06300,167.90800,167.90800,-0.15000,-0.15000
2019-12-31,288.73290,79.79100,208.94200,18.26200,-3.32800,113.23400,95.70800,-54.04100,41.66700,,41.66700,,41.13100,,40.29100,176.31790,95.70800,167.52600,167.77100,0.24000,0.24000
2019-09-30,282.27600,75.29600,206.98000,16.70500,-1.81900,110.38000,96.60000,-39.26000,57.34000,,57.34000,0.88700,57.94400,,56.96500,180.37800,96.60000,167.55900,167.94400,0.34000,0.34000
2019-06-30,275.87200,76.26500,199.60700,18.71700,-1.53300,113.83900,85.76800,-46.64800,39.12000,,39.12000,0.44200,52.69000,,51.72800,175.94100,85.76800,167.53600,167.96200,0.31000,0.31000
2019-03-31,286.25700,74.79300,211.46400,21.30000,-1.13400,119.62800,91.83600,-47.66100,44.17500,,44.17500,16.49000,91.49300,,90.44600,178.86100,91.83600,167.44000,167.71700,0.54000,0.54000
