,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,3529.70000,2181.30000,1348.40000,395.30000,4.80000,771.20000,577.20000,-203.80000,373.40000,26.40000,347.00000,347.00000,346.80000,,577.20000,316.50000,317.10000,1.10000,1.09000
2022-09-30,3597.80000,2192.40000,1405.40000,362.80000,5.20000,741.10000,664.30000,-156.50000,507.80000,90.90000,416.90000,416.90000,416.90000,1041.00000,664.30000,316.50000,317.00000,1.32000,1.32000
2022-06-30,3413.60000,2064.40000,1349.20000,391.50000,-2.20000,759.60000,589.60030,-111.50000,478.10000,106.30000,371.80000,371.80000,371.90000,949.50040,589.60030,316.50000,317.00000,1.18000,1.17000
2022-03-31,2968.80000,1762.30000,1206.50000,307.80000,0.00000,645.90000,560.59990,-88.40000,472.20000,120.30000,351.90000,351.90000,352.00000,892.69980,560.59990,316.60000,317.20000,1.11000,1.11000
2021-12-31,2952.90000,1809.70000,1143.20000,315.60010,-0.70000,641.50000,501.70020,-224.80000,276.89990,-36.20000,313.10000,313.10000,313.10000,821.50010,501.70040,318.80000,319.40000,0.98000,0.98000
2021-09-30,2933.90000,1744.00000,1189.90000,299.00000,0.00000,625.70000,564.19970,-93.50000,470.70000,119.90000,350.80000,350.80000,350.30000,886.29970,564.19970,318.60000,319.40000,1.10000,1.10000
2021-06-30,2812.30000,1650.20000,1162.10000,315.80000,-0.90000,644.20000,517.90010,-90.50000,427.40000,95.40000,332.00000,332.00000,331.10000,841.60010,517.90010,319.50000,320.00000,1.04000,1.03000
2021-03-31,2595.90000,1533.80000,1062.10000,265.40000,1.10000,569.70000,492.39990,-92.30000,400.10000,103.70000,296.40000,296.40000,295.90000,794.99990,492.39990,319.40000,319.80000,0.93000,0.93000
2020-12-31,2573.20000,1547.20000,1026.00000,257.70000,-43.40000,593.30000,432.70000,-231.40000,201.29990,-35.00000,236.30000,236.30000,235.40000,720.70000,432.70000,319.30000,319.80000,0.74000,0.73000
2020-09-30,2572.10000,1535.40000,1036.70000,256.10000,-31.50000,588.80000,447.89990,-129.20000,318.70000,58.50000,260.20000,260.20000,260.00000,739.29990,447.89990,319.20000,319.70000,0.81000,0.81000
