,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,4738.00000,602.00000,4136.00000,3395.00000,3395.00000,741.00000,741.00000,164.00000,577.00000,577.00000,567.00000,445.80000,448.90000,1.27000,1.26000
2022-09-30,4386.00000,414.00000,3972.00000,3050.00000,3050.00000,922.00000,922.00000,219.00000,703.00000,703.00000,692.00000,468.50000,470.70000,1.48000,1.47000
2022-06-30,4272.00000,272.00000,4000.00000,2934.00000,2934.00000,1066.00000,1066.00000,262.00000,804.00000,804.00000,793.00000,493.00000,495.30000,1.61000,1.60000
2022-03-31,4130.00000,233.00000,3897.00000,2664.00000,2664.00000,1233.00000,1233.00000,301.00000,932.00000,932.00000,922.00000,515.30000,519.50000,1.79000,1.77000
2021-12-31,4220.00000,223.00000,3997.00000,2950.00000,2950.00000,1047.00000,1047.00000,234.00000,813.00000,813.00000,803.00000,564.60000,569.30000,1.51000,1.49000
2021-09-30,3992.00000,240.00000,3752.00000,2252.00000,2252.00000,1500.00000,1500.00000,359.00000,1141.00000,1141.00000,1130.00000,560.60000,565.60000,2.02000,2.00000
2021-06-30,3667.00000,266.00000,3401.00000,1760.00000,1760.00000,1641.00000,1641.00000,399.00000,1242.00000,1242.00000,1232.00000,577.20000,581.70000,2.13000,2.12000
2021-03-31,3873.00000,303.00000,3570.00000,2255.00000,2255.00000,1315.00000,1315.00000,290.00000,1025.00000,1025.00000,1014.00000,583.30000,587.50000,1.74000,1.73000
2020-12-31,4075.00000,334.00000,3741.00000,2797.00000,2797.00000,944.00000,944.00000,206.00000,738.00000,738.00000,728.00000,589.00000,590.80000,1.25000,1.24000
2020-09-30,3968.00000,380.00000,3588.00000,3176.00000,3176.00000,412.00000,412.00000,99.00000,313.00000,313.00000,303.00000,583.80000,584.80000,0.52000,0.52000
2020-06-30,3925.00000,434.00000,3491.00000,3432.00000,3432.00000,59.00000,59.00000,11.00000,48.00000,48.00000,37.00000,583.70000,584.40000,0.06000,0.06000
2020-03-31,4504.00000,517.00000,3987.00000,3605.00000,3605.00000,382.00000,382.00000,96.00000,286.00000,286.00000,275.00000,604.90000,607.40000,0.45000,0.45000
2019-12-31,4689.00000,556.00000,4133.00000,3212.00000,3212.00000,921.00000,921.00000,190.00000,731.00000,731.00000,731.00000,670.20000,673.50000,1.17000,1.16000
2019-09-30,5066.00000,592.00000,4474.00000,3099.00000,3099.00000,1375.00000,1375.00000,319.00000,1056.00000,1056.00000,1056.00000,658.30000,661.70000,1.60000,1.60000
2019-06-30,4828.00000,583.00000,4245.00000,3116.00000,3116.00000,1129.00000,1129.00000,276.00000,853.00000,853.00000,853.00000,683.60000,686.50000,1.25000,1.24000
2019-03-31,4878.00000,560.00000,4318.00000,2856.00000,2856.00000,1462.00000,1462.00000,355.00000,1107.00000,1107.00000,1107.00000,706.30000,708.90000,1.57000,1.56000
2018-12-31,4940.00000,543.00000,4397.00000,3385.00000,3385.00000,1012.00000,1012.00000,229.00000,783.00000,783.00000,783.00000,742.30000,746.90000,1.08000,1.08000
2018-09-30,4757.00000,488.00000,4269.00000,3376.00000,3376.00000,893.00000,893.00000,222.00000,671.00000,671.00000,671.00000,734.90000,738.80000,0.91000,0.91000
2018-06-30,4237.00000,437.00000,3800.00000,2908.00000,2908.00000,892.00000,892.00000,196.00000,696.00000,696.00000,696.00000,752.20000,758.30000,0.93000,0.92000
2018-03-31,4319.00000,402.00000,3917.00000,3070.00000,3070.00000,847.00000,847.00000,207.00000,640.00000,640.00000,640.00000,763.70000,770.30000,0.84000,0.83000
2017-12-31,4353.00000,375.00000,3978.00000,3103.00000,3103.00000,875.00000,875.00000,490.00000,385.00000,385.00000,385.00000,795.60000,799.70000,0.50000,0.50000
2017-09-30,4309.00000,357.00000,3952.00000,3073.00000,3073.00000,879.00000,879.00000,324.00000,555.00000,555.00000,555.00000,787.30000,790.90000,0.70000,0.70000
2017-06-30,4027.00000,333.00000,3694.00000,2906.00000,2906.00000,788.00000,788.00000,292.00000,496.00000,496.00000,496.00000,804.00000,807.40000,0.62000,0.61000
2017-03-31,4006.00000,326.00000,3680.00000,2898.00000,2898.00000,782.00000,782.00000,283.00000,499.00000,499.00000,499.00000,813.10000,817.10000,0.61000,0.61000
2016-12-31,4032.00000,319.00000,3713.00000,2805.00000,2805.00000,908.00000,908.00000,332.00000,576.00000,576.00000,576.00000,829.20000,831.50000,0.69000,0.70000
2016-09-30,3880.00000,315.00000,3565.00000,2602.00000,2602.00000,963.00000,963.00000,359.00000,604.00000,604.00000,604.00000,828.40000,830.60000,0.73000,0.73000
2016-06-30,3598.00000,303.00000,3295.00000,2524.00000,2524.00000,771.00000,771.00000,282.00000,489.00000,489.00000,489.00000,833.90000,836.20000,0.59000,0.58000
2016-03-31,3612.00000,311.00000,3301.00000,2373.00000,2373.00000,928.00000,928.00000,346.00000,582.00000,582.00000,582.00000,833.80000,835.50000,0.70000,0.70000
2015-12-31,3596.00000,301.00000,3295.00000,2427.00000,2427.00000,868.00000,868.00000,321.00000,547.00000,547.00000,547.00000,833.80000,835.50000,0.66000,0.65000
2015-09-30,3476.00000,289.00000,3187.00000,2268.00000,2268.00000,919.00000,919.00000,345.00000,574.00000,574.00000,574.00000,834.00000,836.00000,0.69000,0.69000
2015-06-30,3297.00000,270.00000,3027.00000,2166.00000,2166.00000,861.00000,861.00000,320.00000,541.00000,541.00000,541.00000,834.00000,835.00000,0.65000,0.65000
2015-03-31,3251.00000,275.00000,2976.00000,2093.00000,2093.00000,883.00000,883.00000,331.00000,552.00000,552.00000,552.00000,834.00000,835.00000,0.66000,0.66000
2014-12-31,3422.00000,282.00000,3140.00000,2287.00000,2287.00000,853.00000,853.00000,322.00000,531.00000,531.00000,531.00000,757.40000,757.60000,0.62000,0.62000
2014-09-30,3219.00000,244.00000,2975.00000,2096.00000,2096.00000,879.00000,879.00000,331.00000,548.00000,548.00000,548.00000,782.00000,782.00000,0.70000,0.70000
2014-06-30,3038.00000,206.00000,2832.00000,2068.00000,2068.00000,764.00000,764.00000,292.00000,472.00000,472.00000,472.00000,705.00000,705.00000,0.67000,0.67000
2014-03-31,3048.00000,190.00000,2858.00000,1968.00000,1968.00000,890.00000,890.00000,332.00000,558.00000,558.00000,558.00000,705.00000,705.00000,0.79000,0.79000
2013-12-31,3167.00000,-1039.00000,4206.00000,6705.00000,6705.00000,-2499.00000,692.00000,249.00000,443.00000,443.00000,443.00000,705.30000,705.30000,0.63000,0.63000
2013-09-30,3000.00000,863.00000,2137.00000,1116.00000,1116.00000,1021.00000,1021.00000,380.00000,641.00000,641.00000,641.00000,705.00000,705.00000,0.91000,0.91000
2013-06-30,2810.00000,725.00000,2085.00000,1229.00000,1229.00000,856.00000,856.00000,320.00000,536.00000,536.00000,536.00000,705.27100,705.27100,0.76000,0.76000
2013-03-31,2836.00000,193.00000,2643.00000,2070.00000,2070.00000,573.00000,573.00000,214.00000,359.00000,359.00000,359.00000,,,,0.00000
2012-12-31,,,,,,,,,,,,,,,0.00000
2011-12-31,,,,,,,,,,,,,,,0.00000
