,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,1397.00000,604.00000,793.00000,169.00000,203.00000,590.00000,-289.00000,301.00000,72.00000,229.00000,229.00000,,190.00000,652.00000,590.00000,57.10000,57.10000,3.33000,3.33000
2022-09-30,1510.00000,624.00000,886.00000,211.00000,245.00000,641.00000,-279.00000,362.00000,97.00000,265.00000,265.00000,,226.00000,705.00000,641.00000,58.20000,58.20000,3.94000,3.94000
2022-06-30,1398.00000,582.00000,816.00000,184.00000,217.00000,599.00000,-287.00000,312.00000,73.00000,239.00000,239.00000,,238.00000,661.00000,599.00000,58.00000,58.00000,4.10000,4.10000
2022-03-31,1327.00000,591.00000,736.00000,183.00000,216.00000,520.00000,-260.00000,260.00000,61.00000,199.00000,199.00000,,199.00000,584.00000,520.00000,58.90000,58.90000,3.38000,3.38000
2021-12-31,1194.00000,533.00000,661.00000,170.00000,206.00000,455.00000,-262.00000,193.00000,30.00000,163.00000,163.00000,1.00000,117.00000,516.00000,455.00000,59.20000,59.20000,1.98000,1.98000
2021-09-30,1278.00000,553.00000,725.00000,154.00000,190.00000,535.00000,-247.00000,288.00000,79.00000,209.00000,209.00000,,209.00000,600.00000,535.00000,58.40000,58.40000,3.61000,3.61000
2021-06-30,1218.00000,563.00000,655.00000,172.00000,208.00000,447.00000,-203.00000,244.00000,-73.00000,317.00000,317.00000,,317.00000,500.00000,447.00000,58.40000,58.40000,5.43000,5.43000
2021-03-31,1194.00000,602.00000,592.00000,162.00000,198.00000,394.00000,-264.00000,130.00000,25.00000,105.00000,105.00000,,104.00000,465.00000,394.00000,58.40000,58.40000,1.79000,1.79000
2020-12-31,1108.00000,567.00000,541.00000,197.00000,226.00000,315.00000,-262.00000,53.00000,3.00000,50.00000,50.00000,,-23.00000,364.00000,315.00000,54.70000,54.70000,-0.42000,-0.42000
2020-09-30,1173.00000,636.00000,537.00000,183.00000,224.00000,313.00000,-237.00000,76.00000,-25.00000,101.00000,101.00000,-19.00000,82.00000,389.00000,313.00000,57.30000,57.30000,1.43000,1.43000
2020-06-30,1022.00000,531.00000,491.00000,163.00000,205.00000,286.00000,-252.00000,34.00000,39.00000,-5.00000,-5.00000,-1.00000,-6.00000,358.00000,286.00000,57.30000,57.30000,-0.10000,-0.10000
2020-03-31,1443.00000,625.00000,818.00000,180.00000,226.00000,592.00000,-255.00000,337.00000,14.00000,323.00000,323.00000,-4.00000,319.00000,658.00000,592.00000,57.40000,57.40000,5.56000,5.56000
2019-12-31,1465.00000,664.00000,801.00000,201.00000,241.00000,560.00000,-267.00000,293.00000,59.00000,234.00000,234.00000,71.00000,119.00000,626.00000,560.00000,57.40000,57.40000,2.07000,2.07000
2019-09-30,1541.00000,659.00000,882.00000,214.00000,269.00000,613.00000,-246.00000,367.00000,50.00000,317.00000,317.00000,32.00000,236.00000,650.00000,613.00000,56.30000,56.30000,4.62000,4.62000
2019-06-30,1521.00000,808.00000,713.00000,252.00000,290.00000,423.00000,-240.00000,183.00000,55.00000,128.00000,128.00000,17.00000,145.00000,577.00000,423.00000,56.30000,56.30000,2.57000,2.57000
2019-03-31,1168.00000,518.00000,650.00000,160.00000,182.00000,468.00000,-205.00000,263.00000,63.00000,200.00000,200.00000,2.00000,202.00000,527.00000,468.00000,56.30000,56.30000,3.60000,3.60000
2018-12-31,993.00000,429.00000,564.00000,122.00000,142.00000,422.00000,-172.00000,250.00000,54.00000,196.00000,196.00000,,196.00000,465.00000,422.00000,56.30000,56.30000,3.05000,3.05000
2018-09-30,1049.30800,452.55210,596.75580,123.13000,141.33690,455.41890,-173.11100,282.30800,51.55000,230.75810,230.75810,-2.05700,228.84900,488.54090,455.41900,55.60000,55.60000,4.11000,4.11000
2018-06-30,980.66200,411.14200,569.52000,112.81600,132.04000,437.48000,-171.93900,265.54100,48.15000,217.39100,217.39100,-0.14500,217.24600,480.15500,437.48000,55.59700,55.59700,3.91000,3.91000
2018-03-31,933.07000,398.99600,534.07400,107.52600,124.98300,409.09100,-161.90400,247.18700,45.34700,201.84000,201.84000,-5.56200,196.27800,445.33600,409.09100,55.60500,55.60500,3.53000,3.53000
2017-12-31,847.96000,371.31000,476.65000,106.52800,123.64000,353.01000,-162.04600,190.96400,-121.04700,312.01100,312.01100,2.76400,258.62700,388.96800,353.01000,55.60000,55.60000,4.65000,4.65000
2017-09-30,923.88480,392.64610,531.23880,101.87900,120.28290,410.95590,-163.49300,247.46300,63.31600,184.14700,184.14700,-30.68900,90.17200,465.62490,410.95590,55.53000,55.53000,1.61000,1.61000
2017-06-30,897.65500,377.95900,519.69600,108.10400,131.36300,388.33300,-152.48600,235.84700,66.01500,169.83200,169.83200,-0.77900,169.05300,430.06100,388.33300,54.89000,54.89000,3.08000,3.08000
