,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2023-01-31,14520.00000,10731.00000,3789.00000,2473.00000,,2473.00000,1316.00000,23.00000,1339.00000,301.00000,1038.00000,1038.00000,1038.00000,,1316.00000,,1171.00000,,0.89000
2022-10-31,12166.29000,8622.55600,3543.73000,2184.94600,,2184.94400,1358.78400,0.42700,1359.21100,296.40500,1062.80600,1062.80600,1062.80600,1794.75100,1358.78400,1160.76300,1172.26700,0.92000,0.91000
2022-07-31,11843.01000,8571.55000,3271.45800,2174.86100,,2174.86000,1096.59700,-11.00700,1085.59000,276.25000,809.34000,809.34000,809.34000,1314.72500,1096.59700,1167.92200,1178.14000,0.69000,0.69000
2022-04-30,11406.47000,8223.21300,3183.26100,2094.58200,,2094.57700,1088.67900,-236.40400,852.27500,264.80200,587.47300,587.47300,587.47300,1308.28400,1088.67900,1177.14100,1189.26300,0.50000,0.49000
2022-01-31,13854.37000,10094.52000,3759.84900,2495.90600,,2495.90000,1263.94600,-21.05300,1242.89500,302.69090,940.20390,940.20390,940.20390,1673.38600,1263.94600,1199.99000,1215.59100,0.80000,0.78000
2021-10-31,12531.89000,8835.53200,3696.35700,2296.64900,,2296.64800,1399.70800,-20.67400,1379.03500,356.03500,1023.00000,1023.00000,1023.00000,1616.75700,1399.70800,1200.66100,1215.69000,0.85000,0.84000
2021-07-31,12077.06000,8528.13000,3548.93400,2223.69200,,2223.69000,1325.24100,-270.90900,1054.33200,268.65100,785.68100,785.68100,785.68100,1540.42300,1325.24100,1205.05400,1220.61500,0.65000,0.64000
2021-04-30,10086.66000,7255.63500,2831.02600,2064.99200,,2064.99200,766.03420,-44.68800,721.34600,187.41600,533.93000,533.93000,533.93000,981.41320,766.03420,1205.43900,1221.51700,0.44000,0.44000
2021-01-31,10943.21000,7882.57400,3060.63700,2193.10100,,2193.09600,867.53710,-359.39600,508.13800,182.61500,325.52290,325.52290,325.52290,1138.31700,867.53610,1199.92700,1214.70300,0.28000,0.28000
2020-10-31,10117.29000,7062.28500,3055.00400,1986.12800,,1986.12800,1068.87600,-52.88400,1015.99200,149.33600,866.65600,866.65600,866.65600,1287.84800,1068.87600,1199.95100,1214.19500,0.72000,0.71000
2020-07-31,6667.57500,5174.49000,1493.08500,1527.76800,,1527.76800,-34.68310,-57.33600,-92.01900,122.20100,-214.22000,-214.22000,-214.22000,185.38190,-34.68310,1198.63400,1198.63400,-0.18000,-0.18000
2020-04-30,4408.88800,4414.46500,-5.57670,1313.92000,,1313.92000,-1319.49700,-23.35100,-1342.84800,-455.35900,-887.48900,-887.48900,-887.48900,-1100.03700,-1319.49700,1197.80900,1197.80900,-0.74000,-0.74000
2020-01-31,12206.46000,8741.80500,3464.65700,2135.32900,,2135.32500,1329.33200,-3.05300,1326.27500,341.48500,984.79020,984.79020,984.79030,1674.20300,1329.33100,1208.16300,1226.51900,0.81000,0.80000
2019-10-31,10451.33000,7440.03300,3011.30100,1885.92300,,1885.92300,1125.37800,-3.25900,1122.11900,293.85600,828.26310,828.26310,828.26300,1344.93300,1125.37800,1206.36900,1224.28800,0.69000,0.68000
2019-07-31,9781.59600,7026.05700,2755.53900,1731.33500,,1731.33600,1024.20300,-2.89700,1021.30700,262.34500,758.96200,758.96200,758.96200,1239.83600,1024.20300,1210.52500,1228.98600,0.63000,0.62000
2019-04-30,9277.58500,6637.88500,2639.70000,1702.40100,,1702.40100,937.29880,-0.81700,936.48200,236.30400,700.17800,700.17800,700.17800,1149.50000,937.29880,1214.53100,1233.40700,0.58000,0.57000
2019-01-31,11127.34000,8033.64200,3093.69900,1916.62700,,1916.62600,1177.07300,1.50500,1178.57800,337.03990,841.53800,841.53800,841.53820,1499.05800,1177.07200,1241.15300,1259.25200,0.69000,0.68000
2018-10-31,9825.75900,6983.48300,2842.27600,1756.44800,,1792.57000,1049.70600,-3.18800,1046.51800,284.26500,762.25290,762.25290,762.25300,1204.67700,1049.70600,1236.84200,1257.56200,0.62000,0.61000
2018-07-31,9331.11500,6635.81500,2695.30000,1699.71400,,1699.71400,995.58590,-3.02900,992.55700,252.93100,739.62600,739.62600,739.62600,1249.54700,995.58590,1246.85100,1265.92000,0.59000,0.58000
2018-04-30,8688.72000,6178.23900,2510.48100,1550.77500,,1550.77500,959.70610,-4.14800,955.55800,239.17700,716.38100,716.38100,716.38100,1152.00100,959.70610,1253.22400,1268.87200,0.57000,0.56000
2018-01-31,10960.72000,7849.40200,3111.32100,1895.60100,,1994.85100,1116.47000,-4.08900,1112.38000,235.10400,877.27570,877.27570,877.27590,1409.25300,1116.46900,1273.65400,1292.20900,0.69000,0.68500
2017-10-31,8762.22000,6150.02000,2612.20000,1584.21900,,1584.21900,1027.98000,-7.98100,1020.00000,378.56400,641.43600,641.43600,641.43600,1212.27400,1027.98000,1268.04400,1285.76200,0.51000,0.50000
2017-07-31,8357.70000,5972.67500,2385.02500,1483.64800,,1483.64800,901.37740,-9.67700,891.70000,338.74300,552.95700,552.95700,552.95700,1077.02200,901.37740,1278.25400,1296.63400,0.43500,0.42500
2017-04-30,7784.02400,5530.07200,2253.95200,1411.60300,,1411.60300,842.34910,-9.84100,832.50800,296.22900,536.27900,536.27900,536.27900,1014.83400,842.34910,1288.85000,1309.59800,0.41500,0.41000
2017-01-31,9467.64600,6786.77700,2680.87000,1577.59400,,1577.59400,1103.27500,-9.61600,1093.65900,415.73100,677.92790,677.92790,677.92790,1192.29600,1103.27200,1311.29400,1328.86400,0.52000,0.51500
2016-10-31,8291.68800,5843.87300,2447.81500,1462.57400,,1493.74700,954.06840,-64.23500,889.83300,340.04700,549.78600,549.78600,549.78600,1149.19000,954.06840,1307.11800,1323.44200,0.42000,0.41500
2016-07-31,7882.05300,5562.96100,2319.09200,1393.24800,,1393.24800,925.84420,-11.26200,914.58200,352.40800,562.17400,562.17400,562.17400,1118.52400,925.84420,1316.23400,1333.21200,0.42500,0.42000
2016-04-30,7542.35600,5372.14300,2170.21300,1335.05000,,1335.05000,835.16260,-10.19400,824.96900,316.62300,508.34600,508.34600,508.34600,1017.13600,835.16260,1323.03000,1340.77600,0.38500,0.38000
2016-01-31,8962.07400,6388.19200,2573.88200,1497.11900,,1497.11900,1076.76400,-10.96300,1065.80100,399.33500,666.46630,666.46630,666.46590,1239.75400,1076.76300,1346.96800,1366.50200,0.49500,0.49000
2015-10-31,7753.49500,5506.89900,2246.59600,1292.40100,,1292.40100,954.19530,-13.00500,941.19000,353.93400,587.25600,587.25600,587.25600,1109.44300,954.19530,1342.30800,1361.68800,0.44000,0.43000
2015-07-31,7363.73100,5219.19100,2144.54000,1247.53800,,1247.53800,897.00200,-10.80800,886.19400,336.85900,549.33500,549.33500,549.33500,1046.92000,897.00200,1352.16400,1370.64400,0.40500,0.40000
2015-04-30,6865.63700,4920.24100,1945.39600,1168.65700,,1168.65700,776.73880,-11.62400,765.11500,290.51400,474.60100,474.60100,474.60100,925.27870,776.73880,1362.73800,1382.41200,0.35000,0.34500
2015-01-31,8303.95200,5959.03700,2344.91500,1306.27900,,1306.27900,1038.63600,-9.00200,1029.63500,381.40500,648.22990,648.22990,648.22990,1277.46300,1038.63600,1385.38200,1407.09000,0.47000,0.46500
