,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,6180.00000,2660.00000,3520.00000,-301.00000,1108.00000,2412.00000,-241.00000,2171.00000,533.00000,1638.00000,1638.00000,1638.00000,2981.00000,2412.00000,622.70000,624.00000,2.68000,2.66000
2022-09-30,6566.00000,2836.00000,3730.00000,-319.00000,1097.00000,2633.00000,-191.00000,2442.00000,547.00000,1895.00000,1895.00000,1895.00000,3196.00000,2633.00000,620.40000,621.50000,3.05000,3.05000
2022-06-30,6269.00000,2654.00000,3615.00000,-331.00000,1120.00000,2495.00000,-153.00000,2342.00000,507.00000,1835.00000,1835.00000,1835.00000,3054.00000,2495.00000,625.60000,626.80000,2.93000,2.93000
2022-03-31,5860.00000,2376.00000,3484.00000,-337.00000,1107.00000,2377.00000,-260.00000,2117.00000,487.00000,1630.00000,1630.00000,1630.00000,2932.00000,2377.00000,632.20000,633.60000,2.58000,2.57000
2021-12-31,5733.00000,2205.00000,3528.00000,-302.00000,1088.00000,2440.00000,-212.00000,2228.00000,517.00000,1711.00000,1711.00000,1711.00000,2996.00000,2440.00000,653.80000,655.40000,2.66000,2.66000
2021-09-30,5566.00000,2094.00000,3472.00000,-270.00000,1040.00000,2432.00000,-252.00000,2180.00000,507.00000,1673.00000,1673.00000,1673.00000,2985.00000,2432.00000,648.70000,650.30000,2.58000,2.57000
2021-06-30,5504.00000,1997.00000,3507.00000,-284.00000,1034.00000,2473.00000,-157.00000,2316.00000,518.00000,1798.00000,1798.00000,1798.00000,3023.00000,2473.00000,658.50000,660.10000,2.73000,2.72000
2021-03-31,5001.00000,1927.00000,3074.00000,-320.00000,1081.00000,1993.00000,-239.00000,1754.00000,413.00000,1341.00000,1341.00000,1341.00000,2542.00000,1993.00000,667.60000,669.20000,2.01000,2.00000
2020-12-31,5141.00000,1845.00000,3296.00000,-513.00000,1290.00000,2006.00000,-213.00000,1793.00000,413.00000,1380.00000,1380.00000,1380.00000,2563.00000,2006.00000,677.30000,679.10000,2.06000,2.05000
2020-09-30,4919.00000,1817.00000,3102.00000,-299.00000,1071.00000,2031.00000,-258.00000,1773.00000,410.00000,1363.00000,1363.00000,1363.00000,2586.00000,2031.00000,675.00000,676.80000,2.02000,2.01000
2020-06-30,4244.00000,1593.00000,2651.00000,-235.00000,997.00000,1654.00000,-158.00000,1496.00000,364.00000,1132.00000,1132.00000,1132.00000,2205.00000,1654.00000,677.70000,679.20000,1.67000,1.67000
2020-03-31,5229.00000,2014.00000,3215.00000,-298.00000,1072.00000,2143.00000,-225.00000,1918.00000,444.00000,1474.00000,1474.00000,1474.00000,2690.00000,2143.00000,684.30000,686.20000,2.15000,2.15000
2019-12-31,5212.00000,2092.00000,3120.00000,-231.00000,1020.00000,2100.00000,-222.00000,1878.00000,475.00000,1403.00000,1403.00000,1403.00000,2659.00000,2100.00000,703.50000,706.10000,2.02000,2.01000
2019-09-30,5516.00000,2212.00000,3304.00000,-277.00000,1070.00000,2234.00000,-213.00000,2021.00000,466.00000,1555.00000,1555.00000,1555.00000,2791.00000,2234.00000,699.30000,701.90000,2.22000,2.22000
2019-06-30,5596.00000,2278.00000,3318.00000,-247.00000,1058.00000,2260.00000,-202.00000,2058.00000,488.00000,1570.00000,1570.00000,1570.00000,2811.00000,2260.00000,705.50000,708.00000,2.23000,2.22000
2019-03-31,5384.00000,2312.00000,3072.00000,-305.00000,1112.00000,1960.00000,-170.00000,1790.00000,399.00000,1391.00000,1391.00000,1391.00000,2509.00000,1960.00000,716.80000,719.50000,1.94000,1.93000
2018-12-31,5757.00000,2502.00000,3255.00000,-221.00000,1045.00000,2210.00000,-194.00000,2016.00000,462.00000,1554.00000,1554.00000,1554.00000,2765.00000,2210.00000,750.90000,754.30000,2.12000,2.10000
2018-09-30,5928.00000,2553.00000,3375.00000,-287.00000,1106.00000,2269.00000,-193.00000,2076.00000,483.00000,1593.00000,1593.00000,1593.00000,2816.00000,2269.00000,737.40000,740.90000,2.16000,2.15000
2018-06-30,5672.00000,2514.00000,3158.00000,-248.00000,1059.00000,2099.00000,-161.00000,1938.00000,429.00000,1509.00000,1509.00000,1509.00000,2645.00000,2099.00000,760.50000,763.70000,1.98000,1.98000
2018-03-31,5475.00000,2461.00000,3014.00000,-266.00000,1075.00000,1939.00000,-228.00000,1711.00000,401.00000,1310.00000,1310.00000,1310.00000,2482.00000,1939.00000,776.40000,779.60000,1.69000,1.68000
2017-12-31,5450.00000,2368.00000,3082.00000,-239.00000,835.00000,2247.00000,-155.00000,2092.00000,-5186.00000,7278.00000,7278.00000,7278.00000,2779.00000,2247.00000,798.40000,801.70000,9.15000,9.09000
2017-09-30,5408.00000,2302.00000,3106.00000,-230.00000,1033.00000,2073.00000,-90.00000,1983.00000,789.00000,1194.00000,1194.00000,1194.00000,2601.00000,2073.00000,794.50000,797.60000,1.50000,1.50000
2017-06-30,5250.00000,2235.00000,3015.00000,-219.00000,1017.00000,1998.00000,-129.00000,1869.00000,701.00000,1168.00000,1168.00000,1168.00000,2523.00000,1998.00000,804.10000,807.20000,1.45000,1.45000
2017-03-31,5132.00000,2288.00000,2844.00000,-260.00000,1056.00000,1788.00000,-100.00000,1688.00000,616.00000,1072.00000,1072.00000,1072.00000,2308.00000,1788.00000,811.50000,814.80000,1.32000,1.32000
2016-12-31,5168.00000,2199.00000,2969.00000,-233.00000,1033.00000,1936.00000,-105.00000,1831.00000,687.00000,1144.00000,1144.00000,1144.00000,2456.00000,1936.00000,832.40000,835.40000,1.40000,1.38000
2016-09-30,5174.00000,2149.00000,3025.00000,-271.00000,1065.00000,1960.00000,-155.00000,1805.00000,674.00000,1131.00000,1131.00000,1131.00000,2472.00000,1960.00000,829.00000,832.20000,1.36000,1.36000
2016-06-30,4770.00000,2076.00000,2694.00000,-244.00000,1034.00000,1660.00000,-96.00000,1564.00000,585.00000,979.00000,979.00000,979.00000,2164.00000,1660.00000,837.40000,840.10000,1.17000,1.17000
2016-03-31,4829.00000,2102.00000,2727.00000,-249.00000,1040.00000,1687.00000,-121.00000,1566.00000,587.00000,979.00000,979.00000,979.00000,2189.00000,1687.00000,844.00000,846.70000,1.16000,1.16000
2015-12-31,5208.00000,2233.00000,2975.00000,-235.00000,1057.00000,1918.00000,-136.00000,1782.00000,665.00000,1117.00000,1117.00000,1117.00000,2435.00000,1918.00000,866.20000,869.40000,1.31000,1.31000
2015-09-30,5562.00000,2340.00000,3222.00000,-205.00000,1014.00000,2208.00000,-127.00000,2081.00000,781.00000,1300.00000,1300.00000,1300.00000,2715.00000,2208.00000,862.90000,865.80000,1.51000,1.50000
2015-06-30,5429.00000,2446.00000,2983.00000,-225.00000,1034.00000,1949.00000,-11.00000,1938.00000,734.00000,1204.00000,1204.00000,1204.00000,2446.00000,1949.00000,872.20000,875.20000,1.38000,1.38000
2015-03-31,5614.00000,2576.00000,3038.00000,-259.00000,1061.00000,1977.00000,-122.00000,1855.00000,704.00000,1151.00000,1151.00000,1151.00000,2468.00000,1977.00000,879.30000,882.80000,1.31000,1.30000
2014-12-31,6153.00000,2767.00000,3386.00000,-228.00000,1013.00000,2373.00000,-75.00000,2298.00000,867.00000,1431.00000,1431.00000,1431.00000,2862.00000,2373.00000,897.10000,901.10000,1.61000,1.60000
2014-09-30,6182.00000,2819.00000,3363.00000,-242.00000,1033.00000,2330.00000,-124.00000,2206.00000,836.00000,1370.00000,1370.00000,1370.00000,2811.00000,2330.00000,893.20000,896.90000,1.53000,1.53000
2014-06-30,6015.00000,2805.00000,3210.00000,-228.00000,1014.00000,2196.00000,-116.00000,2080.00000,789.00000,1291.00000,1291.00000,1291.00000,2666.00000,2196.00000,901.50000,905.00000,1.43000,1.43000
2014-03-31,5638.00000,2782.00000,2856.00000,-226.00000,1002.00000,1854.00000,-95.00000,1759.00000,671.00000,1088.00000,1088.00000,1088.00000,2318.00000,1854.00000,908.10000,912.50000,1.20000,1.19000
2013-12-31,5630.00000,2700.00000,2930.00000,-188.00000,957.00000,1973.00000,-90.00000,1883.00000,709.00000,1174.00000,1174.00000,1174.00000,2431.00000,1973.00000,926.50000,931.50000,1.27500,1.27500
2013-09-30,5573.00000,2650.00000,2923.00000,-205.00000,961.00000,1962.00000,-110.00000,1852.00000,701.00000,1151.00000,1151.00000,1151.00000,2409.00000,1962.00000,923.50000,928.40000,1.25000,1.24000
2013-06-30,5470.00000,2633.00000,2837.00000,-219.00000,959.00000,1878.00000,-110.00000,1768.00000,662.00000,1106.00000,1106.00000,1106.00000,2316.00000,1878.00000,930.60000,935.30000,1.19000,1.18000
2013-03-31,5290.00000,2673.00000,2617.00000,-237.00000,984.00000,1633.00000,-88.00000,1545.00000,588.00000,957.00000,957.00000,957.00000,2067.00000,1633.00000,935.60000,941.00000,1.02500,1.01500
2012-12-31,5250.00000,2588.00000,2662.00000,-182.00000,937.00000,1725.00000,-85.00000,1640.00000,604.00000,1036.00000,1036.00000,1036.00000,2178.00000,1725.00000,946.20000,952.90000,1.10500,1.10000
2012-09-30,5343.00000,2610.00000,2733.00000,-200.00000,947.00000,1786.00000,-109.00000,1677.00000,635.00000,1042.00000,1042.00000,1042.00000,2233.00000,1786.00000,944.00000,950.40000,1.10500,1.09500
