,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,41746.00000,37071.00000,4675.00000,282.00000,-87.00000,380.00000,4295.00000,-45.00000,4250.00000,1018.00000,3232.00000,3232.00000,,3113.00000,,4295.00000,380.00000,381.00000,8.15000,8.15000
2022-09-30,44454.00000,40431.00000,4023.00000,214.00000,-6.00000,231.00000,3792.00000,-64.00000,3728.00000,816.00000,2912.00000,2912.00000,,2817.00000,4424.00000,3792.00000,390.00000,390.00000,7.20000,7.19000
2022-06-30,51641.00000,45162.00000,6479.00000,233.00000,-15.00000,260.00000,6219.00000,-109.00000,6110.00000,1342.00000,4768.00000,4768.00000,,4693.00000,6821.00000,6219.00000,404.00000,404.00000,11.58000,11.57000
2022-03-31,38542.00000,36923.00000,1619.00000,205.00000,-19.00000,235.00000,1384.00000,-165.00000,1219.00000,252.00000,967.00000,967.00000,,905.00000,1990.00000,1384.00000,408.00000,408.00000,2.21000,2.21000
2021-12-31,35903.00000,33993.00000,1910.00000,286.00000,-18.00000,316.00000,1594.00000,-315.00000,1279.00000,169.00000,1110.00000,1110.00000,,1009.00000,2192.00000,1594.00000,407.00000,407.00000,2.48000,2.48000
2021-09-30,29520.00000,28602.00000,918.00000,195.00000,-19.00000,225.00000,693.00000,-120.00000,573.00000,65.00000,508.00000,508.00000,,463.00000,1334.00000,693.00000,407.00000,408.00000,1.13000,1.13000
2021-06-30,27748.00000,27039.00000,709.00000,176.00000,-12.00000,200.00000,509.00000,-48.00000,461.00000,169.00000,292.00000,292.00000,,162.00000,1097.00000,509.00000,407.00000,407.00000,0.39000,0.39000
2021-03-31,20806.00000,21214.00000,-408.00000,208.00000,-38.00000,258.00000,-666.00000,-104.00000,-770.00000,-148.00000,-622.00000,-622.00000,,-704.00000,-88.00000,-666.00000,407.00000,407.00000,-1.73000,-1.73000
2020-12-31,16604.00000,16834.00000,-230.00000,224.00000,-5.00000,240.00000,-470.00000,-128.00000,-598.00000,-289.00000,-309.00000,-309.00000,,-359.00000,107.00000,-470.00000,407.00000,407.00000,-0.89000,-0.89000
2020-09-30,15809.00000,16207.00000,-398.00000,186.00000,-25.00000,223.00000,-621.00000,-95.00000,-716.00000,-337.00000,-379.00000,-379.00000,,-464.00000,-7.00000,-621.00000,407.00000,407.00000,-1.14000,-1.14000
2020-06-30,10397.00000,8424.00000,1973.00000,169.00000,-3.00000,184.00000,1789.00000,-115.00000,1674.00000,339.00000,1335.00000,1335.00000,,1253.00000,2367.00000,1789.00000,406.00000,407.00000,3.07000,3.07000
2020-03-31,22102.00000,24187.00000,-2085.00000,177.00000,-2.00000,192.00000,-2277.00000,-93.00000,-2370.00000,-616.00000,-1754.00000,-1754.00000,,-1851.00000,-1695.00000,-2277.00000,408.00000,408.00000,-4.54000,-4.54000
2019-12-31,27879.00000,25876.00000,2003.00000,243.00000,-7.00000,264.00000,1739.00000,-83.00000,1656.00000,326.00000,1330.00000,1330.00000,,1060.00000,2310.00000,1739.00000,413.00000,414.00000,2.55000,2.55000
2019-09-30,27249.00000,26130.00000,1119.00000,217.00000,-10.00000,238.00000,881.00000,-77.00000,804.00000,165.00000,639.00000,639.00000,,609.00000,1448.00000,881.00000,412.00000,413.00000,1.48000,1.48000
2019-06-30,28933.00000,27810.00000,1123.00000,199.00000,-2.00000,215.00000,908.00000,-100.00000,808.00000,160.00000,648.00000,648.00000,,612.00000,1474.00000,908.00000,415.00000,417.00000,1.47000,1.47000
2019-03-31,24263.00000,23730.00000,533.00000,209.00000,-2.00000,225.00000,308.00000,-90.00000,218.00000,51.00000,167.00000,167.00000,,141.00000,859.00000,308.00000,416.00000,418.00000,0.34000,0.34000
2018-12-31,28730.00000,27184.00000,1546.00000,230.00000,-4.00000,247.00000,1299.00000,-72.00000,1227.00000,205.00000,1022.00000,1022.00000,,952.00000,1830.00000,1299.00000,426.00000,428.00000,2.24000,2.23000
2018-09-30,30849.00000,29398.00000,1451.00000,209.00000,-10.00000,232.00000,1219.00000,-69.00000,1150.00000,276.00000,874.00000,874.00000,,856.00000,1736.00000,1219.00000,425.00000,427.00000,2.01000,2.01000
2018-06-30,31015.00000,29480.00000,1535.00000,248.00000,-21.00000,282.00000,1253.00000,-129.00000,1124.00000,249.00000,875.00000,875.00000,,845.00000,1776.00000,1253.00000,429.00000,431.00000,1.96000,1.96000
2018-03-31,26439.00000,25377.00000,1062.00000,238.00000,-10.00000,261.00000,801.00000,-70.00000,731.00000,149.00000,582.00000,582.00000,,469.00000,1299.00000,801.00000,431.00000,432.00000,1.09000,1.09000
2017-12-31,26392.00000,25282.00000,1110.00000,237.00000,-17.00000,267.00000,843.00000,-78.00000,765.00000,-1635.00000,2400.00000,2400.00000,,2371.00000,1333.00000,843.00000,442.00000,444.00000,5.35000,5.34000
2017-09-30,23562.00000,21948.00000,1614.00000,225.00000,-44.00000,282.00000,1332.00000,-91.00000,1241.00000,378.00000,863.00000,863.00000,,841.00000,1829.00000,1332.00000,439.00000,441.00000,1.91000,1.91000
2017-06-30,22254.00000,21205.00000,1049.00000,175.00000,0.00000,189.00000,860.00000,-92.00000,768.00000,196.00000,572.00000,572.00000,,548.00000,1359.00000,860.00000,444.00000,446.00000,1.23000,1.23000
2017-03-31,21772.00000,21040.00000,732.00000,192.00000,,204.00000,528.00000,-95.00000,433.00000,112.00000,321.00000,321.00000,,305.00000,1028.00000,528.00000,448.00000,451.00000,0.68000,0.68000
2016-12-31,20712.00000,18302.00000,2410.00000,1360.00000,,1828.00000,582.00000,-53.00000,529.00000,113.00000,416.00000,416.00000,,367.00000,1050.00000,582.00000,461.00000,464.00000,0.82000,0.83000
2016-09-30,19649.00000,17033.00000,2616.00000,1254.00000,0.00000,1724.00000,892.00000,-103.00000,789.00000,144.00000,645.00000,645.00000,,613.00000,1362.00000,892.00000,458.00000,460.00000,1.33000,1.33000
2016-06-30,19584.00000,16666.00000,2918.00000,1160.00000,-56.00000,1687.00000,1231.00000,-97.00000,1134.00000,291.00000,843.00000,843.00000,,814.00000,1702.00000,1231.00000,467.00000,470.00000,1.74000,1.73000
2016-03-31,15714.00000,13214.00000,2500.00000,1186.00000,,1671.00000,829.00000,-99.00000,730.00000,217.00000,513.00000,513.00000,,495.00000,1314.00000,829.00000,469.00000,471.00000,1.05000,1.05000
2015-12-31,18777.00000,16417.00000,2360.00000,1220.00000,,1714.00000,646.00000,-96.00000,550.00000,155.00000,395.00000,395.00000,,298.00000,1140.00000,646.00000,497.00000,500.00000,0.67000,0.67000
2015-09-30,22579.00000,18677.00000,3902.00000,1281.00000,0.00000,1763.00000,2139.00000,-109.00000,2030.00000,657.00000,1373.00000,1373.00000,,1377.00000,2621.00000,2139.00000,491.00000,494.00000,2.79000,2.79000
2015-06-30,25118.00000,21394.00000,3724.00000,1221.00000,0.00000,1646.00000,2078.00000,-105.00000,1973.00000,608.00000,1365.00000,1365.00000,,1351.00000,2503.00000,2078.00000,505.00000,508.00000,2.67000,2.66000
2015-03-31,21330.00000,18163.00000,3167.00000,1231.00000,,1672.00000,1495.00000,-77.00000,1418.00000,450.00000,968.00000,968.00000,,964.00000,1936.00000,1495.00000,513.00000,516.00000,1.87000,1.87000
2014-12-31,27859.00000,24321.00000,3538.00000,1317.00000,,1742.00000,1796.00000,-92.00000,1704.00000,484.00000,1220.00000,1220.00000,,1155.00000,2221.00000,1796.00000,526.00000,530.00000,2.21000,2.21000
