,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,,,,,,,,,,,,,,,,,,,0.00000
2022-09-30,1380.00000,856.00000,524.00000,47.00000,294.00000,356.00000,168.00000,-151.00000,17.00000,5.00000,12.00000,12.00000,12.00000,226.00000,168.00000,180.20000,180.90000,0.07000,0.07000
2022-06-30,1364.00000,844.00000,520.00000,53.00000,314.00000,374.00000,146.00000,-10.00000,136.00000,24.00000,112.00000,112.00000,112.00000,206.00000,146.00000,180.20000,180.60000,0.62000,0.62000
2022-03-31,1272.00000,805.00000,467.00000,52.00000,304.00000,356.00000,111.00000,-13.00000,98.00000,16.00000,82.00000,82.00000,82.00000,169.00000,111.00000,180.20000,181.00000,0.45000,0.45000
2021-12-31,1323.00000,830.00000,493.00000,52.00000,301.00000,353.00000,140.00000,-14.00000,126.00000,13.00000,113.00000,113.00000,113.00000,199.00000,140.00000,180.20000,181.50000,0.62000,0.62000
2021-09-30,1265.00000,793.00000,472.00000,49.00000,273.00000,320.00000,152.00000,-19.00000,133.00000,19.00000,114.00000,114.00000,114.00000,214.00000,152.00000,180.20000,181.60000,0.63000,0.63000
2021-06-30,1351.00000,831.00000,520.00000,53.00000,304.00000,360.00000,160.00000,-22.00000,138.00000,25.00000,113.00000,113.00000,113.00000,222.00000,160.00000,180.10000,181.30000,0.63000,0.62000
2021-03-31,1256.00000,766.00000,490.00000,50.00000,301.00000,357.00000,133.00000,-19.00000,114.00000,27.00000,87.00000,87.00000,87.00000,195.00000,133.00000,180.30000,181.50000,0.49000,0.48000
2020-12-31,1373.00000,847.00000,526.00000,49.00000,292.00000,347.00000,179.00000,-21.00000,158.00000,10.00000,148.00000,148.00000,148.00000,241.00000,179.00000,180.10000,181.10000,0.83000,0.82000
2020-09-30,1220.00000,759.00000,461.00000,45.00000,266.00000,388.00000,73.00000,-23.00000,50.00000,13.00000,37.00000,37.00000,37.00000,194.00000,73.00000,180.00000,181.00000,0.20000,0.20000
2020-06-30,1160.00000,726.00000,434.00000,44.00000,288.00000,380.00000,54.00000,-19.00000,35.00000,4.00000,31.00000,31.00000,31.00000,116.00000,54.00000,180.00000,180.60000,0.17000,0.17000
2020-03-31,1123.00000,714.00000,409.00000,49.00000,297.00000,348.00000,61.00000,-19.00000,42.00000,4.00000,38.00000,38.00000,38.00000,125.00000,61.00000,180.20000,181.30000,0.21000,0.21000
2019-12-31,1371.00000,834.00000,537.00000,49.00000,288.00000,342.00000,195.00000,-17.00000,178.00000,60.00000,118.00000,118.00000,118.00000,260.00000,195.00000,180.00000,181.20000,0.66000,0.65000
2019-09-30,1296.00000,787.00000,509.00000,44.00000,273.00000,498.00000,11.00000,-23.00000,-12.00000,-77.00000,65.00000,65.00000,65.00000,224.00000,11.00000,180.10000,181.20000,0.36000,0.36000
2019-06-30,1345.00000,819.00000,526.00000,47.00000,294.00000,355.00000,171.00000,-15.00000,156.00000,17.00000,139.00000,139.00000,139.00000,234.00000,171.00000,180.00000,181.20000,0.77000,0.77000
2019-03-31,1237.00000,763.00000,474.00000,51.00000,303.00000,365.00000,109.00000,-15.00000,94.00000,15.00000,79.00000,79.00000,79.00000,173.00000,109.00000,179.70000,181.10000,0.44000,0.43000
2018-12-31,1386.00000,844.00000,542.00000,52.00000,293.00000,348.00000,194.00000,-15.00000,179.00000,-46.00000,225.00000,225.00000,225.00000,260.00000,194.00000,179.80000,181.10000,1.24000,1.24000
2018-09-30,1287.00000,782.00000,505.00000,46.00000,279.00000,329.00000,176.00000,-15.00000,161.00000,31.00000,130.00000,130.00000,130.00000,239.00000,176.00000,179.70000,181.10000,0.73000,0.72000
2018-06-30,1317.00000,798.00000,519.00000,50.00000,293.00000,348.00000,171.00000,-21.00000,150.00000,35.00000,115.00000,115.00000,115.00000,236.00000,171.00000,179.80000,181.00000,0.64000,0.64000
2018-03-31,1217.00000,757.00000,460.00000,41.00000,296.00000,347.00000,113.00000,-18.00000,95.00000,16.00000,79.00000,79.00000,79.00000,180.00000,113.00000,179.90000,181.40000,0.44000,0.43000
2017-12-31,1277.00000,770.00000,507.00000,50.00000,277.00000,330.00000,177.00000,-33.00000,144.00000,74.00000,70.00000,70.00000,71.00000,237.00000,177.00000,179.60000,180.90000,0.40000,0.39000
2017-09-30,1195.00000,724.00000,471.00000,45.00000,270.00000,319.00000,152.00000,-21.00000,131.00000,27.00000,104.00000,104.00000,105.00000,210.00000,152.00000,179.60000,180.90000,0.58000,0.58000
