,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-10-31,355.54800,76.69700,278.85100,74.94600,272.99200,347.93800,-69.08700,5.67100,-63.41600,4.74600,-68.16200,-68.16200,-68.16200,-31.36200,-69.08700,143.47600,143.47600,-0.48000,-0.48000
2022-07-31,318.05910,68.30800,249.75110,78.15000,254.13000,332.28000,-82.52890,-12.62500,-95.15400,2.49800,-97.65200,-97.65200,-97.65200,-35.35890,-82.52900,140.89500,140.89500,-0.69000,-0.69000
2022-04-30,286.80700,64.02200,222.78500,76.57800,232.80400,309.38200,-86.59700,-15.29800,-101.89500,-0.49000,-101.40500,-101.40500,-101.40500,-42.28500,-86.59700,141.42200,141.42200,-0.72000,-0.72000
2022-01-31,255.56300,57.78300,197.78000,69.19500,212.51700,281.71200,-83.93200,-14.32700,-98.25900,2.16100,-100.42000,-100.42000,-100.42000,-41.90700,-83.93200,140.51500,140.51500,-0.71000,-0.71000
2021-10-31,230.51700,52.16900,178.34800,65.21600,187.50300,252.71900,-74.37100,-13.95100,-88.32200,2.47900,-90.80100,-90.80100,-90.80100,-34.74000,-74.37100,139.29600,139.29600,-0.65000,-0.65000
2021-07-31,197.07400,45.47800,151.59600,56.18000,162.81300,218.99290,-67.39700,-12.78100,-80.17800,0.84500,-81.02300,-81.02300,-81.02300,-31.81300,-67.39700,135.65400,135.65400,-0.59000,-0.59000
2021-04-30,176.40400,38.97700,137.42700,40.95200,140.32500,181.27700,-43.85000,-12.77200,-56.62200,1.83700,-58.45900,-58.45900,-58.45900,-10.67000,-43.85000,136.38500,136.38500,-0.43000,-0.43000
2021-01-31,157.04400,34.13500,122.90900,41.75100,135.05600,176.80700,-53.89800,-11.97200,-65.87000,1.67100,-67.54100,-67.54100,-67.54100,-22.76000,-53.89800,135.02400,135.02400,-0.50000,-0.50000
2020-10-31,142.57800,31.72700,110.85100,35.77000,117.74800,153.51800,-42.66700,-11.84100,-54.50800,0.49800,-55.00600,-55.00600,-55.00600,-13.63000,-42.66700,133.45200,133.45200,-0.41000,-0.41000
2020-07-31,125.88700,31.35800,94.52900,32.78500,106.63100,139.41600,-44.88700,-4.20500,-49.09200,0.45700,-49.54900,-49.54900,-49.54900,-25.97500,-44.88700,129.32300,129.32300,-0.38000,-0.38000
2020-04-30,110.52400,24.57900,85.94500,24.11700,82.34200,106.45900,-20.51400,1.59800,-18.91600,0.42100,-19.33700,-19.33700,-19.33700,-8.85500,-20.51400,129.68200,129.68200,-0.15000,-0.15000
2020-01-31,101.26800,20.23800,81.03000,20.70600,90.60400,111.31000,-30.28000,1.84200,-28.43800,0.71600,-29.15400,-29.15400,-29.15400,-19.82200,-30.28000,128.40800,128.40800,-0.23000,-0.23000
2019-10-31,93.59000,19.55800,74.03200,20.27100,72.03600,92.30700,-18.27500,1.99300,-16.28200,0.79400,-17.07600,-17.07600,-17.07600,-8.37900,-18.27500,127.54800,127.54800,-0.13000,-0.13000
2019-07-31,86.10800,17.33900,68.76900,17.21300,59.48700,76.70000,-7.93100,1.88800,-6.04300,-0.76700,-5.27600,-5.27600,-5.27600,0.78500,-7.93100,123.56600,123.56600,-0.04000,-0.04000
2019-04-30,79.12800,14.96000,64.16800,16.49900,61.20600,77.70500,-13.53700,1.93700,-11.60000,0.63600,-12.23600,-12.23600,-12.23600,-5.97800,-13.53700,124.67200,124.67200,-0.10000,-0.10000
2019-01-31,74.30200,15.27100,59.03100,15.07100,49.14200,64.21300,-5.18200,2.17400,-3.00800,0.54700,-3.55500,-3.55500,-3.55500,1.91100,-5.18200,122.74100,122.74100,-0.03000,-0.03000
2018-10-31,63.29800,12.09900,51.19900,13.18600,46.67600,59.86200,-8.66300,1.40200,-7.26100,0.32700,-7.58800,-7.58800,-7.58800,-2.07400,-8.66300,120.58700,120.58700,-0.06000,-0.06000
2018-07-31,56.17400,11.50100,44.67300,11.48000,41.11700,52.59700,-7.92400,1.29600,-6.62800,0.33400,-6.96200,-6.96200,-6.96200,-1.95100,-7.92400,63.88100,63.88100,0.25000,0.25000
2018-04-30,49.16300,9.42400,39.73900,9.90700,38.85600,48.76300,-9.02400,0.61000,-8.41400,0.35700,-8.77100,-8.77100,-9.99400,-3.67000,-9.02400,73.81800,73.81800,-0.14000,-0.14000
2018-01-31,44.97600,8.67900,36.29700,9.18300,33.51300,42.69600,-6.39900,0.24100,-6.15800,0.35700,-6.51500,-6.51500,-9.09400,-1.34600,-6.39900,31.43400,31.43400,-0.29000,-0.29000
2017-10-31,39.86100,8.27100,31.59000,8.80900,34.05800,42.86700,-11.27700,0.16800,-11.10900,0.28900,-11.39800,-11.39800,-13.92800,-6.48800,-11.27700,30.79300,30.79300,-0.45000,-0.45000
2017-07-31,,,,,,,,,,,,,,,,,,,0.00000
2017-04-30,32.96400,6.99700,25.96700,7.77800,25.75000,33.52800,-7.56100,0.18300,-7.37800,0.18400,-7.56200,-7.56200,-9.91700,-7.56100,-7.56100,29.58300,29.58300,-0.34000,-0.34000
2016-07-31,,,,,,,,,,,,,,,,,,,0.00000
2015-07-31,,,,,,,,,,,,,,,,,,,0.00000
